F2Z5I5 G1U419
A0A287A5X3 U3KNR1
A0A287AA49 G1SIU3
I3LBE3 G1SZD5
F1SDY3 G1TGM9
I3LSK3 G1TGR9
I3L5H9 G1U8C1
P10668 G1T2P2
B0M1M6 G1T8H5
I3LIH2 G1TGG7
F1SS65 G1TCS7
K7GM45 G1SXH7
F1S1D3 G1SGJ3
I3LVB8 G1U886
A0A286ZI26 G1SUG3
F1SMW9 G1SVF2
I3LFR2 G1T087
F1RKZ6 U3KNR1
F1RI39 G1SWW8
F1SPK1 G1T4M5
I3L9U8 G1T1B1
F1RZQ1 G1SPP5
F1S034 G1TRM4
A0A287AQ46 G1SM25
F1RSW9 G1TMB8
F1S034 G1TEZ2
A0A287AJL7 G1T6Z9
A0A140TAJ7 G1SPP9
F1SLZ5 G1TNE6
A0A287BBE4 G1SGX4
F1SPZ6 G1SUQ7
A0A287ARC2 G1SRL8
F1S834 U3KM17
B1PHQ8 G1T2X4
I3LVL0 G1SUH7
F1RUP2 G1SYE7
I6L6T2 P47823
Q007T2 G1SYB4
F1RTL0 G1TD22
A0A287AC34 G1SYV9
I3LHB2 G1SFK3
A0A287BBM7 G1TXL5
A0A287A233 G1TPA9
F1STU0 G1SUD3
I3LBY1 G1SJI9
F1RZU1 G1U782
F1RRK1 G1TID3
A0A287BBC6 G1U215
F1SEX6 G1SVQ9
A0A286ZZX0 G1U0W2
I3LFX5 G1U4L6
A0A287B642 G1TIP3
F1SUT8 G1SLH7
A7UNK0 G1T2P2
A0A287BPQ8 G1SZ81
A0A287B6Q2 G1TC95
F1SV13 G1SNL0
A0A287BBE4 G1TRM4
F1SAL5 G1T626
F1S439 G1SWN0
F1SRJ6 G1SIW6
Q06AU6 G1T2T9
F1RXF7 G1SCU8
F1RGP5 G1TB39
K7GSF2 Q256T0
F1SG88 P47823
F1RXB8 G1T8R0
F1RXB8 G1T4A3
A0A286ZI96 G1T421
A0A287B5T1 G1U8U5
F2Z540 G1T1D9
F1SL61 G1SLT0
F1RP05 G1SMM5
A0A287B0Y7 G1SLH7
A0A286ZSJ2 G1U8A0
F1S1U5 G1SK48
A0A287BEW6 G1T6A2
A0A287AP23 G1T9D0
B5LX40 G1STG2
A0A287AI88 G1SRV2
I3LJ47 G1SQY1
A0A287A5L5 U3KPC9
F1SEX6 G1TGC0
I3LCK2 G1TLK7
A7LKB1 G1U0D5
F1SUT8 G1SX32
F1S5N6 G1SZJ7
F1S0S4 U3KP67
F1SR02 G1SVW7
A0A287ARA4 G1TIP3
A0A287B0Y7 G1SX32
A0A287B726 G1TIP3
F1ST82 G1SLT0
F1SB65 G1TCS7
F1RRA6 G1T9T8
F1SB65 G1T6A2
A0A287ABY4 G1SVF4
I3LPB3 G1SGJ3
A0A287AA49 G1SE22
A0A287BEW6 G1TCS7
F1S9S0 G1SI38
F1SKR9 G1SN87
F1S1D3 G1TL87
I3LPB3 G1SWQ8
A0A287BB06 G1SE15
F1RWJ5 G1T9F3
A0A287B4D6 G1TFN4
A0A287BIK4 G1TEY7
F1SG07 G1U886
A0A286ZJ88 G1TZY7
I3LV81 G1U5D4
I3LSD5 G1THG0
A0A287B2D9 G1TXE3
F1SPR8 G1U1M3
F1RV14 G1U7J6
F1RPE5 G1TJ36
P67937 G1SY36
A0A287A5J3 G1SWN0
A0A287BEV5 G1TDJ9
A0A286ZZL7 G1TVH9
F1SL61 G1T4W8
I3LHJ5 A5A4K8
B5APU6 G1T7B5
Q19ML6 G1TBB8
A0A287BEU1 G1SGU6
F1SGS8 G1TB09
F1SFR7 G1U907
F1SEJ3 G1TP72
F1SUY6 G1T318
F1S106 G1SHE2
F1S106 G1TID3
I3LAE8 G1TT75
F1RLQ2 G1SYD6
A0A286ZWP6 G1TXW7
K7GL66 G1SGJ3
F1RS27 G1TMN2
D9U8D1 P63169
F1SAY8 G1TXE3
A0A286ZQM7 G1T4C3
F1SG07 G1T1J5
F8R6K7 G1TCW3
F1RPE5 G1SMY1
K7GSM3 G1TBB8
F1SS65 G1T6A2
F1SKF9 G1T0Y9
A0A287A7H6 G1TVH9
F1SUZ6 G1TGD9
A0A287B1A7 G1T168
F1RSD0 G1T662
A0A287AJ61 G1SEN5
Q1G1K7 G1TSL1
I3LG73 G1TXW7
A0A287BNB0 G1ST95
Q6RVA9 Q09YN6
A0A287BF41 G1TB09
F1SPZ6 G1TDU3
F1SNC8 G1U0W0
F1SI55 G1T2N2
A0A287ADD9 G1U1V2
I3LHP5 G1SL22
F2Z566 G1SUD3
K7GN73 G1SLT0
