Q02750 P17676
O14545 Q13546
Q8IWL2 Q92562
Q9Y4H4 A6NFD8
Q5TEC6 Q5TEC6
Q9Y320 P61019
Q8WY07 P02776
Q9BTK6 O60573
Q6ZMD2 Q6ZMD2
P49903 P49903
Q52LA3 Q2VIQ3
Q9BVQ7 Q9BVQ7
Q9NX63 Q16186
Q9H0H5 P12036
Q86X29 Q14789
Q96EE4 Q96EE4
Q96CB9 Q9UKJ5
Q96EZ8 Q3ZCM7
Q9H6Q3 P35070
P51153 P17181
Q8IYB3 Q8IYB3
P51178 P51178
Q96H55 O95881
Q9BYN8 Q9BYN8
Q9H5H4 P54840
O94988 Q6BDS2
Q9BUF5 Q9BUF5
Q86X55 Q9GZQ8
O75604 O75604
Q05516 Q05516
Q15750 Q15750
Q9P296 Q96F46
Q9Y6P5 Q9Y6P5
P21754 Q96K37
P08648 P98066
Q13395 Q7KZS0
P23469 O15145
Q5SXH7 A6NNY8
Q9Y383 Q9Y383
Q5T7N2 Q8IVM8
P38405 Q9BXW6
O75534 Q92615
Q6BDS2 Q6BDS2
Q9UPR3 Q9UPR3
Q12846 Q12846
Q8WW59 Q8WW59
P05538 P20815
P17947 Q01826
P05423 P05423
Q86Y82 Q86Y82
A6NFD8 A0A0S2Z4A7
Q02447 Q8N726
Q9BTM9 Q9BTM9
Q96L91 Q8N726
O43167 Q9H0B3
Q9BZD4 Q8WVV9
P21266 P21266
Q71V34 Q8NEJ0
Q96N67 Q3YEC7
O14639 Q5H9R7
O15105 Q8N726
O43252 O43252
O43660 Q92499
P61019 P54289
Q17RB0 Q17RB0
Q9NWV4 Q8IZP6
Q5JVF3 Q5JVF3
O43921 P54792
Q9UKU6 Q9UKU6
Q9BSJ8 P16401
Q9NUJ7 Q9NUJ7
O43707 O43707
Q8IWL2 Q9UK39
Q9GZQ8 Q86X55
Q9H9Y4 Q8TB45
O15105 Q9NY65
P62979 P62979
Q8TDB6 O14524
Q14833 Q8NER1
P01571 P01571
Q8N6Y0 Q71F56
Q9BRX9 Q2VIR3
P04264 P35527
Q9BRJ7 P62913
Q99759 Q99759
P58107 O95886
P04259 Q9UK99
Q8TEM1 P16401
Q8IW50 Q8IW50
Q99714 Q99714
Q9NX76 Q5FBB7
Q9UEE5 Q9BSQ5
Q9Y258 Q9Y258
P02671 Q9H0F6
Q8TF46 Q6ZW31
Q96EK7 P50591
Q8IUX1 Q5T7N2
P45877 P45877
Q8N137 Q8N137
P49959 Q15008
P02533 P35527
Q9BXL5 Q86X29
Q6NVV7 Q5BKY9
Q8NI37 Q8NI37
Q9BXK1 O00562
A6NNY8 Q5SXH7
Q96JM7 O15287
P37108 P37108
Q9NX76 A0AVF1
Q6NX55 Q96C15
Q12926 Q12926
Q9NSA1 Q9NSA1
Q2VYF4 Q9P0N9
Q13156 Q13156
Q9Y6Q9 Q9Y6Q9
Q8IWV7 Q15773
P55265 Q10567
Q8WUQ7 Q8WUQ7
P21439 O95342
Q3ZCM7 Q3ZCM7
Q8TCI5 Q9P2J9
Q9Y2X7 P62491
Q96RV3 Q96RV3
P04259 P04259
O43921 Q9H269
Q96CW5 Q96CW5
P78386 P58107
O43921 Q9NWD9
Q92562 Q9UK39
Q06828 P48039
Q8N4H5 Q8N4H5
Q8N7X8 Q9P2J9
P42336 P42336
Q69YN2 Q69YN2
Q96BE0 O43715
Q9UJU2 O60477
P35527 P08779
Q86YC2 Q12926
Q6ZVM7 O14545
P49790 P49790
O94901 Q8IW50
Q4KWH8 Q4KWH8
B2RTY4 Q969X1
O60404 Q86XA9
O75326 O75326
O95976 Q99999
P01286 P07492
Q14166 P16401
Q9UNX3 Q9UBW8
Q9UJT1 Q8IYX4
P61289 P61289
Q9Y2H0 Q9Y2H0
Q96GY3 P05423
Q8N4B1 Q8N4B1
Q02930 P49454
O00445 P04628
Q8N8Y5 Q8N8Y5
Q6PIJ6 Q6PIJ6
P13647 P08779
Q8WWL7 Q9UBI4
Q96SB8 Q9H3U1
Q07837 Q07837
P00797 Q8WXB4
O75934 O75934
O75807 O75807
P35070 Q8NEJ0
Q6P2H3 Q8TEU7
O15535 Q15651
P18074 Q8ND56
Q7Z4G4 Q13190
Q5BKY9 Q8WWL7
P61019 P61019
Q9BUB5 Q9BUB5
Q0VAM2 Q0VAM2
P60709 P60709
