A0A0G2JTA1 Q9QZC5
P61751 P61751
D3ZME7 D3ZME7
Q3B7L3 Q3B7L3
G3V7U4 A0A0G2JWD2
A0A0G2KAW9 G3V8H8
F1M2T7 F1M2T7
Q6AXT8 Q6AXT8
B2GUV0 A0A096UWG9
Q62703 Q62703
F1LSG7 F1LMK2
D4A5U3 A0A0G2KA90
P82808 P82808
D4A105 D4A105
D3ZBP4 F1LRE5
P14173 A0A0G2JXI1
G3V8H8 A0A0G2K5R4
D4ADK7 D4ADK7
Q5PQN6 B7X945
D4A4J0 D4A4J0
B1WC74 G3V6D8
D4A8G6 A0A140UHY1
Q6P7B6 A0A0G2JY43
M0R887 A0A0G2JYH7
Q4V8H7 Q924U5
F1M7K4 F1M7K4
D4AAT4 D4AAT4
B3DMA5 D4A2G7
F1LQ83 F1LQ83
D3ZEJ9 Q400C9
M0R613 M0R613
Q9ES19 Q9ES19
Q6MG27 D3ZV70
D4A3C2 F1M4P0
D4A5V8 D4A5V8
D3ZL50 A0A0G2K199
D4AE24 D4AE24
F1LNK6 D4A4E8
F1LUD4 F1LUD4
A0A0G2K242 A0A0G2K242
A0A0G2JXT8 D4A552
Q5EAJ6 D4AAK2
G3V7Z1 G3V7Z1
D3ZUQ8 D3ZUQ8
F1M8E7 Q6AY80
F1M6V8 D3ZW08
D3ZDJ3 D3ZPI8
B1PLB1 B1PLB1
F1M1Y4 F1M1Y4
F7ESD4 F1M0R1
F1M8E7 F1M8L9
D3ZUW6 A0A0G2JUS6
Q62976 F1M155
F1M9V7 G3V9N1
D4A1J3 D4A1J3
D4A6J0 D4A6J0
A0A0G2JXY1 M0R8P3
A0A0G2KB96 A0A0G2KB96
Q5XIQ6 D3ZPD0
D3ZD11 Q6P6U0
F1M6P8 M0R589
F1LUA2 B0BN18
D3ZEI6 Q27W02
D3ZIV8 Q5U2U7
D4A4X5 G3V8G3
Q3B7T9 P52164
A0A0G2K9D6 D4A962
D4A615 D3Z8X4
Q4QR75 Q4QR75
G3V926 D4A3J9
F1LSM2 F1LSM2
Q63120 Q63120
Q5XIE1 D3ZA12
F1M943 D3ZRJ7
Q6AXU3 D3ZTL2
D3Z863 D3Z863
Q505J8 Q4G061
D3ZUX5 Q6P7R8
P68511 P68511
O88368 F1LMK3
A2VCX1 Q68FQ7
A9CMB8 A9CMB8
D3ZKC9 D4A401
D3ZI68 D3ZI68
F1LRE1 F1LT49
G3V8M5 G3V8M5
B5DEY8 B5DEY8
Q9WVK7 Q9WVK7
A0A0G2K2S5 D3ZI07
B5DEL1 Q7TNY1
D4A3A1 D4A3A1
A0A0G2JXI1 A0A0G2K4P5
D3ZHP7 D3ZHP7
F1LMD6 Q64361
P0C1S9 P0C1S9
P43138 P43138
A0A0G2JUM3 A0A0G2JV16
D4A552 A0A0G2JSW0
P70550 A0A0G2JUC3
F1LS72 A4L9P7
F1LSG7 F1LMM5
V9GZ88 M0R8E8
P67999 Q66HP6
G3V734 A0A0G2K2S5
Q5BK32 Q5BK32
F1M957 Q9WTQ6
D3ZEH2 A0A0G2KAJ3
D3ZUU6 Q32WR5
Q642E5 M0RCH9
A0A0G2K9B4 A0A0G2K9B4
D4A2G4 A5HK05
F2Z3R0 A0A0G2K953
A0A0G2JSW0 A0A0H2UHP0
Q5U2R0 B5DF95
O35552 F1LWM1
D3ZRJ7 F1M7K4
D3ZZW2 A0JPP6
Q6IRJ7 Q6IRJ7
D4ACU0 M0R592
E9PTB6 D4AC99
F1LQM8 D4A615
Q5M9H7 Q5M9H7
G3V6E7 D4A5R0
F1M6V6 F1M6V6
A0A0G2K242 A0A0G2K7N8
Q6AY58 D3ZU21
A0A0H2UH97 A0A0H2UH97
D3ZGM8 D3ZGM8
D4ABZ5 D4ABZ5
Q3L472 Q9Z217
P69897 P69897
Q3KRE8 G3V9N1
A0A0G2KB72 Q0ZFS4
B5DFN2 A0A0H2UI22
D3ZQF8 D3ZQF8
F1LZD2 F1LZD2
P50503 F1LT49
P97580 O35312
D4A704 F7EWN2
A0A0G2K4I9 Q64268
B5DFI9 B5DFI9
D3ZV49 D3ZPU1
Q68A65 G3V6K4
F1LUA2 F1LUA2
A0A096MJZ2 Q5XIT9
P17246 P17246
D4ADS9 D3ZPR2
F1LST0 F1LST0
Q5XIT9 A0A096MJZ2
D4AA42 Q71RJ2
Q6DKY8 A0A0G2JU41
Q4KM97 F1LSC5
G3V8G3 G3V8G3
F1LPJ5 A0A0G2K0K6
F7EKI5 F7EKI5
D4A228 D4A228
Q3KRD1 Q5HZA2
Q5PQL2 Q64620
A0A0G2K862 A0A0G2K862
D4AB26 M0R4L7
D3ZEI6 A0A0G2JSV9
D3ZAB6 Q5XIN4
O88321 O88321
P47942 P47942
D3ZQL7 Q6AXW4
Q91Z84 D3ZT85
D3ZBL6 Q9JLA3
M0R6D8 D3ZXM2
D3ZDZ0 D3ZDZ0
Q5XIK2 A0A0H2UHP0
D3ZP93 D3ZP93
Q8K422 Q8K422
G3V7X9 G3V7X9
P29348 D3ZNX3
B1WC54 B1WC54
B4F7E8 G3V8Y8
E9PU01 D3ZLC1
G3V888 Q66X93
A0A0G2KA92 A0A0G2KA92
D4AEC2 M0RDF1
G3V734 G3V734
Q5BJZ9 Q5EAJ6
A0A0G2K016 F1LP82
Q6MGD2 Q5XI44
B2GUV0 B2GUV0
D3ZXS8 F1M0P3
Q4V7E1 F6PUS4
D3ZDG0 D3ZDG0
F1M943 F1M943
B1H220 B1H220
Q3SWS8 Q3SWS8
D3ZXH7 D3ZXH7
D4A6A8 D3ZMY7
G3V7S2 A0A0G2JSY8
B2RYW8 B2RYW8
Q498C9 A0A0G2K9B4
D3ZV63 D3ZV63
F1M981 F1M981
D4AB75 D4AB75
P63074 G3V734
Q5FVC4 B4F762
F1M8L9 F1LMQ1
D3ZCM7 D3ZCM7
A0A0G2KAJ3 D3ZBP3
D4A401 D3ZKC9
D3Z9K9 P18901
Q2PQA9 Q2PQA9
A0A0G2JVH4 F1LSS1
P08050 Q62976
D3Z9J4 D3Z9J4
M0R887 Q4V7E0
Q4KLM4 Q6DKY8
Q4KM96 Q4KM96
D4A3P1 D4A3P1
D3ZHJ4 Q4V7E0
D4A374 D3ZL52
A0A0G2QC22 P97535
F1LN58 P49799
D4A9Y0 F1M7K4
O35346 O35346
D3ZEI6 P52944
G3V9N1 Q5XIT9
Q9Z2Z8 Q9Z2Z8
D3ZVM4 A0A0G2K8Q8
Q6AY09 A1A5P2
D4A240 D4A240
G3V702 G3V702
E9PU01 Q2PQA9
F1LUD4 D3ZXH8
D4A0M3 P08050
E9PTS7 E9PTS7
