Q6DFW4 Q9ESX5
Q9CYH5 Q9CYH5
Q9Z2X8 Q9Z2X8
P16872 P16872
Q3TGW2 Q3TGW2
Q71KT5 Q71KT5
Q8VBV3 Q8BU88
Q8C079 Q6PIP5
E9Q1H7 E9Q156
Q3U0X8 A2AGB2
Q6A009 Q9CQC6
O35716 O70343
P17426 P17426
Q3THW5 Q3THW5
Q9JI11 Q9JI11
Q8BI66 Q9CXT7
E9PZM4 Q3UHX9
Q9JMG9 Q62227
Q9CXT7 Q9CXT7
Q4VC33 Q4VC33
Q8R1J3 Q8R1J3
Q80ZU0 Q8VBW5
H3BJ52 Q9QZ28
Q9WUK4 Q9WUK4
Q80XI4 Q91VR8
O88307 Q9CQF4
Q6PAR0 Q921S7
Q9CQF3 Q9JIK5
S4R2L8 Q91VZ5
Q9WV04 A0A1L1STT0
Q8QZY9 P26350
P41233 P41233
Q8CEE7 Q8CEE7
E9Q9B7 Q6P1G0
Q3UNA4 Q3U2J5
Q9CS74 O35625
Q8VBV3 Q3UZ64
Q99KU0 Q8K0C4
M0QWA7 Q6PGA2
Q8BFX1 Q9DAM5
P34960 P34960
A2ADB2 A2ADB2
Q80ZU0 Q5SSG5
Q6P5D8 O70194
Q91WC9 Q91WC9
Q8BT18 Q6XUX1
Q9JM51 Q9JM51
B2RXC6 Q64478
Q6PFD6 Q6PFD6
P40646 P40646
Q05921 Q4VC33
Q9D828 Q9D828
Q3UHE1 Q8BGI7
Q9CXF7 Q9CXF7
Q3UFM5 Q9WUA2
Q8BJD1 Q2QI47
P00158 D3Z6K8
Q6P1E7 Q8K0G8
Q8CI96 A0A0R4J057
Q9JI18 Q8BLR7
Q8C0D7 O35716
Q8CCE9 Q60987
A0A0R4J1F5 E9PUE2
A0A087WPU8 A0A087WPU8
A2A8Z1 Q6PAJ3
Q8VIM0 Q8VIM0
Q5U5I3 P28322
Q69ZK7 Q9WV04
Q91Z50 D3YWH1
Q9Z0U9 Q8BTM9
Q64336 Q64336
E9QAB6 Q6PGF2
Q9D1N9 Q6PIE5
Q9QVN7 Q9D4C1
S4R2L8 S4R2L8
P31230 O70492
O35679 O35679
Q99P50 P32082
Q924W9 Q8C9M8
Q99M01 Q9CYU6
P27889 P27889
O35683 Q8CAE3
Q6P5F7 Q6P5F7
Q8C9B9 Q8C9B9
Q8R2K7 Q8R2K7
Q99M02 Q99M02
Q8K1Y2 B2RPY5
Q4G5Y1 Q4G5Y1
Q8BVN7 P54763
Q5EC55 A0A1D5RLV3
Q8R3P2 Q91V57
Q5HZG4 Q9CQT2
Q6ZQJ5 Q9D0L4
Q9CPZ1 Q8C9M8
P48962 P43275
Q8K1R3 Q8BHN1
A0A0B4J1F0 P26955
Q99PM9 A0A140LJ72
P58390 Q9D2F7
Q9QXK2 C0HKE9
Q8K2F0 Q8K2F0
P49442 P49442
Q3UHH1 Q5ND34
Q2YDW2 P62274
Q6R0H7 Q6Q477
E9Q6L9 E9Q9R9
Q9ERI5 A2A7B5
E9QL65 Q8BIP0
P13346 P13346
O70514 O70514
A0A0A6YWI5 A0A0A6YWI5
Q60665 O70494
Q8CCK0 Q8BZ60
Q8C120 Q0VBM2
Q60665 J3KMG9
Q9Z1X2 Q8K0P3
Q5DW34 Q9QZB7
Q9JIZ5 Q9JM05
Q80TR8 V9GWZ4
A2RTU1 Q810A1
H3BJD7 Q9D6K5
Q8R1G1 Q8R1G1
P46735 P46735
Q80YD6 Q8BHE5
Q61521 Q61521
P49312 P49312
Q80XQ8 Q80XQ8
P97445 Q3UHD9
B2RW38 B2RW38
Q8R2U0 Q8R0W1
Q9DAY5 Q6ZPK7
P35762 P35762
Q8CE33 Q8CE33
Q9ER67 Q9ER67
G3X9P9 A2CG28
P13864 P13864
Q4VAH7 Q61743
P97469 P97469
Q6ZWU9 Q6ZWU9
Q9DAG9 P09926
Q64127 Q64127
P59470 P59470
