RN_81643/HS_3952	RN_24954/HS_23090	RN_25622/HS_55540	RN_684558/HS_1879	RN_291019/HS_1879	RN_291556/HS_1879	RN_83422/HS_1879	RN_286937/HS_1879	RN_117104/HS_1879	RN_124323/HS_1879	RN_316273/HS_1879	RN_81743/HS_1879	RN_25528/HS_50862	RN_29345/HS_1879	RN_300674/HS_6334	RN_58983/HS_1879	RN_679712/HS_1879	RN_81677/HS_1879	RN_360975/HS_1879	RN_24479/HS_1879
RN_361167/HS_84634	RN_171140/HS_3814	RN_65033/HS_84634	RN_266777/HS_84634	RN_360854/HS_84634	RN_117273/HS_84634	RN_315713/HS_84634	RN_308666/HS_84634	RN_116654/HS_84634	RN_361100/HS_84634	RN_29711/HS_84634	RN_29712/HS_84634	RN_24560/HS_84634	RN_84556/HS_84634	RN_64528/HS_84634	RN_303306/HS_84634	RN_313413/HS_84634	RN_93646/HS_84634
RN_297755/HS_154661	RN_83531/HS_53944	RN_288064/HS_154661	RN_367171/HS_154661	RN_81650/HS_154661	RN_60335/HS_154661	RN_29221/HS_154661	RN_24587/HS_154661	RN_79120/HS_154661	RN_25594/HS_154661	RN_25009/HS_154661	RN_363140/HS_154661	RN_362440/HS_154661	RN_171155/HS_154661	RN_81922/HS_154661	RN_298203/HS_154661
RN_58857/HS_6323	RN_24898/HS_6324	RN_25531/HS_6323	RN_25690/HS_6323	RN_24768/HS_6323	RN_313647/HS_6323	RN_300250/HS_6323	RN_289229/HS_6323	RN_54318/HS_6323	RN_56611/HS_6323	RN_171093/HS_6323	RN_500261/HS_6323	RN_65028/HS_6323	RN_84390/HS_6323
RN_58857/HS_9699	RN_291671/HS_11069	RN_295347/HS_9699	RN_24768/HS_9699	RN_498407/HS_9699	RN_289229/HS_9699	RN_64196/HS_9699	RN_116655/HS_9699
RN_24917/HS_3699	RN_63836/HS_3742	RN_29211/HS_3699	RN_25498/HS_3699	RN_245959/HS_3699	RN_29578/HS_3699
RN_24917/HS_51115	RN_83709/HS_1571	RN_29211/HS_51115	RN_245959/HS_51115	RN_29578/HS_51115
RN_25023/HS_23024	RN_81802/HS_8153	RN_25130/HS_8153	RN_25558/HS_2876
RN_300711/HS_4045	RN_81810/HS_257194	RN_84350/HS_257194	RN_84350/HS_4045
RN_25690/HS_9283	RN_24898/HS_577	RN_114562/HS_9283
RN_680423/HS_6334	RN_292732/HS_79663
RN_50664/HS_5649	RN_353227/HS_8153
RN_116549/HS_10716	RN_89789/HS_25927
RN_54241/HS_3689	RN_314906/HS_272
RN_25255/HS_131450	RN_192154/HS_79663
RN_300711/HS_257194	RN_81810/HS_4045
RN_60324/HS_63826	RN_293524/HS_5662
RN_24954/HS_27289	RN_24896/HS_64764
RN_295923/HS_151835	RN_25344/HS_56925
RN_24786/HS_154043	RN_25506/HS_3952
RN_289229/HS_4143	RN_499088/HS_9211
RN_24400/HS_2743	RN_83709/HS_1136
RN_689161/HS_8153	RN_301252/HS_8334
RN_500569/HS_6334	RN_24577/HS_79663
