Q3UQ17 Q5S3S9
A2AEG2 D3ZUD5
P49182 Q64268
Q8R464 F1M7V6
Q6P5B5 B1H2A6
P18762 Q8VBU7
Q5RJI4 F1LMM4
Q9CZ69 Q7TNZ9
Q8C0M0 D3ZGZ9
P61219 O88828
Q8BHG3 D3Z9E9
P11680 B0BNN4
Q8C708 Q6IRH4
Q9DC29 O70595
Q6ZPL9 D3ZX56
Q8BW56 Q53E76
Q3U3I9 M0R740
Q8BMU0 F1LNL6
Q9DBP0 A0A0H2UHZ0
P02340 P10361
F7C846 A0A0G2JU49
Q9DBF7 G3V6I3
B2KFW1 D3ZCC2
Q8BVR6 A0A0G2K1G4
Q8VCR3 D4A7K0
Q9R229 A0A0H2UHH4
Q640R3 D3ZEI4
Q61826 O70540
Q80WM7 D4AB49
P54751 E9PSJ1
Q9R059 D3ZPF0
Q3U4G0 D3ZYC4
Q5SV80 D3Z8I9
Q793I8 Q5XIB9
Q9CZX5 A4L691
Q8K450 A0A0G2K9K6
Q3UV71 D4A2M3
P05480 Q9WUD9
Q9CPW4 Q4KLF8
Q9D979 D4A8L7
Q3UIL6 A0A0G2K6Z8
Q6NVG5 D4A9U9
Q9QZ26 A5HKJ1
P52955 Q1XID0
P58659 D4A895
Q9JHG1 B2GUT8
Q8VCR2 Q5M875
Q8C708 Q5BK39
P41593 P25961
Q91V79 D3ZIQ3
Q9CQG3 Q7TSV3
Q80YE4 Q9ERC5
P68369 P68370
Q8BWG9 F1LNX2
Q8R2G4 Q6AYJ9
Q8CI52 D4A135
Q9D0T2 Q9JIM4
A0A0R4J1E4 Q6IE50
P63056 P63057
O35310 G3V7E2
P35375 P70597
P63085 P63086
P01108 P09416
Q8CB76 M0R5T3
E9QJS7 A0A0G2JSI4
Q8JZS7 D4A5C3
Q921D9 A0A0G2JTY1
Q9R0K7 P11506
Q3UGS4 B0BN72
Q8R1F9 Q5BK64
Q9JLI7 F1LXV9
E9QK16 F1LMF4
Q9WUD1 D4A4T0
Q60838 D3ZB71
O08674 D4AEG0
Q9D1M4 B2RYN3
A0A0R4J187 Q6AZ64
Q9CPV2 D3ZDN9
Q8VEI3 A0A0G2JSP4
Q8CI61 F1M3K6
Q76LW6 F1LV65
Q9DBX7 D3ZIH3
P98200 D4A3X6
Q3TY60 F8WFH6
Q8CJ70 D3ZFI7
Q9JI48 B5DF36
Q69ZS0 A0A0G2K4K7
P12023 P08592
O08537 Q59IV8
O88876 Q3B7V0
Q9Z1D8 A0A0G2K008
Q9QZ09 F1M8G0
P70160 P01257
Q8K249 E9PU35
A2A5R2 Q7TSU1
Q62053 Q62928
P35377 P35370
O35679 E9PU35
Q8VHG2 A0A0G2JX94
Q3TMU8 F1LNT0
P15920 Q3B7D3
A0A1L1SU27 D3ZQ60
Q9QZS2 O88846
Q61062 D4ADV8
P97477 Q3MHU2
Q8BUN5 P84025
