Q5FVQ0 Q91W10
P04692 Q9JM05
F1LS98 Q4VA93
D4AAA5 Q3UN58
Q62785 Q3UHX2
Q4V8A9 Q3TUA9
Q6P689 Q6DID7
F1LS98 Q3TQ39
Q66HJ7 P18052
G3V8S5 P48754
A0A140TAI1 Q8R317
B2RYW7 P16254
D3ZR96 Q04886
F1M6V7 A2AQ92
R9PXT7 P34960
Q0PGW2 Q3UHG7
Q66HC5 Q8BJ71
Q9Z269 Q8BH80
G3V6J8 Q8K4K4
D3ZME7 A0A0R4J0T0
F1M8E5 Q05BA5
Q5BK32 Q3TDN2
F1LN48 P35419
D3ZF19 Q9D850
F1M1L9 P59108
D4A7M3 Q58Y75
F1LNX2 Q8BWG9
D3Z8X5 Q58Y75
Q5U2M8 A0A286YCY4
D4A7H1 Q8BZ00
P29066 Q8BWG8
F7F189 Q9D0F1
Q01714 O89090
Q498R1 A0A0R4J0G9
Q5BJY8 A2BGN7
P10361 P02340
B5DF02 Q921E6
D3ZF21 Q8BWS5
A0A0G2JWR1 A0A1L1SVA9
D4A7M3 B1AZ99
D4AEK7 Q9DAY6
A0A0G2JYY3 G3X9X7
Q9JLY8 P51675
Q6XVN8 Q91VR7
D3ZUA2 Q8CCN1
Q80U96 Q6P5F9
F1LMM4 Q5RJI4
A0A0H2UI22 P53566
G3V784 A0A1L1SSF2
Q62755 Q9CQ26
P20417 P35821
P18422 O70435
P35565 P35564
A0A140UHX4 Q91WG5
A0A0G2JW83 Q9EQT3
B2RYB1 Q8K2W3
G3V8P2 Q91WU5
Q06175 Q06186
A0A0G2JZW3 Q91WI7
G3V8M5 P97470
F1MAS4 G5E8C4
M0RBS0 Q9CYY7
F1M6X3 B7ZBV9
O70509 A2APM2
B2RYC7 Q3U436
D3ZBL5 D3Z230
D3ZW33 P97303
B2GV41 Q3TIX9
A0A0G2K0D4 P19785
P62250 P63325
D3ZC02 Q6PDK0
D3Z837 Q80UW5
Q6PED1 P30882
D4A9U9 Q6NVG5
O54857 O08586
O35796 Q8R5L1
D4A9N5 Q61510
M0R975 P86045
G3V8A3 A2AQ99
Q6AY34 Q91ZD1
Q5M947 Q9CYX7
A1L1L5 Q3U3M5
F1LNG5 P26450
D3ZU55 P42128
A0A0G2K5U0 Q80V62
F1M953 Q03265
M0R8C5 Q8C460
A0A0G2JSP3 Q9JLV5
Q5U367 Q920Q6
D4ACL8 Q62388
D4AA14 Q8BUE4
D3ZJ04 Q8BZ89
D4A1J3 A2TJV2
Q6AXS5 P28352
G3V6C8 Q6W5C0
Q10746 P50228
Q6MG27 P20263
A0A0G2QC60 P25801
A0A0G2QC09 B2RWS6
M0R8R8 Q61080
P63140 P63139
Q5U2U8 Q9JLV1
P17325 P05627
A0A0G2JWR1 E9QKG3
Q10468 Q09200
G3V6C8 P50228
Q10746 Q6W5C0
Q5RJQ7 Q6NS82
F1M6X3 F6UC55
D3ZW38 Q8BTW3
Q5U2R4 Q3UFY8
P19814 Q62313
Q6AY02 Q8JZX4
F1MAS4 D3Z2Z3
F1M590 Q3V1N5
Q3MHU2 P97477
A0A0G2JSI8 P19091
Q498R1 A0A1Y7VLV0
Q56R17 O35343
F1MAS4 O35161
P08592 P12023
D3ZH14 Q69ZZ6
Q66MH4 P97929
D4A3W9 P22727
B5DF91 P70372
G3V6K6 Q01279
P35739 Q3UFB7
D3ZFR9 Q8CEE7
Q9JK11 Q99P72
A0A0G2K6Z8 Q3UIL6
Q5BQE6 Q8VCH6
F1LN48 A2AQ92
F1MA52 Q99JX7
E9PTT0 Q80TN5
P68035 P68033
P62994 Q60631
D3ZCR1 P17553
B2RYC7 D6RJM5
G3V9A8 A0A286YD43
D3ZGZ9 Q8C0M0
D3Z8X5 B1AZ99
D3ZBL5 F6R4N2
M0R613 O55237
Q6RUV5 P63001
F1LR39 Q4VBE8
M0R3P2 P35456
Q5U2M8 E9QK89
Q5XIW8 Q9Z315
F1M6V7 P35419
Q5XIS4 Q9CR89
