F1RWA0 A0A1B0GR74
A0A286ZKK7 Q9D906
F1SSL6 Q8R5L1
F1S1F6 O88597
P79432 A2AEG2
Q6QAT1 P62307
F1S4G0 H3BJM0
F1STR7 O70494
F1RHU6 Q61545
A0A286ZS52 Q91YK2
A0A287BSV9 Q60665
Q6QAT1 Q60715
A0A287AXP1 P97377
F1SMW9 Q9JLN9
P79432 Q9WVS8
I3LM80 Q8VCH6
F1SIX8 F6V5B0
F1RQD6 Q8VIM0
A0A287AJW5 Q80UG2
F1SUT8 Q9D7X3
A0A287BNZ9 P97504
F1S525 P48025
A0A287BSE8 Q8C156
F1S0N7 Q91ZD1
A0A287BDW6 O08586
A0A287BHL2 F6V5B0
F2Z540 O35864
A0A286ZX89 Q9CR13
F1SEI1 Q8BW72
A0A287AMJ5 Q64151
A0A286ZVC0 Q8BGB2
A0A287BS39 Q64727
A0A287AKG6 A0A1L1SU00
I3LCN0 Q8VDF2
F1RHJ1 Q8VBW6
F1ST14 Q3UHD6
A0A287A176 F6U5V1
P79432 P63163
F1RVT6 Q8CFT3
I3LF48 Q64347
A0A286ZUR0 Q8K2J7
F1RRN3 Q8VE73
F1SMJ1 D3YXF5
C6JWG4 Q9JJN1
F2Z4Y0 Q8BP71
A0A287AZJ9 Q9D906
F1SCF5 P63163
A0A287AGT7 Q8BQM4
F1SUK6 Q8BWY4
A0A287BFM2 Q1RNF8
F1RMN5 Q06180
A0A287AT90 Q76I79
F1RG41 Q9JI39
A0A287A682 B1AWD9
F1RVR8 Q99JA5
F1SMP5 Q99J79
A0A287B1A2 Q8BSK8
F1SIC1 Q6P5D4
A0A287ASV0 Q9CXL1
K7GR70 Q61510
F1S9Y5 Q60996
F2Z5G2 Q9CW03
A0A286ZIP7 Q8CJ61
A0A287AU22 G3X924
A0A287B7I6 Q8C156
F1SRN9 Q9R1M5
A0A287A9H2 O54946
A0A287B9K7 Q07076
F1SNI2 Q8BHZ5
I3LBA2 Q9CZB0
I3LCN0 Q3TLH4
A0A287BDY2 Q9CZJ6
A0A287AL02 P48025
A0A287AVQ0 Q99K46
A0A287AB40 E9QP49
A0A287B877 P37242
F1RLB6 Q9DB05
A0A286ZVC7 Q3V1L4
A0A287BHL2 Q64347
F1S041 A2ABU4
F1RVT6 Q9WVS8
A0A287ASC7 G3UVW3
F1SA99 Q9Z238
F1SKG2 O88700
I3LPN4 Q91WR3
A0A287A450 E9Q6Y8
F1RMJ3 P62984
A0A287A688 Q9CZ52
A0A287BMU4 Q9WTV7
F1SE73 O08811
A0A286ZPK2 Q03526
A0A287AX02 E9PXB7
A0A287AB40 Q8K2J7
F1S4Y2 Q62227
F1RPK6 Q80ZW2
A0A287B231 Q8R317
F1S4Y2 Q9ERI5
F1SB79 Q6P9S1
A0A286ZV36 E9Q6A7
A0A287BHL2 Q8CHP8
I3L9N5 Q8BJY1
I3LII4 Q07832
A0A287BA07 B1ASA5
I3L6Q2 Q8BP78
F2Z558 P63101
I3LK68 P47857
F1SSH4 Q8R1N4
F1S064 Q9JMG9
A0A287BEY7 P23804
I3LCX3 Q99JT2
A0A287B856 E9QK16
F8SIP5 Q61043
F1SKG2 P29452
F1STD8 D3Z230
