P08238 A0A0G2K0D4
P42695 A0A140UHX3
Q14258 P35739
Q13618 A0A0G2JSP3
P62942 A0A0G2JZ53
P02751 A0A096P6L8
Q15750 Q6IRE4
Q92905 D3ZP96
P07900 P62994
P62942 A0A0G2K889
O14980 G3V6K6
Q9UJM3 D4A3E8
O76021 B2GV41
P55735 F1LPQ4
P04049 Q9Z136
P49736 P10361
P34931 D3ZRE3
Q13573 P46462
P59998 D3ZK36
P01106 A0A0G2JZG2
Q15717 B5DF02
Q9HCE1 F1MA52
Q9UBU9 D3ZUC2
P38398 Q80U96
P83731 Q3MHU2
Q96HS1 A0A0G2K2C2
P0CG48 G3V8S5
P55735 A2RRU3
Q15750 B2GUZ0
