F1RQB0 G1TBM7
K7GNR7 G1T4L2
F1S0D9 G1SKW5
A0A287BQU7 G1TI40
P67937 G1STX3
A0A287B3F4 G1TEZ1
I3LP37 G1T1X4
A0A286ZPK2 G1TFL8
I3LGU6 G1SFK9
F1SUB2 G1TH06
A0A287A6L4 G1SKW5
Q8HZV3 G1U6X2
I3LII4 G1SV90
A0A286ZMY6 G1T866
F1RSS9 G1T852
B5LX40 G1TTN9
I3LDH3 G1TEI0
A0A287ASJ4 P67828
F1S827 G1SW77
F1S6I1 G1SJ71
I3LCK3 G1SK67
F1SE73 G1SV05
A0A287AJQ1 G1T4N4
A0A287A4H3 G1T6B3
A0A287BAE1 G1SPY3
I3LPN4 G1T579
K7GL93 G1TAL4
F1SMV6 G1TVT0
A0A287ABH5 G1T9U0
P67937 G1SF00
A0A287AJQ1 G1SWA1
A0A287BHL1 G1SPY3
F1S9X6 G1SQR5
F1SD26 G1SND5
A0A286ZTN5 G1T481
A0A287BNK4 G1SH00
A0A287AJQ1 G1SDJ7
A0A286ZZJ6 G1SL61
A0A286ZQA1 G1SIC9
A0A287BNE4 G1SDU5
A0A287AEI6 G1T2C3
A0A286ZQL9 G1SZ83
A0A287B5K5 G1T9H0
Q8HZV3 G1T6B3
A0A286ZVJ4 G1T6B3
A0A287BLB3 G1T1X4
F1SV20 G1T7X7
F1RF31 G1SDL0
P79288 G1SWX5
A0A286ZKN9 G1T440
F1SS96 G1U0J6
M9MMN1 G1T1L1
F1SMW9 G1SVF2
I3LCM7 G1STB0
A0A286ZMP7 G1SCY4
A0A286ZWZ7 G1SG44
I3LEH3 G1SHN4
A0A287AX48 P67828
K7GSU4 G1SZ01
F1SFU2 G1U255
F2Z5G2 G1SKW5
A0A286ZWZ7 G1SRP7
A0A287AXP9 G1TQT7
A0A286ZIV3 G1SRE8
I3LRY4 G1SWA1
A0A287BB27 G1SSF7
F1SA98 G1SZD6
M3VK17 G1U2J8
F1SV57 G1SUW9
K7GM14 G1TJ26
F1RSE6 G1SFY9
I3LU37 G1SDU5
F1RN84 G1TA41
F1SID1 U3KN03
A0A287B3F4 G1SNZ2
P67937 G1T2F2
F1SPK0 G1T4N0
M3TYJ4 G1SKW5
A0A287BHL1 G1TRH0
A0A287BHC9 G1SMY6
F1SD26 G1SFP4
I3LH61 G1SH29
F2Z5I5 G1U419
A0A287BNK4 U3KN03
A0A287BSE8 G1SDP7
A0A286ZI26 G1SUG3
A0A287ANN0 G1SZB4
F1RPZ0 G1TDL3
F1RGG1 G1TN62
A0A287B4M4 G1TIX5
B5APV0 G1TV31
F1SG38 G1STC9
A0A287B5K5 G1SQG5
A0A287A4Z0 G1TET8
A0A287AFI9 G1SGY8
A0A287AXV6 G1T4M9
A0A287A096 G1T1X4
F1S6Z4 G1TK20
A0A287BNK4 G1TPN2
F1RPH3 G1T6U3
F1RJ11 G1U0E9
A5GFZ7 G1T162
A0A287B9N1 G1TNG2
F1S415 G1T1S7
F1S0L5 G1SI13
A0A287A2D4 G1U2U5
I3L740 G1U2J8
A0A287BA12 G1SSG2
I3LQB7 G1SSF7
F1RSE6 G1T0H3
A0A287B3F4 G1T634
A0A287AB66 G1TRW0
A0A287BLB3 G1SWA1
F2Z558 G1SDY5
A0A287BAE1 G1SPX0
A0A286ZKC0 G1SJX7
A0A287AJU8 G1SWX5
F1S7K1 G1SF70
F1SB29 G1SGV2
F1SAQ3 G1STP0
F1SGX3 G1TCC3
F1SNW8 G1TH06
F1S7K1 G1SP27
A0A287A096 G1SWA1
I3LU37 G1TS96
I3LDH3 G1T0H3
A0A287AXP9 G1TD98
Q2XVP4 G1U466
A0A286ZKV2 G1SHZ3
C0SW08 G1T0H3
A0A286ZS33 G1SKM1
K7GR70 G1T143
A0A286ZWZ7 G1SNZ2
A0A287AVH0 G1SNW9
F1SS94 G1TBF8
A0A287BHL1 G1SPX0
F1SID1 G1SKZ3
Q8HZV3 G1TCW1
F1SFU2 G1TEG7
