Q96M02 D3ZAA3
P04637 A0A096P6L8
P00533 P08592
Q14258 P35739
P05412 A0A0G2K5U0
Q15717 B5DF91
P04629 D4A9N5
O14980 P62260
P48039 G3V788
P02751 P02650
P49768 Q6AZ60
P04637 D3ZB71
Q14258 A0A0G2K5U0
P05412 P35739
P04629 P17325
Q8N5N7 D3ZZE0
P06748 A0A140TAD2
Q92731 G3V845
Q14627 D4A3W4
Q96AG3 D4A227
P0CG48 P62260
Q13643 Q64568
Q4VC05 D3ZIZ0
P45983 A0A0G2JSR4
Q6P087 Q9R080
P09651 Q80U96
Q9NP70 G3V6F8
Q8IXL6 F1LNG5
Q15102 Q4FZS1
P04637 B5DF02
Q8IYW5 M0R3Z4
Q01844 P19139
P63096 Q5U2R4
P03372 G3V6K6
Q9NRG4 G3V7P2
P04637 F1LPJ6
O14530 D4A4V7
P12830 F1LU18
P20648 D3ZPN0
Q00610 F1LYA6
Q96HR8 Q9WTV1
P68400 P18418
P14151 F1M567
P62993 P19139
Q9UBU9 O88767
P16083 D4A7A8
O95274 O70593
O14965 D4A9N5
Q86X19 O70534
P05412 B5DF91
P05067 P62260
Q9Y5Y0 B2RZB3
Q04917 E9PTT0
Q15717 D4A8G7
Q8WUB8 M0R4R9
Q04206 P21708
Q86U86 Q5U2T8
Q13573 D4A8G7
P02675 Q63486
P02751 Q9ET50
P49116 Q5XI31
P52742 D4AA36
P49841 O70436
P41182 P97532
Q99075 D3ZME7
P20929 F1M8E7
P25054 F1MA52
Q99808 O35276
P12931 P38438
Q9UBU9 F1LNG5
O43765 G3V7D9
Q9NVM1 P70597
P04629 P08592
P05067 B5DF91
P00533 D4A9N5
Q08379 Q63429
P80370 Q8VBU7
Q8WYR1 A0A140TAE2
P21912 Q5EB98
O15055 Q5U315
P60709 B5DF02
Q9NQ11 Q66HF7
Q9HBU9 D3ZKF3
P63104 P62260
P35610 Q8CJB9
Q6A162 P04897
Q13573 A0A0G2K5U0
P23327 O55232
P05067 P08592
P04629 P35739
Q14258 D4A9N5
Q8IZC7 F1LQR7
P60369 Q62844
P02545 Q80U96
O60238 F1M9Y9
Q01844 A0A0G2K5U0
Q8WZ59 D4A0X1
Q5T700 A0A0G2K288
Q9UEU0 B0BN88
P02545 G3V8D5
Q9UEU0 Q9Z2H4
Q00610 Q6IMY8
Q8WZ59 M0RAK3
Q14258 P08592
P05412 D4A9N5
Q15717 P62260
Q5T700 D4AE21
O60238 Q9JI92
Q01844 B5DF91
Q16820 D3ZE86
P02751 A0A0G2JSP3
Q9NY27 D3ZQF4
P49736 P34058
Q6UWQ5 D3ZF35
O15379 D3ZV15
Q03405 Q6MG27
Q09328 Q5FWU5
Q6UWQ5 A0A0H2UI30
O95071 A0A096MJY3
P26447 B2RYU3
P04637 Q5XI07
Q5TCS8 Q66HG0
O15379 F1MA52
Q9Y2C4 F7F5A1
Q9BWF3 G3V8S5
P04637 P63170
Q15843 Q03555
Q8NH73 P07727
Q9UBU9 D3ZWS0
O75380 Q6QLM7
Q9BQ87 Q6QI89
Q15022 D4A8G7
Q03181 A0A0G2K5H7
P07900 D3ZP96
Q9NR09 P48004
P04637 Q4KMA2
P13726 D3ZN47
P21333 Q3B8Q2
O00548 D3Z877
P46531 F1LNG5
P78549 D3ZJQ8
P04637 Q91ZW1
P30550 A0A0G2K2K4
Q9BV73 D3ZQC6
Q13637 A0A0G2K897
Q9UBU9 F1MA52
Q9H0W5 P54645
Q8N6G5 P0DP29
Q8NA58 P15390
P12830 Q63429
Q8IXK2 P0DP31
Q68DK2 B5DFJ6
Q08379 G3V8S5
Q8N4S9 F1MAQ6
Q15697 P41224
P62807 D3ZJY1
Q96JS3 Q5PPN0
Q12933 P19139
P08048 D3ZLQ6
Q99496 B5DF02
Q8WUH2 Q6AYF6
Q15796 D3ZGS3
P62891 D3ZYQ2
Q99459 F7ENH8
Q96L73 D3Z8I4
Q99819 Q5XI51
P60953 D4A648
Q8IVB5 G3V6G7
