Q9CPP0 Q6PAC3
Q99JN2 A0A286YCV9
E9QKA4 E9QKA4
E9QNN1 E9QNN1
B1AWD9 B1AWD9
Q3TQB2 Q8BU88
Q9DAG9 P55271
Q8CIE4 Q8CIE4
Q99MU3 Q8C0C7
O08811 Q3UHC7
Q6PDQ2 Q8K284
Q9CPU7 Q9JI91
Q9WUI1 E9QN59
O35286 O35286
Q8BR27 D3YW39
Q9D6Z0 Q9CQI9
P42581 P42581
Q6PAM1 Q6PAM1
Q9JMH7 Q8BR07
Q07563 Q07563
P56857 P56857
Q9R123 Q08AT1
Q60876 Q60876
Q4VBE8 Q3TML0
A2APM2 A2APM2
Q9CZT6 Q9WUV0
Q3UD01 P54369
Q9D906 Q8CFT3
Q8K3F7 O35892
E9Q5L8 Q8C0Q3
Q9WTP9 A0A0R4J090
A0A286YCV9 Q9CWT6
Q9JMH7 Q99JP0
Q8BK63 Q8BK63
Q3UV70 Q3UV70
A0A0R4J1S3 A0A0R4IZX1
A0A1L1SU00 A2CG28
Q8BT18 Q8BT18
Q9CQ52 Q9WTP9
Q99JP0 Q99JP0
Q99PN3 Q9CS74
P56371 P56371
Q8CCA0 P36552
F8WGW3 Q6PDQ2
Q09200 Q8BT18
Q6P243 Q91WD9
A2ALW2 A2ALW2
Q3TML0 Q3TML0
Q8VDT9 Q8VDT9
Q62226 Q62226
Q61069 Q62431
Q60739 Q8BU88
O35295 Q9DBR0
Q8BKJ9 Q8BKJ9
Q6P5F7 Q6P5F7
Q9D6Z0 Q99K74
Q0VGU4 A2A8Z1
Q8BGZ1 Q8BGZ1
Q9QY93 Q9QY93
D3YV92 O89098
Q3U717 Q8C170
Q99LE6 Q9Z1F9
P84104 Q8VDM6
Q91ZG2 Q9D2D9
Q6RHW0 Q6RHW0
P09926 Q8BRM2
Q61696 Q8BVK9
Q8VCM3 Q8VCM3
H7BX05 G5E8B9
D3YVH8 Q8QZS5
O35988 Q8BVR6
Q07235 Q07235
Q9DAS1 Q9DAS1
D3Z1Q2 D3Z1Q2
Q9WUJ8 O70139
P09036 Q922X9
O35609 Q9R061
Q9EPB5 A6BLY7
A0A0R4J073 Q99KF1
P40630 P40630
Q8K3I4 A0A0R4J0R3
Q99JX4 Q8BU30
Q6P542 Q6P542
P58659 B9EHI3
A2AEP2 Q9CVI2
Q7TNF0 Q922X9
P97378 P97378
Q9JI91 Q9WVM1
Q6R0H7 Q6Q477
Q8C0I4 O88509
P60605 Q9D023
P05213 P05213
Q80X98 Q80X98
Q8R4E9 Q61390
Q9CQI9 Q9D6Z0
Q99JT5 Q99JT5
Q9JM51 Q8VEI3
E9QL43 E9QL43
P54369 Q5U462
Q62559 P58390
Q99JP0 Q9JMH7
Q8K353 Q62381
Q9CRA4 Q8K0C4
Q9Z1N9 Q3TBN1
Q3UFM6 Q9CS74
P54822 P54822
Q9CUB6 Q80UP3
Q9Z1E3 Q91ZD6
Q99JB0 Q99JB0
P41272 Q9JJR8
A2A8L1 P41233
Q8VCM5 E9QKG3
P58390 Q91ZY2
Q921V7 Q5FW53
Q9D0U1 E9Q6S0
Q80VQ1 P08226
Q9D0E1 P61222
Q99PN3 Q8C804
Q61263 P83741
Q9CPY4 O54917
Q9Z0V8 Q9CX66
Q6PAR0 Q8C5Q4
Q7TNS2 P31257
Q91YT7 Q91YT7
Q61371 P43687
Q7TT18 Q7TT18
P09036 Q8BGZ1
Q61152 Q3UHC1
A0A0R4J057 Q8R2N0
Q6PHZ5 G3X9Z4
Q8CE33 Q61160
P61407 P61407
Q8R0S1 Q91WD9
A0A0R4J0S2 Q5STE3
Q9D0E1 Q8BVQ9
Q62559 Q0P5X5
E9QMA6 E9QMA6
B2RXC2 Q9QXY7
A2AG50 A2AG50
Q9CZ04 Q99N84
Q9D0M0 E9QN59
A0A0R4J0D7 Q9Z2V4
G3X8V6 Q3UD01
Q922X9 Q99MS7
P61222 Q8K4Z5
A0A0B4J1F0 Q60771
Q5NCI0 Q6P9L6
Q8K371 Q9CQ49
Q8CFC7 Q8CFC7
Q80SY9 P97378
O35892 Q6PD29
Q9D1Q6 Q9D1Q6
E9QAP1 P43431
Q8C804 Q9CUB6
Q9JJP2 Q9CS74
Q9Z0L4 B9EHI3
Q8BTZ4 Q8BTZ4
D3YXQ7 E9PVY8
G3XA20 A3KBF5
A0A0A0MQ90 Q80UQ2
Q8R100 Q9WUZ7
F6YG30 Q9JLY7
Q61024 A2AKX3
Q921V7 Q8BYG9
Q499D0 O88379
Q5RL57 Q5RL57
D3YXF5 D3YXF5
O55082 Q5D078
Q80X71 Q80X71
Q8R2Q8 Q58Y75
Q8BQM4 Q8BQM4
Q80U63 Q8K1R3
Q8R5K4 P35293
A0A0A0MQ97 A0A0A0MQ97
P62878 P62878
Q09324 Q9R1K7
A0A1L1STX8 A0A1L1STX8
Q3V1Z0 Q80Z38
P80314 P80314
Q8K1C7 Q9D9W1
Q9Z0H1 Q6P1G2
O88509 Q8C9X6
Q9DAM5 Q60739
Q9DAG9 Q9DAG9
A1Y9I9 A1Y9I9
Q9D279 Q8R2Q8
Q9CY57 Q9CY57
