Q99LC8 Q64270
Q8VCH6 Q5BQE6
Q9ES03 A0A0G2KAH3
A0A087WSB9 F1LVJ1
Q4VA93 F1LS98
A0A0R4J0H1 B2GV31
Q9WVK5 A0A0G2K9S2
Q8R007 D3ZET1
Q3TZ65 D3ZJC1
Q8R0J7 Q5U2Z2
Q6PDS3 O88763
Q9DC29 O70595
Q5SRY7 D3ZXC6
Q0VBL1 F1LVC4
A0A0R4J1S3 G3V9A0
O55144 G3V6M6
Q562E2 F1LYX1
Q8CHY3 D3ZP27
Q6K1E7 Q5J2D6
Q9WUT7 Q8CH33
P15920 Q3B7D3
Q8VCR2 Q5M875
Q499D0 A0A0G2JYT8
Q9DAX2 Q8K593
Q68FH0 O35274
P26369 F2Z3T9
Q3U487 F1LVZ9
O08674 D4AEG0
A2AKB9 D4A8G6
Q9JHG1 B2GUT8
Q9EQW6 G3V612
Q8C5T4 M0R7B3
Q8K288 M0R7K3
P59267 Q9JKR5
Q99P50 O08725
Q6IFX3 Q6IFW2
E9QLC0 P35563
Q9JIY0 A0A0G2KBB3
Q3UZZ4 D3ZMI6
Q6P5B5 B1H2A6
P01101 P12841
A2ACG1 D3ZQ38
Q5S003 D3ZXP4
A0A0R4J0M9 Q8CF97
Q8BW96 F1LVR4
Q3TVC7 A0A0H2UHJ2
Q8K4K4 G3V6J8
P35821 P20417
Q9QZS8 M0R887
Q8R0L1 M0R887
Q9CUN6 A0A0G2K612
Q8K093 G3V6Q2
P07724 A0A0G2JSH5
P97477 Q3MHU2
Q6ZPL9 D3ZX56
Q9CQ39 D4AA11
P35375 P70597
P97310 D3ZP96
Q3UKC1 Q66HA4
F8VPK8 F1LS01
P05480 Q9WUD9
Q9CRA9 Q6TA25
Q9JMB7 A0A140TA97
Q8R1Y2 Q5FVJ5
A0A0R4J1E4 Q6IE50
P63168 P63170
E9PZ54 Q5EB94
E9QK16 M0R740
Q06186 Q06175
Q793I8 Q5XIB9
Q68FL6 D3Z941
Q3TML0 A0A0G2JSZ5
Q3UNH6 A0A0G2K331
Q8VHP6 Q91XU7
P97766 F1LV65
Q640R3 D3ZEI4
Q6ZQ88 F1MA31
Q91WA9 D3ZCM3
P41593 P25961
Q8BTZ4 A0A0H2UH97
O70435 P18422
Q60631 P62994
D3YYZ1 D4A460
Q9WV55 Q9Z270
Q921D9 A0A0G2JTY1
O08804 F7F6T5
P63277 P63278
Q91Z22 A0A0G2K349
G3X9H5 G3V9P7
Q8BX70 D4A4K4
O88554 G3V749
Q3UV71 D4A2M3
E9Q4P1 A0A0G2K3L8
Q9JM51 Q9JHF3
Q91WS4 F1LMG2
P11680 B0BNN4
P24788 D4A3G2
Q8R1G1 Q0VGK5
P61982 P61983
Q80VA0 Q9R0C5
Q9JLI7 F1LXV9
Q8VHN8 B0BNG7
P31750 P47196
Q3TYX8 A0A0G2JUI2
Q3UA06 Q5XHZ9
Q9Z1D8 A0A0G2K008
P59108 F1M1L9
Q99M07 D3ZB55
E9QNN1 D4A9D6
F7BWJ7 A0A0G2JXZ4
Q8BHT6 A0A0G2JUT7
Q8BP92 Q62703
P68033 P68035
Q8BG99 A0A096MJK1
Q8CAB8 G3V665
Q9ER75 D4A7R4
A2A5R2 Q7TSU1
P28481 F1LRM7
Q62186 Q07984
P97770 D3ZSV7
P54841 P54842
P27577 P41156
P97370 Q63377
Q60520 A0A0G2K3H5
E9QK83 F1LXT3
A0A1L1STX8 D4A7E9
P60521 P60522
Q9ES74 D3ZBE5
E9PYV1 P62986
Q6PAC3 F1M7P1
P11276 A0A096P6L8
Q91WC9 P0C1S9
Q8CJ70 D4A2T8
Q03717 A0A0H2UI34
Q9DBX7 D3ZIH3
P60824 P60825
P52955 Q1XID0
Q8K1A0 B0BNB3
Q8BVZ5 A0A096MIT4
Q9D1M4 B2RYN3
Q9CZN7 Q5U3Z7
Q0VFX2 Q4V7B0
Q8VEI3 A0A0G2JSP4
Q9ERD8 D3ZWK2
Q80YE4 Q9ERC5
Q9CR60 B0BNB0
Q76MZ3 Q5XI34
D3YXF5 A0A0G2K7X7
B2KFW1 D3ZCC2
A0A0R4J0I0 D3ZJW0
Q62432 O70436
A0A0R4J187 Q6AZ64
Q9DBJ6 Q5BJY4
Q8R0J7 D3ZU64
P61290 Q5FVM2
Q9CR39 Q2MCP5
Q9WUR2 Q5XIC0
Q810A1 Q642B9
Q8BHA9 Q66H78
Q8K4F6 G3V660
Q9ERL7 F1M8F4
Q9R229 A0A0H2UHH4
Q05BA5 F1M8E5
P23804 A0A0G2JVC1
O35607 F1LQC5
