P41183 B2GUV8
Q8K093 G3V6Q2
Q60838 D3ZB71
Q8BKE6 F1LSK6
Q9Z1R2 Q6MG49
P97770 D3ZSV7
Q8BSM7 F7FL53
O35284 D4A7E1
Q8VI59 D3ZSQ1
Q8R1H8 D3ZT85
P60824 P60825
E9PUA2 D3ZKR9
Q9WV55 Q9Z270
E9Q6P5 A0A0G2JXJ6
Q8BP92 Q62703
Q8C0M0 D3ZMW3
F6ZFU0 Q68FR9
Q99LC8 Q64270
Q9EPW4 D4A0E3
Q61532 P27704
Q4VBE8 A0A0G2K9Y9
Q8BTI8 A0A0G2K2M9
P63168 P63170
Q8BVZ5 A0A096MIT4
Q99M07 D3ZB55
Q61502 F1LRB5
Q80U70 A0A0G2K2I0
Q62186 Q07984
P58465 M0R4W4
P08113 A0A0G2K099
Q3UC65 Q5U2S0
Q03526 D4A7W7
Q62432 O70436
Q9EQW6 G3V612
Q8C0D4 A0A0G2K1Z2
D6RH62 Q3ZAU5
P97792 Q9R066
Q7TQK4 D3ZT51
P05627 P17325
Q99JX7 F1MA52
D3YX87 D3ZMW3
Q9WTV7 B2RZD1
Q8R317 A0A140TAI1
Q8K3I4 D3ZTL2
Q9QZS8 A0A0G2JYH7
Q3UR42 D4A9D6
P70372 B5DF91
Q63844 P21708
P70168 F2Z3Q8
Q8BTW3 D4ABC5
Q60676 P53042
P19785 A0A0G2K0D4
Q99LL5 D4A1H8
Q6ZQ88 F1MA31
E9PYV1 P62986
Q91UZ1 F1LNK2
G3X9H5 G3V9P7
P62340 D4A898
P20181 P18280
P10300 G3V6V7
Q8R0J7 Q5U2Z2
Q61488 G3V7Y0
Q80VP5 F1LWN5
A0A0B4J1E2 D4A8G7
Q9R0N0 Q5RKH2
Q9CVI2 Q505I5
P97813 F1LPQ4
Q9WU62 A0A0G2K0Q6
Q56A06 F1M369
Q6P5B5 B1H2A6
Q99J78 Q4V8I4
Q80UL9 D4A1C2
E9Q5D9 F1M9B2
Q4VBE8 F1LR39
Q8BTW3 D3ZW38
Q3UQ84 Q68FW7
Q9CR39 Q2MCP5
Q01279 G3V6K6
E9QNN1 D4A9D6
P32443 G3V6T9
Q8R0J7 D3ZU64
Q9DBQ9 D3ZHR0
P59108 F1M1L9
P20029 P06761
Q7TNS2 B2RYW8
Q64010 Q63768
Q80TG9 G3V7J3
Q9CYX7 Q5M947
Q9JLV5 A0A0G2JSP3
A0A0R4J0R3 Q6AXU3
A0A0R4J0H1 B2GV31
D3YXK6 D3ZJW0
Q8CBD1 G3V672
Q3TZ65 D3ZJC1
P97428 Q4L0E9
P97473 Q3SWU0
P70196 B5DF45
O70551 E9PTN4
Q9ERD7 Q4QRB4
Q8R010 A0A0A0MXY5
Q91Z22 A0A0G2K349
P97477 Q3MHU2
O35864 F7EUU4
Q6P5B0 M0R3M8
Q05769 P35355
Q8K4F6 G3V660
Q99M51 G3V7X3
Q8BTZ4 A0A0H2UH97
Q9EQH4 D3ZY89
E9Q289 Q6DGF9
Q8VCH6 Q5BQE6
A0A0R4J1E2 Q68FR9
A0A286YDD7 D3ZKR9
P35821 P20417
Q8VHN8 B0BNG7
Q9DAX2 Q8K593
Q8CHD8 Q66H66
P63087 P63088
Q8BH70 B1WBR8
Q61510 D4A9N5
P61080 D3ZDK2
P97377 Q6P751
Q06186 Q06175
P19091 A0A0G2JSI8
P43407 Q6IRK3
Q8BHD7 Q9Z118
Q5SRY7 D3ZXC6
A0A1L1STX8 D4A7E9
P42582 P13832
Q9R059 D3ZPF0
Q8C253 P08699
P80313 D4AC23
Q8R1Y2 Q5FVJ5
P68033 P68035
Q60520 A0A0G2K3H5
M0QW46 D3ZS54
Q8CI75 D3ZIL9
Q3U741 A0A096MIX2
Q52KF3 D3ZEX7
P46938 Q2EJA0
Q9JKC8 Q6IRG9
P42227 P52631
P62259 P62260
P01101 E9PT44
Q562D6 Q4V7E0
Q8BW96 F1LVR4
O88855 Q9R0Q2
Q9DBB4 M0RC73
D3YXQ7 A0A0G2K9Y9
F7AC58 A0A0G2JWS3
Q61187 Q6IRE4
Q8BKJ9 B2RZ55
A2CGA5 F7FLN8
Q8R0L1 A0A0G2JYH7
Q3UZB0 D4A548
D3YXQ7 F1LR39
Q6P5F9 Q80U96
Q9QZS8 M0R887
Q3TVC7 A0A0H2UHJ2
Q6PAC3 F1M7P1
Q8C0M0 D3ZGZ9
Q8BHT6 A0A0G2JUT7
Q6NVF0 D3ZGS3
P12023 P08592
Q8R0L1 M0R887
Q8BQR7 G3V932
Q8R326 Q4KLH4
O08788 D4A8U7
P60710 P60711
Q9DAY6 D4AEK7
P02340 P10361
Q7TS68 B1WC69
P01193 Q8K422
Q9WUV0 A0A0G2K6D6
A0A0B4J1F1 D4A7E9
Q921E6 B5DF02
P29788 Q3KR94
A2ACG1 D3ZQ38
A2CGA3 F7FLN8
Q8R5L1 O35796
P16254 B2RYW7
E9PUB7 D3ZMW3
Q9ERE9 G3V9M2
D3Z5T8 F1LZD2
Q3TML0 A0A0G2JSZ5
Q3UHQ6 A0A0G2JXD9
P60766 Q8CFN2
Q04207 Q7TQN4
E9Q4M7 Q6AZ60
E9QJU7 F1LS93
Q6EBV9 D4ABD5
P54841 P54842
Q8BGT0 Q4QQU9
O70469 D3ZHJ4
P51637 P51638
Q6NSU3 Q6AYF6
P61211 P61212
Q3UTJ7 Q6AZ60
Q5SVQ0 A0A0G2K9F0
P59267 Q9JKR5
Q810D6 A0A140TAH3
E9Q4P1 A0A0G2K3L8
A2AJW5 D3ZSF0
Q80V62 A0A0G2K5U0
Q61526 G3V6N1
Q9EQ14 Q91Z84
Q62120 D3ZHJ4
D3Z656 Q62910
Q9ERG0 F1LR10
A0A1B0GR74 M0R8G5
P05480 Q9WUD9
Q3U595 M0RBE6
P31750 P47196
A0A0R4J1S3 G3V9A0
Q61115 Q6UY90
Q9CZN7 Q5U3Z7
Q9CUN6 A0A0G2K612
D3Z5N8 G3V9A0
E9QKM8 O70509
P61982 P61983
Q60631 P62994
P68254 P68255
Q71KT5 Q5BK21
O88992 D3ZEN8
Q3TRM8 A0A0G2JST6
P54276 D4A0U9
Q8VEE4 Q7TP21
P62715 P62716
Q8VC60 B1WBS6
F8WIJ5 Q3ZAU5
Q62376 B2RZ74
Q91UZ1 D4A8C5
Q62108 P31016
P27577 P41156
D3Z1Q2 D4AE95
A0A0R4J0I0 D3ZJW0
E9QLC0 P35563
Q9D554 P81155
B2RWS6 A0A0G2QC09
Q3UFB7 P35739
