O60486 D4A7C3
P62993 Q80U96
Q13618 B5DF02
P62993 B5DF91
Q14566 Q6MG72
Q86VP6 D3ZP96
P00533 G3V8S5
Q6IQ23 A0A0G2K6Z8
P0CG48 D4A9N5
Q92905 D3ZP96
P49736 P62994
Q86VP6 A0A0G2JSP3
P03372 A0A0G2JSP3
P02545 G3V8L3
P38398 A0A0G2K0D4
P04637 B5DF02
P00533 G3V6K6
Q14258 P35739
Q9BT76 D3ZKW6
P38398 A0A0G2JSP3
O75841 A0A0H2UHB6
O75326 A0A1W2Q693
P03372 Q80U96
Q8N6L0 D3ZPX3
