G3V9M2 Q9ERE9
F1LMF4 Q3U3I9
Q66H78 Q8BHA9
G3V6S6 O54864
D3ZG84 Q9DCN7
Q68FR9 A0A0R4J1E2
Q5FVQ0 Q91W10
Q5RJQ4 Q8VDQ8
Q9JK11 Q99P72
Q6UY90 Q61115
M0R887 Q8R0L1
F1M369 Q56A06
D4AA14 Q8BUE4
P63140 P63139
D4A7G5 A2AQJ8
F8WFH6 Q3TY60
F1LZI7 Q60841
A0A0G2K2M9 Q8BTI8
G3V665 Q8CAB8
Q5XI34 Q76MZ3
D3ZUD5 A2AEG2
D3ZGN3 Q76LW6
P53042 Q60676
Q62651 O35459
G3V6V7 P10300
F1MAS4 D3Z2Z3
P63057 P63056
D3ZSC1 G3UW60
Q6IE50 A0A0R4J1E4
G3V6N1 Q61526
A0A140TAD2 Q07832
Q9ERC5 Q80YE4
D4A8U7 O08788
P17325 P05627
A0A0G2K047 Q14DH7
D3ZB55 Q99M07
G3V9A8 A0A286YD43
P70597 P35375
Q5PQV1 A2AQ52
M0RAF9 A7L9Z8
Q5XIU7 E0CXC6
D3ZDK2 P61080
Q4V8I4 Q99J78
B1H244 Q7TPG5
F1M2Q1 B2RQE8
Q3KQW8 A2A891
E9PSM0 P70343
F1M590 Q3V1N5
Q63377 P97370
G3V8S5 P48754
M0RBM9 A2AWP8
F1LR10 Q9ERG0
D4A5C3 Q8JZS7
Q4KLJ4 Q8CG64
Q53E76 Q8BW56
F1LS93 E9QJU7
D3ZG78 Q5SSH7
Q9JHJ1 Q9WUP0
D3ZCM3 Q91WA9
F1LXV9 Q9JLI7
A0A0G2JXP6 B7ZCC9
A0A0G2JXZ4 Q3U309
A0A0G2JTK0 O08747
D3ZHJ4 O70469
F1LN48 A2AQ92
A0A0G2JSI8 P19091
Q4KLY4 Q9CQJ4
M0RAR2 Q8BJD1
B5DF45 P70196
A0A0G2JSP4 Q8VEI3
D3Z9R9 Q925H1
Q99MF4 Q64385
A0JPP8 Q3UJV1
Q4V8E2 O35593
Q71MM7 Q920H1
P68035 P68033
D3ZT03 A2AT37
B0BNN4 P11680
Q63645 P55086
Q5FWU5 Q6PD29
D3ZX56 Q6ZPL9
M0R3M8 Q6P5B0
D3ZZ79 Q5F289
F1LRS5 A0A0R4IZZ1
Q6AYF6 Q6NSU3
D4A1J3 A2TJV2
P25961 P41593
D4Q8I2 Q99JB6
O55162 Q91YK8
A0A0G2JTY1 Q921D9
Q498R1 A0A0R4J0G9
D3Z9I3 P61407
Q5M875 Q8VCR2
O88321 O35226
D4A1B2 Q9D0A3
D4A7E8 Q9WU20
D3ZSQ1 Q8VI59
D4A7T2 Q8VIG1
B2RYC7 Q3U436
G3V932 Q8BQR7
Q7TSN5 P56479
D3ZGS3 Q6NVF0
D4A7R4 Q9ER75
D4AA02 Q9CQ25
D3ZHJ4 Q62120
G3V6C6 P12850
A0A0G2K2I0 Q80U70
F1M9X0 Q2TV84
F1M6X3 F6UC55
D3ZDZ1 Q8R5A3
D3ZJW0 A0A0R4J0I0
D3ZDJ3 Q3V1U8
A0A0G2K1G4 Q8BVR6
D3ZS99 E9Q774
D4AE48 Q3TPJ7
Q498R1 A0A1Y7VLV0
O70540 Q61826
Q5PQL4 Q99LI9
D4A634 Q8BIV3
M0R5V5 P39428
A0A0G2JSH5 P07724
E9PSJ1 P54751
A0A0G2JXZ4 F7BWJ7
F1LS98 Q4VA93
D4A9U9 Q6NVG5
D3ZDN9 Q9CPV2
G3V890 P47873
Q5U3Z7 Q9CZN7
A0A096MIT4 Q8BVZ5
O09018 P43135
D3ZP27 Q8CHY3
A0A0G2JYT8 Q499D0
D3ZFM1 Q9CQE6
Q6TA25 Q9CRA9
Q8K422 P01193
B2RYB1 Q8K2W3
Q0VGK5 Q8R1G1
G3V836 Q06890
Q62923 Q64387
Q4FZY2 P59941
Q4KLF8 Q9CPW4
A0A096MK76 Q811Q9
F1LVZ9 Q3U487
F1LQX9 P60670
Q66HC8 Q80WJ1
Q0PGW2 Q3UHG7
A0A0G2K331 Q3UNH6
P35370 P35377
A0A0G2K9S2 Q9WVK5
