D3ZBY5 K9IVV5
Q569D2 I3LEI5
D4A4T0 A0A287BGG6
D4A6C5 F1RL66
Q5XIN4 F1RUL1
Q2TA68 A0A287AT18
D3ZCQ7 F1RWG2
Q3MHS9 A0A286ZS00
Q9Z2Z8 F1S7Q6
O70509 A0A286ZP43
D3ZCS4 R4JU57
F1LQS1 Q2EHH8
A0A0G2KBA2 K7GQ93
E9PU01 A0A287BES3
F1LP66 A0A287BNZ9
B2RYQ5 I3L9N5
Q4FZY0 F1SUW3
Q569D2 F1SBF2
D3ZCS4 A0A287AJJ6
A0A0H2UI20 K9IVK6
F1LM09 A0A287AXP9
A0A0G2JSZ1 K9IVK6
F1MAF2 F1S009
D4A704 F1SBW5
D3ZQM0 F2Z5E6
D3ZMY7 A0A286ZP43
P11505 F1SNG6
A0A0G2K659 A0A286ZZW3
Q62862 A0A287BDE6
Q5U313 A0A287AFM0
Q5XIN4 M3VK32
D4ABC4 F1SD90
A0A0H2UHA6 I3LIB1
F1MAM1 I3LN88
E9PU28 F1SKI5
D3ZTT7 A0A287BPQ1
B2RYW8 I3LSD5
Q9Z2Z8 I3LKI5
Q62867 I3LBA6
D3ZJX5 K7GK90
P41777 A0A287AYD9
D4A6A8 Q8HZV3
Q5RK08 A0A287AW46
Q56A27 F1S5A8
M0RBF8 I3LGE9
Q6AY02 A0A287A4H2
Q63528 F1STM9
F1MAF8 F1SD90
A0A0G2K0I4 F1SSX7
D3ZMY7 F1SAQ6
Q3B7L3 A0A286ZSF6
A0A0G2JSU9 K9IVK6
O70509 A0A286ZLT0
Q6AY02 F1RUL1
P60889 F1RY55
F7FG31 A0A286ZZW4
P60517 D7RA28
D4A9D8 F1RMJ9
Q5PQX1 A0A286ZT34
F1MAK9 A0A287BFY7
A0A0G2K612 A0A287A5F6
Q3L472 A0A286ZRN5
D3Z8G7 F1SAI5
D4ADZ0 A0A286ZKB5
G3V6D8 F1RMB0
B2RZD6 F1SE06
Q924S5 A5GFU7
F7FG31 A0A286ZK26
A0A140TA98 F2Z5F5
B0BNG7 A0A287AXQ4
F1LW16 P05027
F1LRV5 F1RQB0
F1LRV4 I3LQB7
Q8CJH2 F1RSW9
A0JPN1 F1SNY1
D3ZQM0 A0A286ZTN4
G3V6K6 A0A286ZV23
F1M8E5 I3LJC2
F1LTU4 F1SGG3
F7FLN8 O62640
Q4KM87 F1SGC8
Q3MID6 A0A287AT18
P11505 F1SPZ4
F1MAF8 I3LCP8
A0A0G2KBC7 A0A286ZIJ9
Q63016 A0A286ZK26
Q6AYA2 A0A287B540
D3ZE75 A0A287BT02
A0A0G2K8Q8 A0A286ZYH6
A0A0G2K1V9 F1RZA6
A0A0A0MY07 F1RU38
D3ZI49 A0A287AZJ5
Q6P9X1 F1SNG6
F1LNZ2 A0A287AZZ6
A0A140TAH3 F1RL85
Q5PQX1 A0A287AJJ6
B2GV58 A0A287B726
D3ZUD8 A0A286ZK26
Q6MGB6 I3LCA2
Q5I0E7 A0A287APS7
D3ZAB6 I3L7L2
Q499N6 F1SP38
D4A8M7 F1SHF6
D3ZD03 A0A287BH84
O35796 F2Z5K5
D3ZK73 I3L5M8
Q5BJS0 F1RUA0
A0A0G2JSJ5 I3LNG8
E9PSK7 A0A287BIN4
