SP_2542813/MM_101437	SP_2539807/MM_26381	SP_2542079/MM_101437	SP_2539786/MM_101437	SP_2541061/MM_76559	SP_2539936/MM_14864	SP_2539614/MM_101437	SP_2539950/MM_101437	SP_2539952/MM_101437	SP_2540617/MM_101437	SP_2540928/MM_101437	SP_2538961/MM_101437
SP_2541565/MM_71389	SP_2542813/MM_72008	SP_2542079/MM_72008	SP_2540207/MM_71389	SP_2539786/MM_72008	SP_2539614/MM_72008	SP_2539950/MM_72008	SP_2539952/MM_72008	SP_2540617/MM_72008	SP_2540928/MM_72008	SP_2538961/MM_72008
SP_2538932/MM_19367	SP_2542939/MM_237877	SP_2543082/MM_237877	SP_2540210/MM_237877	SP_2541038/MM_237877	SP_2542789/MM_237877	SP_2543595/MM_237877	SP_2542287/MM_237877	SP_2539652/MM_237877	SP_2541712/MM_237877	SP_2542174/MM_237877
SP_2542813/MM_226409	SP_2541081/MM_12531	SP_2542079/MM_226409	SP_2539786/MM_226409	SP_2539614/MM_226409	SP_2539950/MM_226409	SP_2539952/MM_226409	SP_2540617/MM_226409	SP_2540928/MM_226409	SP_2538961/MM_226409
SP_2542079/MM_69090	SP_2542813/MM_69090	SP_2539786/MM_69090	SP_2539614/MM_69090	SP_2539950/MM_69090	SP_2539952/MM_69090	SP_2540617/MM_69090	SP_2540928/MM_69090	SP_2538961/MM_69090
SP_2543283/MM_244646	SP_2539338/MM_243043	SP_2539807/MM_244646	SP_2539786/MM_244646	SP_2541644/MM_244646	SP_2540838/MM_244646	SP_2541527/MM_244646	SP_2541724/MM_244646
SP_2542148/MM_241514	SP_2542608/MM_68731	SP_2541112/MM_241514	SP_5802954/MM_241514	SP_2540716/MM_237943	SP_2541402/MM_68731	SP_2539371/MM_241514	SP_2542950/MM_68731
SP_2541565/MM_56878	SP_2541039/MM_20719	SP_2538720/MM_103268	SP_2540987/MM_56278	SP_2540003/MM_20719	SP_2541061/MM_69757	SP_3361391/MM_259277
SP_2542939/MM_327987	SP_2541869/MM_66948	SP_2541039/MM_327987	SP_2542789/MM_327987	SP_2540003/MM_327987	SP_2543595/MM_327987	SP_2541712/MM_327987
SP_2542242/MM_327799	SP_2539861/MM_26370	SP_2543199/MM_327799	SP_2541214/MM_26370	SP_2539541/MM_327799	SP_2543395/MM_100017	SP_2542694/MM_26370
SP_2542813/MM_77006	SP_2542079/MM_77006	SP_2539614/MM_77006	SP_2539952/MM_77006	SP_2540928/MM_77006	SP_2538961/MM_77006
SP_2541565/MM_51938	SP_2540933/MM_110082	SP_2540207/MM_51938	SP_2539980/MM_78801	SP_2539950/MM_66878
SP_2540763/MM_211978	SP_2539014/MM_244178	SP_2540207/MM_56878	SP_2540522/MM_244178	SP_2540664/MM_723860
SP_2539786/MM_207393	SP_2539630/MM_217843	SP_2539950/MM_207393	SP_2540617/MM_207393	SP_2541724/MM_207393
SP_2540763/MM_19142	SP_2540933/MM_70611	SP_2540207/MM_65964	SP_2539980/MM_70611
SP_2540317/MM_217946	SP_2541774/MM_21753	SP_2541112/MM_66953	SP_2539371/MM_66953
SP_2540933/MM_53791	SP_2542027/MM_239081	SP_2541195/MM_239081	SP_2539884/MM_21897
SP_2540760/MM_12767	SP_2541672/MM_211401	SP_2539267/MM_12767	SP_2543577/MM_12767
SP_2540933/MM_110835	SP_2543577/MM_110834	SP_2541728/MM_11438	SP_2539980/MM_110835
SP_2541931/MM_18744	SP_2539096/MM_227333	SP_2541658/MM_18744	SP_2543577/MM_18744
SP_2541081/MM_98403	SP_2541996/MM_100017	SP_2540931/MM_76815	SP_2542510/MM_66863
SP_2541869/MM_14745	SP_2539884/MM_12475	SP_2539953/MM_14745	SP_2539507/MM_14745
SP_2540763/MM_26904	SP_2541164/MM_27218	SP_2540710/MM_16506
SP_2540933/MM_78801	SP_2542898/MM_16599	SP_2539980/MM_110082
SP_2540933/MM_70930	SP_2538932/MM_217366	SP_2539980/MM_70930
SP_2541163/MM_230775	SP_2542121/MM_242274	SP_2543209/MM_107831
SP_2541144/MM_243983	SP_2543293/MM_14581	SP_2540806/MM_18817
SP_2541353/MM_57908	SP_2542073/MM_52020	SP_2541311/MM_52020
SP_2542486/MM_93736	SP_5802954/MM_103844	SP_2542002/MM_16508
SP_2541901/MM_243084	SP_2540836/MM_20623	SP_2541197/MM_233199
SP_2541869/MM_11858	SP_2542285/MM_74194	SP_2541061/MM_11858
SP_2543591/MM_227099	SP_2543483/MM_330149	SP_2538971/MM_227099
SP_2540312/MM_57915	SP_9407224/MM_69188	SP_5802954/MM_57915
SP_2541773/MM_23964	SP_2542510/MM_75051	SP_2538971/MM_23964
SP_2542154/MM_14200	SP_2539650/MM_52040
SP_2541565/MM_668880	SP_2540207/MM_231225
SP_2541806/MM_17910	SP_2542442/MM_20933
SP_2543280/MM_19018	SP_9407039/MM_19286
SP_2541581/MM_15364	SP_2542091/MM_55935
SP_2539916/MM_18744	SP_2542899/MM_13557
SP_2539907/MM_235567	SP_2541685/MM_56278
SP_2542728/MM_76478	SP_2542260/MM_103806
SP_2539502/MM_56489	SP_2543687/MM_18044
SP_2543633/MM_16969	SP_2543237/MM_13836
SP_2541252/MM_56278	SP_2539541/MM_68024
SP_2539338/MM_13206	SP_2542765/MM_320129
SP_2539490/MM_17684	SP_2541197/MM_21418
SP_2543526/MM_223922	SP_2541603/MM_15433
SP_2538994/MM_26390	SP_2539140/MM_12727
SP_2541195/MM_11787	SP_2540602/MM_232791
SP_2543575/MM_21753	SP_2541426/MM_100017
SP_2539630/MM_12876	SP_2541081/MM_110312
SP_2542231/MM_66884	SP_2539580/MM_26922
SP_2541547/MM_21813	SP_2541473/MM_21814
SP_2543473/MM_22722	SP_2542940/MM_384309
SP_2540475/MM_16477	SP_2543387/MM_59020
SP_2541771/MM_68024	SP_2543011/MM_217333
SP_2540883/MM_18563	SP_2538740/MM_67201
SP_2540414/MM_237759	SP_9407224/MM_77772
SP_3361391/MM_140709	SP_2541714/MM_11658
SP_2539936/MM_18227	SP_2541970/MM_52850
SP_2541310/MM_18559	SP_2541970/MM_12226
SP_2540475/MM_77629	SP_2542375/MM_13645
SP_2538961/MM_12454	SP_2542375/MM_105866
SP_2542413/MM_20254	SP_2539371/MM_12652
SP_2539371/MM_19822	SP_2540430/MM_20597
