Q80U96 Q6P5F9
D3ZGZ9 Q8C0M0
D3ZMW3 Q8C0M0
F7FLN8 A2CGA3
A0A0G2K1Z2 Q8C0D4
D3ZHJ4 O70469
A0A140TAH3 Q810D6
P61983 P61982
E9PTN4 O70551
P61212 P61211
P35739 Q3UFB7
Q07984 Q62186
Q6IRG9 Q9JKC8
D4A898 P62340
A0A0G2JSP3 Q9JLV5
Q7TQN4 Q04207
F1LR10 Q9ERG0
D3ZKR9 A0A286YDD7
Q62703 Q8BP92
B1WC69 Q7TS68
D3ZJW0 D3YXK6
Q8CFN2 P60766
P62260 P62259
D4ABC5 Q8BTW3
B5DF91 P70372
A0A0G2QC09 B2RWS6
D3ZKR9 E9PUA2
Q6AXU3 A0A0R4J0R3
Q9R066 P97792
D3ZJC1 Q3TZ65
P81155 Q9D554
Q9JKR5 P59267
Q8K422 P01193
D4A9D6 E9QNN1
A0A0G2JXJ6 E9Q6P5
P68035 P68033
F1LR39 D3YXQ7
P60825 P60824
D4ABD5 Q6EBV9
D4A7E1 O35284
P52631 P42227
Q6AZ60 E9Q4M7
P51638 P51637
D4A7E9 A0A1L1STX8
Q5M947 Q9CYX7
P47196 P31750
A0A096MIT4 Q8BVZ5
F1M369 Q56A06
D3ZPF0 Q9R059
M0R887 Q8R0L1
D3ZEN8 O88992
P13832 P42582
B0BNG7 Q8VHN8
P10361 P02340
P17325 P05627
Q6AZ60 Q3UTJ7
D4A8G7 A0A0B4J1E2
D3ZT51 Q7TQK4
F1M9B2 E9Q5D9
Q5FVJ5 Q8R1Y2
P60711 P60710
Q6DGF9 E9Q289
D4A9N5 Q61510
D4A7E9 A0A0B4J1F1
Q5BK21 Q71KT5
Q505I5 Q9CVI2
Q68FR9 A0A0R4J1E2
D3ZY89 Q9EQH4
F1MA52 Q99JX7
Q5RKH2 Q9R0N0
Q5U3Z7 Q9CZN7
A0A0G2K3L8 E9Q4P1
D3ZS54 M0QW46
G3V9P7 G3X9H5
Q63768 Q64010
Q4QRB4 Q9ERD7
O35796 Q8R5L1
A0A0A0MXY5 Q8R010
P62716 P62715
P63170 P63168
A0A0G2JUT7 Q8BHT6
D4A9D6 Q3UR42
M0R887 Q9QZS8
Q3KR94 P29788
Q6P751 P97377
Q6IRE4 Q61187
Q6AYF6 Q6NSU3
Q4L0E9 P97428
B2RZ55 Q8BKJ9
P08592 P12023
G3V6K6 Q01279
G3V932 Q8BQR7
A0A0G2K6D6 Q9WUV0
B5DF02 Q921E6
P35563 E9QLC0
P41156 P27577
A0A0G2JSZ5 Q3TML0
D4A1H8 Q99LL5
F1LPQ4 P97813
D3ZDK2 P61080
D4AE95 D3Z1Q2
D3ZB71 Q60838
P35355 Q05769
Q4QQU9 Q8BGT0
D4A0U9 P54276
G3V672 Q8CBD1
A0A0H2UHJ2 Q3TVC7
Q91Z84 Q9EQ14
D3ZW38 Q8BTW3
D3ZSF0 A2AJW5
Q06175 Q06186
Q4V8I4 Q99J78
A0A0G2K2M9 Q8BTI8
Q5U2S0 Q3UC65
P63088 P63087
G3V7J3 Q80TG9
D3ZJW0 A0A0R4J0I0
D4A548 Q3UZB0
P31016 Q62108
D3ZHR0 Q9DBQ9
F1LZD2 D3Z5T8
D3ZB55 Q99M07
D4AC23 P80313
B2GUV8 P41183
P21708 Q63844
P53042 Q60676
B2GV31 A0A0R4J0H1
F7FL53 Q8BSM7
E9PT44 P01101
Q68FR9 F6ZFU0
Q3ZAU5 F8WIJ5
Q2EJA0 P46938
A0A0G2JST6 Q3TRM8
D4A1C2 Q80UL9
D3ZHJ4 Q62120
A0A0G2K9Y9 D3YXQ7
D3ZSQ1 Q8VI59
G3V6N1 Q61526
D3ZTL2 Q8K3I4
F7FLN8 A2CGA5
D3ZXC6 Q5SRY7
Q5U2Z2 Q8R0J7
Q6MG49 Q9Z1R2
A0A0G2K9Y9 Q4VBE8
G3V9A0 D3Z5N8
A0A096MIX2 Q3U741
G3V9A0 A0A0R4J1S3
F1LSK6 Q8BKE6
G3V6V7 P10300
M0RBE6 Q3U595
A0A0G2K612 Q9CUN6
Q2MCP5 Q9CR39
Q3ZAU5 D6RH62
B2RZ74 Q62376
D3ZMW3 E9PUB7
F1M1L9 P59108
A0A0G2K099 P08113
G3V6T9 P32443
A0A0G2JYH7 Q9QZS8
P20417 P35821
D4A8C5 Q91UZ1
F1LNK2 Q91UZ1
Q64270 Q99LC8
B2RYW8 Q7TNS2
Q4KLH4 Q8R326
Q8K593 Q9DAX2
P18280 P20181
F1MA31 Q6ZQ88
A0A140TAI1 Q8R317
Q9Z270 Q9WV55
P62994 Q60631
G3V612 Q9EQW6
A0A0G2JSI8 P19091
A0A0H2UH97 Q8BTZ4
D4AEK7 Q9DAY6
A0A0G2JXD9 Q3UHQ6
P06761 P20029
D3ZGS3 Q6NVF0
D3ZSV7 P97770
F1LVR4 Q8BW96
A0A0G2K3H5 Q60520
G3V6Q2 Q8K093
Q3SWU0 P97473
Q5BQE6 Q8VCH6
Q6UY90 Q61115
F2Z3Q8 P70168
D3ZT85 Q8R1H8
Q9WUD9 P05480
A0A0G2JWS3 F7AC58
G3V7X3 Q99M51
D4A7W7 Q03526
B1WBR8 Q8BH70
A0A0G2K0D4 P19785
B1H2A6 Q6P5B5
O70436 Q62432
A0A0G2K5U0 Q80V62
B2RZD1 Q9WTV7
B1WBS6 Q8VC60
F1LRB5 Q61502
O70509 E9QKM8
Q9R0Q2 O88855
Q62910 D3Z656
D3ZIL9 Q8CI75
F1LWN5 Q80VP5
M0R3M8 Q6P5B0
D3ZMW3 D3YX87
B5DF45 P70196
D4A0E3 Q9EPW4
F7EUU4 O35864
M0R4W4 P58465
A0A0G2K0Q6 Q9WU62
M0R8G5 A0A1B0GR74
Q7TP21 Q8VEE4
Q3MHU2 P97477
P62986 E9PYV1
Q4V7E0 Q562D6
P27704 Q61532
D3ZQ38 A2ACG1
Q66H66 Q8CHD8
Q68FW7 Q3UQ84
B2RYW7 P16254
Q6IRK3 P43407
M0RC73 Q9DBB4
A0A0G2JYH7 Q8R0L1
G3V7Y0 Q61488
P08699 Q8C253
P54842 P54841
A0A0G2K9F0 Q5SVQ0
F1M7P1 Q6PAC3
D4A8U7 O08788
F1LR39 Q4VBE8
G3V660 Q8K4F6
G3V9M2 Q9ERE9
A0A0G2K349 Q91Z22
D3ZU64 Q8R0J7
Q9Z118 Q8BHD7
A0A0G2K2I0 Q80U70
P68255 P68254
D3ZEX7 Q52KF3
F1LS93 E9QJU7
