Q3UNH6,A0A0G2K331
Q6DFW4,Q9QZ86
Q6P3A4,D4A7V8
P42227,P52631
Q8C0E2,B1WBS4
Q9CT10,M0RD63
P00860,P09057
P61982,P61983
Q9DAI4,Q5PQT4
Q80YT7,A0A0G2K463
P52927,O88791
Q9R1C7,D3ZJ92
P49817,Q2IBC6
Q8BYP3,D3ZRB3
Q9WU20,D4A7E8
A0A0R4J098,A0A0G2K9Y9
Q60841,F1LZI7
E9Q8X5,A0A0G2JY41
Q6PCM2,A0A0G2K7S2
Q80YD1,A0A0G2K9R3
P15535,G3V722
Q9Z184,G3V6V2
Q792F9,D3ZMQ3
Q05144,Q5U1Y2
P35428,D4ADT9
P12246,A0A0H2UHH2
O88653,Q5U204
Q923E4,A0A182DWI7
Q9Z0J0,F7FJQ3
Q9QZM0,D4AA63
P41778,D3ZJI6
Q61263,G3V6J2
Q5JCS9,D3ZX31
Q61609,Q9JJP0
P70372,B5DF91
O08900,D3ZSW3
Q811D0,A0A0G2K1M2
P48678,G3V8L3
Q9D902,D3ZCP9
Q9DB34,B2RZB5
Q3ULA2,F1LMH8
Q5NBU8,D3ZPQ3
Q9WU03,G3V8S0
D3YZZ5,D3ZTX0
Q9D2Q3,Q5XI46
Q8C2P3,A0A0G2KA47
Q5UAK0,A0A0G2KA91
Q3TW96,B5DEH4
P97478,D4A7X5
P68510,P68511
Q9CQA5,Q561Q8
P19324,Q5RJR9
P62761,P62762
Q9DCC8,Q62760
P12023,P08592
Q9DD03,P35286
Q7TSQ8,D3ZXA6
O35386,P57093
B2RS19,P52164
A0A0R4J0H7,A0A0G2JWH3
Q62158,B5DFI5
Q9QY36,D3ZUQ2
Q9D0B8,Q6AYL4
P14234,Q6P6U0
Q9EQF2,F1M761
B2RUP2,G3V703
Q61830,D3ZD31
P70671,Q5XIB0
B7ZNL8,D4ADZ9
F8VQC9,Q9R1N3
G3UW74,D3ZHA9
P23298,Q64617
Q8BNY6,P62168
Q61500,Q4KLJ2
Q9CQ60,G3V8D5
Q6P5F9,Q80U96
P27786,A0A0G2JSR8
Q9DCV4,Q4G069
Q8C0Q5,D4A171
Q14AX6,Q3MJK5
Q91ZQ5,O70276
Q9CQX0,D3ZAR8
E9QK83,F1LXT3
Q9JJ80,B0BN82
Q9Z1R2,Q6MG49
P03953,G3V7H3
Q8CFZ6,D3ZUU6
P32883,P08644
A2AU37,D4ADQ7
P41593,P25961
P52479,Q3KR59
G3X8X0,Q6MG13
P13542,F1M8F6
Q61490,O35112
Q9QZ06,A2RUW1
Q99LL5,D4A1H8
P16294,P16296
Q6IFX3,Q6IFW2
Q9JLV5,A0A0G2JSP3
P97479,Q8CJE3
Q6ZQ88,F1MA31
Q6TDP3,Q8K430
Q8K2X3,A0A0H2UHR9
P07724,A0A0G2JSH5
P27612,P54319
O70374,F1M659
Q921E6,B5DF02
P97477,Q3MHU2
Q64261,F1MA87
Q9D8N2,F1LNS2
Q9JK91,A0A0G2K2L0
Q61214,Q63470
F6XAI7,D3ZZK0
Q4KMM3,Q4V8B0
O08749,Q6P6R2
Q6NZQ4,D3ZSX6
Q8CE96,D3ZVK3
Q8R2V5,D3ZQG5
A2AIW0,F1LMK3
Q9EQG9,D4ACN6
Q8CDD9,F1LMD4
Q8CDN6,Q920J4
Q78JE5,Q32Q88
P35831,G3V7Q4
Q80UP5,Q5U313
Q640P7,Q5FVR8
Q80TQ2,F1LPJ6
B2RX31,D4A6L5
Q8BXK4,D3ZV22
P97318,Q8CJH2
P80314,Q5XIM9
P15530,O70153
P22724,Q4G052
Q3UK78,A0A0G2K8R7
Q8K0G5,F1LNX7
Q91ZW2,Q6EV70
P41245,D3ZYK8
O55222,Q99J82
Q64446,A0A0G2JWJ5
P53566,A0A0H2UI22
Q9CQA3,P21913
O09100,Q924Y4
Q8BME9,D4ABJ2
Q5SWD9,D3ZEM8
P19785,A0A0G2K0D4
Q8BHG3,D3Z9E9
Q921Y0,Q3T1J9
E9Q284,E9PTJ1
Q9JHE7,Q5XIB1
Q7TMQ7,B2RYI0
P35363,P14842
P25911,Q07014
Q5SSI6,D3ZNH2
Q9CWI3,D3ZB65
A0A0R4J0C0,Q499U6
Q8BZW8,D3ZLM5
P52875,Q4V899
Q9JLJ0,P0C0T0
Q8R4U7,G3V7L9
P11499,P34058
A2A6Q5,Q4V8A2
Q9D9V3,Q6AYG5
P60766,Q8CFN2
P48754,G3V8S5
P28033,P21272
P25118,A0A0G2JSU9
Q60644,Q62755
Q8C079,G3V8E2
Q6NVG1,D3ZR52
O70435,P18422
O88566,A0A0G2K4L4
Q9CZU3,D4AE49
P48615,G3V819
P97929,Q66MH4
Q3UFS0,F1M8P2
A2AWT3,D4A5H7
Q3UFB7,P35739
P97813,F1LPQ4
Q0KL01,P0C627
Q6PIP5,F7F163
Q8VHX6,D3ZHA0
Q80VC9,D3ZXQ2
O54825,M0RDF7
Q9WV55,Q9Z270
G5E8A0,B5DF74
Q9CS42,P09330
Q3TA59,A0A140TAD7
Q8VEE4,Q7TP21
O35864,F7EUU4
Q3UUI3,Q566R0
Q9D1C2,Q8K4I6
Q62523,D4A7U1
G5E8Z2,F1LT11
P83510,A0A0G2K490
Q80SY4,D3ZUV2
P11276,A0A096P6L8
Q8BZ47,D4ACN4
P33609,F1LRJ6
Q8CIN6,D4A916
Q3TJD7,Q9Z1Z9
P25318,D4ADG9
Q9D752,D3Z8D9
Q3U133,F1LSG4
Q9DA08,P0C606
P14142,P19357
Q3TD49,Q5PQL3
E9QKZ2,D4A857
Q07832,A0A140TAD2
Q9WUD1,D4A4T0
E9QP50,F1LVG2
Q80UW5,D3Z837
Q9D6W8,Q66H43
Q9DAX9,A5HK05
Q6P8U6,G3V8A7
P14602,G3V913
Q80VQ1,G3V6R4
Q91YH5,A0A0G2JSS9
Q9CQJ4,Q4KLY4
A2AJI0,D4A644
Q9JJP2,D4AA88
F8VQ40,D4A409
Q9DBC3,Q5U2Z5
E9QM16,A0A0G2K8U5
P12815,G3V7W1
Q9JIG7,P86182
Q01853,P46462
Q80VE5,A0A0G2JWM9
Q8C163,D3ZTW9
Q08122,Q9JIT3
P61237,D4A0Y3
Q80VR2,Q5XFX8
Q08879,D3ZQ25
P70182,D3ZSI8
P55284,F1M7E5
O35730,Q6MGB6
Q8BZ94,F1LU08
Q5SZA1,D4A3I8
Q9WVQ5,D3ZUI1
P52800,B2B9A9
Q920I9,Q9ERH3
Q9DBR0,Q63014
Q80Z64,D3ZS29
Q9D684,D4A6C4
Q8R5L3,A0A0G2KA50
E9QLP0,F1LR55
Q9WVC3,A0A0A0MXU8
P59114,D4A417
P80318,Q6P502
Q9DCD5,A0A0G2K0W5
Q61115,Q6UY90
P35550,P22509
Q8BWY3,Q5U2Q7
Q5F259,D4A1M1
A0A0B4J1E2,D4A8G7
Q9QXP6,A0A0G2QC40
Q05306,A0A0G2K7A5
Q8BJW5,A0A0G2K1A9
P08226,P02650
Q9D6K5,Q9WVJ4
Q7TML3,A0A0G2JTZ7
O08788,D4A8U7
Q9Z1X9,B1WBZ4
Q8CHK4,A0A0G2KA75
Q9DBN5,Q3MIB4
Q9Z2D6,A0A0G2JWK2
Q3UM18,Q5BJT6
Q8K0U3,Q5HZE5
Q9R0L6,A0A0G2K0X1
Q8BFV2,F1MAF5
Q9CY66,Q6AYA1
Q9ESG9,G3V6G8
O08997,Q9WUC4
P62484,F1LYA6
Q99JY9,Q4V7C7
Q8BHN3,D3ZAN3
Q3URQ0,D4A401
P54276,D4A0U9
Q56A08,G3V8Z3
P02340,P10361
Q8BH60,A0A0G2JXG5
Q3TJM4,Q561R1
Q8CH25,A0A0G2K904
P53568,P26801
Q9CR68,P20788
Q9D1N9,D3ZMR9
Q8BJY1,G3V8G2
Q9WUH2,Q80W90
O35226,O88321
A2CGA5,F7FLN8
Q8R5K2,F1LPJ7
Q9QZS3,F1LNZ2
P36895,Q78EA7
Q8K2T1,D3ZDB9
Q5I1X5,F1LW07
Q80U70,A0A0G2K2I0
Q99P91,Q6P7C7
P43488,Q9Z2P3
Q9D771,Q66H28
Q9JL15,Q6IN24
Q8R0S6,P0C5J5
Q9CQW2,Q66HA6
O88992,D3ZEN8
Q9CY21,B1H275
A2AQ07,M0R8B6
P97473,Q3SWU0
E9QNX7,F1LRK1
Q91YU6,F7FLS6
Q91XF0,O88794
Q8K2D3,F1M7Z1
Q6NXN1,Q5XIA2
Q8K5B1,M0R4P7
A2APV2,A0A0G2K132
Q8K248,Q5XIH9
Q8C7E7,Q5FVN1
Q04891,D4A8S0
Q91VR7,Q6XVN8
Q01279,G3V6K6
O08915,Q5FWY5
Q91WZ8,M0RC42
Q9Z1N6,G3V8G7
Q8R059,Q4QRB0
Q8R0H9,Q5FVF3
Q80V62,A0A0G2K5U0
P35710,F1M8W4
Q8BGF7,R9PXX6
O89110,Q9JHX4
Q8BJM7,B5DF48
P19091,A0A0G2JSI8
Q64337,O08623
L0N7N1,D3ZE01
A2ACM0,D3ZDU2
F8VQI6,A0A0H2UHG3
Q61510,D4A9N5
O88888,O70248
Q9JKC8,Q6IRG9
P01108,P09416
Q08297,B5DF04
Q8K3A2,D3ZBT6
Q3UHD2,D3ZR63
O70174,A0A0G2K6W5
A3KGV1,Q6AYX5
Q80ZX0,D3ZW15
Q8C5G4,Q5XIK6
Q9Z257,P51577
Q01705,Q07008
Q9EPK7,A0A0G2JWA3
Q9Z275,D3Z956
Q6P4T2,M3ZCQ2
P16460,P09034
P43120,F7F7Q9
P57759,P52555
Q91YI4,P29067
Q8K0D0,G3V6J5
Q640L3,D4AE99
Q7TPE5,G3V8N8
Q80TL0,Q80Z30
Q8C6B9,A0A0U1RRW3
Q61532,P27704
Q62440,D3ZCM7
H3BJD6,O35867
Q8JZP3,A0A0A0MY35
Q9JLV1,Q5U2U8
Q8R527,Q9JJL4
P58465,M0R4W4
O35387,M0R639
Q80TH2,M0R9T2
Q6A037,D3ZT79
Q07076,Q6IRJ7
P28474,P12711
P61079,P61078
A2AS89,Q0D2L3
E9PWG6,D3ZD72
Q91VW5,Q5U4E6
G5E8S8,Q5U2Y3
Q6P2B1,D4AAM0
O88898,Q9JJP6
Q9D9D8,D3ZAQ8
A6H6S0,D3ZPP6
Q63829,Q6P9U3
Q61464,D4A0U3
P69566,F1LVV3
Q8K1B8,B2GVB9
Q8BG28,D3Z9C4
Q9CX34,B0BN85
P34152,O35346
Q8R317,A0A140TAI1
Q7TQI3,B2RYG6
P55065,E9PSP1
Q9Z0H1,Q6MGC3
Q7TPD1,Q7TSL3
P97303,D3ZW33
P70313,F1LQC7
P54823,D3ZD73
O88545,D3ZI16
Q8BHW5,F1LQE2
E9QKE4,D4ABP4
Q9ES18,A0A0G2JW18
P55850,D3ZZI6
Q4V9Z5,D4A6P1
Q3UGR5,Q6AYR6
Q8VEK3,Q6IMY8
E9PWI3,A0A0G2K098
Q8VEH6,Q99MB4
Q8CI33,D3Z863
Q8R2N2,Q5I0C9
Q61216,G3V781
P12658,P07171
O88413,F1M656
Q9CR26,A0A096MKH2
Q9DCD6,P60517
E9PZ26,D3ZUW8
P15532,Q05982
O35309,F1LQS0
G3XA34,D4A8C4
P70696,Q00729
Q8BY87,A0A0G2JUX4
Q9JK37,D4A7U8
Q61733,B0BN56
Q8CHX7,D3ZII1
Q3UYK3,A0A0G2K9K0
P55258,P35280
Q9CQV8,P35213
Q8CG73,D3Z8G3
Q9QXK2,A0JPN0
Q9Z248,D3ZED3
Q9QUG9,R9PXW6
Q6PDQ2,E9PU01
Q9EPA7,A0JPJ0
Q91YI6,Q5U315
Q8BKF1,D3ZYB6
P38647,F1M953
P01101,P12841
Q9DAX2,Q8K593
Q8VDM4,Q4FZT9
Q768S4,O54880
P98063,F1M798
Q9D0R8,D4A8G0
Q9JL26,A0A0G2JYU6
P21278,G3V6Q6
O08579,Q6PCU4
O55240,A0A0G2K1R4
P62080,Q68VK5
Q00PI9,D4ABT8
E9PVY8,A0A0G2JWA8
J3QNE4,F1LXD9
Q62376,B2RZ74
Q9D140,D3ZRA7
Q923Z4,D4A114
P28741,F1LQZ3
Q499D0,A0A0G2JYT8
G3X8X6,A0A0G2K320
Q8BVF7,A0A0G2K6H8
P61164,P85515
Q2WG77,A0A0G2K721
Q8R3E3,B2RYM2
P04202,P17246
Q5EE38,Q4FZR5
Q9D483,Q5XIL3
P97489,Q5U2V0
Q8BYW9,Q5NDL0
Q8R0F3,D4A7I8
Q9CTH6,Q1RP75
Q9Z2S7,A0A0G2K0U9
Q9D2X5,D3Z8G8
O08992,Q9JI92
B9EJ54,D4A7R3
Q99246,F1LNB7
Q8VCF0,Q66HG9
B9EKS2,M0RDF1
Q922P8,G3V963
Q8QZZ8,Q63483
Q80VY9,D3ZSV6
Q9ESC8,D3ZSX2
O35144,D3ZJF7
Q8CD10,F1LMJ8
Q6ZQH8,F1LRC6
P40630,Q91ZW1
Q9R049,A0A0G2K437
A3KMN5,D4A107
Q60676,P53042
Q9CZE3,D4AEG2
Q8R1J3,Q5XII6
Q9EQC8,B2RYA6
Q60714,Q6GMM8
B1AQJ2,D3ZNQ4
O35261,D4ADR2
P05627,P17325
P01592,G3V6G1
Q9JLN9,P42346
Q91YN9,F1LQH9
Q3UM65,Q63046
P13405,R9PXV5
Q8VDQ8,Q5RJQ4
Q80XL7,B1WC86
Q8K0E8,P14480
Q9D727,M0RDC2
Q8K389,A0A0G2K6K7
P61327,Q27W02
Q9JI10,B1WBQ5
O70283,G3V7U3
E9Q1F5,F1M111
Q9D818,B0BN66
Q9D0M0,G3V6K3
Q78IQ7,M0RAL0
P29758,P04182
Q3TV70,Q4KM83
Q9D6Z1,Q4KLK7
Q99JT2,F1LXV3
Q9JME5,D4AE00
E9Q6L9,F1M4K6
Q9QZU9,Q4V8J2
Q4U2R1,A0A0G2JUC9
Q61097,D3ZHL1
S4R1W5,D4ACW0
Q00899,Q8CHJ4
Q7TMI3,D3ZK36
Q8CCB4,D3ZPE5
P62889,A0A0G2K5E6
Q9DCP9,A0A0H2UHD1
O88630,Q62931
Q5DTZ6,D3ZV56
Q501J7,M0R7T1
Q8CGC4,A0A0G2JZY0
Q3TRR0,D3ZAG3
Q99J79,D3ZR08
Q8K1Z0,Q68FT1
S4R1S4,P04157
Q9WUV0,A0A0G2K6D6
Q8BKJ9,B2RZ55
Q01147,P15337
Q8C5J0,B5DEH3
Q8VDM1,Q5PPF5
Q80TY0,F1LZF2
Q3UHD9,Q8CGU4
P62046,B2GV98
Q8VDK3,A0A0G2K893
A2A863,A0A0G2K4V5
Q8VIM0,P0C0K5
Q8C1F4,D4A5Z0
Q8R3R8,Q0VGK0
P14106,G3V7N9
P32443,G3V6T9
Q9JII5,Q4KLZ3
Q5S006,F1LNJ1
Q4KL14,D3ZEX3
F6UL52,D3ZME7
S4R1Y1,D3ZZP8
Q9D394,Q5FVJ0
Q80V72,Q9R0U1
P57716,Q8CGU6
Q3V1T4,A0A0G2K199
Q8C1B1,D4AEC2
P07309,P02767
A0A087WPU8,B5DF82
Q91XX8,D3ZUH3
Q14AT2,D3Z868
P22389,G3V771
Q9QYH6,Q9ES73
P15116,G3V803
Q8C253,P08699
Q00547,A0A0G2JXY1
P97718,P43140
P23249,D3ZUC2
Q9R1S8,Q499T5
Q8BW75,P19643
B2RXR6,F1LZH9
E9Q6J5,M0RC54
Q6P9P6,F1MAB8
Q3U3C9,F1M4A7
E9Q6D6,M0RDU3
Q00422,D4ACQ9
Q9ET80,D3ZQ55
P61965,Q498M4
A6H611,A0A0G2K4T8
P24610,F1LMV3
P28867,A0A140UHX0
Q9CZX7,Q4V888
Q80U56,D3ZVU6
D3Z2X2,A0A096MJU2
Q3TE40,Q63528
P12961,G3V714
O70157,D4A6J4
Q9EQ15,D4A2F0
Q9CQ92,P84817
Q60722,A0A0G2JWU7
Q6AXB7,Q80WE1
P53612,F1LSM6
Q8CHW1,Q5U208
Q9CWG9,Q32WR5
Q9NWG9,Q5PPP4
P20152,G3V8C3
Q6NZQ2,G3V9V8
Q8BSY0,A0A0G2K2B5
Q3U2G2,F1LRV4
Q3TBD2,D4AAI2
Q9EQC1,D3ZPY2
Q9JL70,D3ZQL0
Q9DCM7,G3V8D3
Q7TQI7,A0A0G2JUJ7
Q3TDN2,Q5BK32
Q9CZX0,D4ACM1
Q8BQZ5,Q5FVR7
Q3TBT3,F1M391
E9Q839,A0A0G2JUU2
Q920F6,D3ZE73
Q8VCH5,Q4V8F4
Q921M3,E9PT66
Q99JI4,Q6PCT9
P20029,P06761
Q8BVA2,B0BNM0
Q8BGS3,Q4KLI1
O35350,F1LS29
O08537,Q59IV8
Q61062,D4ADV8
P63001,Q6RUV5
O88741,D4A5X7
G5E8B9,D3ZDP9
Q8BK35,Q6QLN3
Q7TPS5,A0A0G2K543
P81269,F7FD47
O70479,Q7TNY1
Q9WU28,B5DFN4
Q8BIW1,Q6AYG3
Q0P678,Q6TQE1
G3X8U3,F7FM32
P34968,A0A0G2JY06
Q8R016,A1A5L1
Q3ULF4,Q7TT47
Q61624,Q62806
P50516,D4A133
P31750,P47196
P63166,Q5I0H3
Q8CEE0,B4F7A7
Q9Z138,D3ZNY8
Q99KG7,B5DF28
Q8BNE1,D3Z8A4
A6H6E9,A0A0G2JYJ8
Q63844,P21708
Q8BHS8,F1LUC0
P57787,O35910
P29037,Q66HB1
D3YZV8,A0A0G2JTP3
O08791,D4A274
Q61823,Q9JID1
P70196,B5DF45
Q922W6,F1LPL9
Q99KS2,Q3T1H2
P35802,Q812E9
Q9DCC3,D4A3Y2
Q8C0E3,D3ZA22
Q9EQQ9,A0A0H2UI10
Q6PB75,D3ZSY1
Q9CR55,B2RZC8
Q9CX11,B1WBU0
Q9CZN7,Q5U3Z7
Q9ESK9,D3ZHK4
Q8BVQ9,G3V7L6
P61290,Q5FVM2
Q3UH60,A0A0G2JY22
V9GXA7,F1M3U4
Q99KP3,Q811X6
P27048,B0BN51
Q8C804,Q5RKG1
Q9QXY7,Q3B7L3
Q9R0N3,O08835
P62700,D4A4Q3
Q8VCE9,Q3B7L1
P58544,Q5RKI2
P47867,F1M7L6
Q61559,P13599
Q3UHD6,M0RBS9
B9EJ80,D3ZXY2
Q8BVY4,F1LY08
Q80Y83,Q2VUH7
O88622,G3V8M8
Q60520,A0A0G2K3H5
A0A0R4J0Z1,G3V6T7
Q7TMF5,G3V782
B1AUC4,F1M158
F6RPJ9,P35559
Q91VE6,Q5RJM0
Q03517,G3V7X2
Q8BPE4,Q4KM93
Q60992,D3ZYG0
Q9D2Y4,D3ZKP6
Q8BGQ4,Q14U74
Q9R078,P80386
E9PYV1,E9PT44
Q8BHD7,Q9Z118
Q8BWZ3,Q6QI44
Q75N73,D3ZZM0
A0A0R4J0H9,G3V6N9
Q9CPT5,Q1RP77
Q3TYX3,D3ZII8
A0A0B4J1E9,Q4KLY3
Q5U5M8,D4A3V6
Q9CU65,D4A3R6
Q9D2X0,D4AAF1
Q6ZQ11,D3ZRM3
Q8R5H6,Q5BJU7
Q8R370,Q3T1I3
Q9D9I4,Q6AXR1
O35343,Q56R17
P39429,B5DFH7
P70665,A0A0A0MY22
Q9DA03,B4F7A1
Q62311,Q498R0
Q2LA85,D3ZF32
P97762,F1LYD8
Q9Z2R6,Q62885
D3YYU8,D3ZZ80
P61202,P61203
Q9QVN7,Q63799
Q8VCB3,D4A5K9
Q64133,G3V9Z3
P35821,P20417
O08810,F1LM66
Q5HZK1,Q3B7T8
Q9CPP0,D3ZYK9
P97471,A0A0G2K970
B8JJD6,F1M286
P09055,A0A0G2JSK5
B2RWS6,A0A0G2QC09
Q9CQ82,Q5U1Z7
Q60775,G3V9V2
E9QPK5,D3ZTK9
Q8K4H1,M0RC77
Q99LM9,Q5BJQ7
Q9Z265,Q9R019
Q922F4,Q4QQV0
O88522,Q6TMG5
Q9EQH3,G3V8A5
Q8R035,D3ZDP2
Q8BGV8,Q5XIS8
Q6X893,A0A0G2K0P8
Q99JX7,F1MA52
Q9D074,Q5XIQ4
P18572,P26453
Q6DFW0,R9PXU1
Q62388,D4ACL8
P68369,P68370
Q3U6N9,D3ZDG0
Q8CIH5,A0A0G2JWA2
Q9CPY3,M0R5F5
Q8K2C6,Q68FX9
Q61576,Q5U2V1
Q8K0C1,Q496Z3
E9PX68,D3ZTF1
Q9WU72,A0A096MJG3
Q8VEG4,B2GUW4
P08122,F1M6Q3
Q9CR78,D4A3I3
Q8BKP2,D3ZRX1
Q91WG5,A0A140UHX4
Q9DC16,F1LU48
Q99JB6,D4Q8I2
Q8BWC0,D3ZTJ6
Q7TPG5,B1H244
Q9JJT0,G3V7Z1
Q80ZV0,Q5XI96
P98199,D4A509
Q9CQ29,D3ZJQ8
P70121,G3V6S9
P62137,P62138
B1AX39,F1M989
Q8R349,Q4V884
Q9Z0J1,A0A0G2JZ40
Q8BTZ5,Q76K24
P62141,P62142
Q6I6G8,D4ADD3
Q9CUN6,A0A0G2K612
P35564,P35565
P23804,A0A0G2JVC1
Q9WUR9,Q9WUS0
Q3THS6,F1LRB8
Q9JJA4,P61480
B2RXC1,A0A0G2K1K5
Q8BTW3,D3ZW38
Q3UIL6,A0A0G2K6Z8
Q9QYY8,B2RYN7
Q61188,B5DFE2
Q9CWU2,E9PU37
P06240,A0A0H2UHH7
Q60649,A0A0G2K3V9
A2RTL5,Q5PQR4
P62878,Q498D8
P25799,F1LQH2
P11152,Q06000
Q8BMD8,B1WC67
Q91W82,D3ZYE1
Q9D287,B5DFM8
Q6PAJ1,F1LXF1
Q04735,Q68G39
Q8VEK0,Q6AY41
Q9CWX9,G3V727
Q9CR60,B0BNB0
F6TUL9,F7FEU1
P52795,Q6P7B6
Q6GTR6,G3V7D2
Q8BGX0,H9KVE7
Q02257,Q6P0K8
Q5DU14,Q9ERC1
Q9WUI1,D4A3U7
Q9CY50,A0A0G2K075
Q9QZF2,Q6P7Q2
Q8VBT9,F1LR71
Q80TN5,E9PTT0
P35822,A5I9F0
Q91XA2,D4AEL2
Q8VCY6,F1M805
Q9CQ13,D3ZB92
G3X9I6,A0A1B0GWP0
Q9R1K5,B1WCA1
P70677,P55213
P26450,F1LNG5
Q6ZQB6,A0A096MK18
O54826,F1M8I4
A2A7S8,D3ZQK5
Q64010,Q63768
E9QMP6,O08679
Q922S8,D3ZQG8
A2A5K6,A0A140TAC9
Q9JIZ5,D3ZJT6
Q9D2R0,Q9JMI1
Q80ZH7,A0A096MKE9
Q9CQA9,D4A478
P05202,P00507
G5E861,Q8CJ99
E9QL24,D3ZW02
Q04207,Q7TQN4
O88398,M0RCA6
Q8VDF2,A0A0G2JT07
Q99KR6,Q6AYH3
Q80X72,M0R476
Q4VA93,F1LS98
Q91Y86,F1LP66
Q8BH66,Q6PST4
P35235,P41499
P97377,Q6P751
D3Z1Q2,D4AE95
Q80ZU0,P51646
Q9JLI8,D3ZAS8
Q3V3Z3,F1M644
Q8BZR9,D3ZXL5
Q99LJ0,D4A8X8
Q9JIM1,O54698
Q8BFQ4,M0R565
Q9CYH6,A1A5P2
Q8CI03,F7FDF2
Q9CQY1,Q2TBJ5
Q8VIM9,A0A0G2K1U9
P04184,M0RCX2
Q62318,O08629
P09450,A0A0G2JSY8
Q810S1,F1LUQ0
B9EJ86,A0A0G2JXN8
Q99M54,Q68FW2
Q9Z1Y4,B1WC42
Q8K5C0,B5DEI9
Q8BWG8,P29066
Q8BGH7,V9GZ87
Q00623,P04639
Q7TNR6,M0RAS4
Q60838,D3ZB71
Q8BGU5,F1MA89
Q3TAA7,B4F7D6
Q9JJZ6,D3ZVI8
Q91X72,P20059
P52963,B5DEZ0
Q99J95,Q641Z4
Q3U5J2,G3V928
Q9CQC4,B6ID01
P35582,F1LR25
E9Q5I3,D3ZAU0
P20334,Q4V895
Q8CJ96,D4AAU5
O35134,G3V7B7
Q04886,D3ZR96
F8VPR5,F1M9G7
P49769,P97887
E9Q2H1,H9KVE3
P81069,D3ZSD3
P27889,P23899
Q9WUQ5,Q8K453
P35276,Q63942
Q61850,Q63246
F7AC58,A0A0G2JWS3
P62259,P62260
Q8BUY5,Q6AY94
P24721,P08290
Q8BHS3,Q4V7D7
E9Q6E5,A0A0G2QC38
P21661,P28841
Q3TC93,D4A6D9
Q9WTX6,B1WBY1
E9PWG2,F1M9W9
Q99LJ5,B5DFL6
O55098,H9KVF6
Q80U58,D3ZQL8
Q641K1,G3V8G1
O09106,Q4QQW4
Q5U462,D3ZVA1
Q9D786,D4AB06
P47713,Q6IRF5
P70353,Q62725
P28481,F1LRM7
Q920G9,Q5I287
B1ASL3,P15725
A0A0R4J008,F7ENH8
B1AR17,F1LPP8
Q9QXE4,G3V708
Q60631,P62994
Q99KG3,P70501
F8WJ93,A0A0G2K2Z0
P16951,Q00969
Q9QZ23,D3ZA85
Q6NVF0,D3ZGS3
Q8C4M7,Q4V8G7
P98156,F1LPV2
Q921W0,D4AE79
P60710,P60711
Q9Z0F6,D3ZXM2
P12849,F1M9X5
Q8BUN5,P84025
Q99JP4,Q6YDN7
Q61187,Q6IRE4
Q8BWD2,D4AEE6
Q8BZ36,D4A4T6
Q9D2W5,Q5FVG8
Q8R1C3,B5DEK8
P08071,D3ZAB1
Q9R0K7,P11506
Q64727,A0A0G2K8V2
Q3UHC7,Q6P730
A2ATK9,D4A7Y4
Q8VDI7,Q5XIR9
F7DDS0,D4ADU7
Q9WV60,A0A0G2KB98
Q8BPQ2,O35819
Q8JZS0,M0R7K1
Q924H5,G3V6U0
Q8K2R5,D3ZPP0
P29387,A0A0G2K8M9
Q9R0G7,E9PTC3
Q8CD92,D3ZTG2
Q8BXR9,A0A0G2JZR1
F8VPU2,F1LYQ8
Q91ZE0,Q91ZW6
P25322,P39948
P60521,P60522
