D4A7Y4 A2ATK9
Q53E76 Q8BW56
P08699 Q8C253
G3V6I3 Q9DBF7
B5DFH7 P39429
B5DF91 P70372
P06907 E9QK82
Q5BJZ0 Q9CWQ8
D3ZMW3 D3YX87
D4A3N0 Q99MV1
P25961 P41593
Q09128 Q64441
O09018 P43135
A0A0H2UHR6 O88947
D4A0Q3 E9Q1H7
D3ZQ60 A0A1L1SU27
Q7TP28 Q99LU8
A0A0H2UHH4 Q9R229
D4A7R4 Q9ER75
F1LS98 Q4VA93
D4A3X6 P98200
Q66H78 Q8BHA9
D4A1U7 Q80T69
Q9QYH7 Q9EQX0
Q5U2S0 Q3UC65
D3ZIG2 Q9D976
G3V729 Q61878
Q5U1Z8 Q9D1C3
A0A0G2KAH3 Q9ES03
F1M3K6 Q8CI61
Q5PQV1 A2AQ52
G3V7M5 Q811Q9
D3ZCM7 Q62440
F1M2K6 Q68FH0
Q8K1G0 Q8R373
P08592 P12023
Q5U2M8 E9QK89
A0A0H2UHB8 O55226
M0R740 Q3U3I9
Q4V7B0 Q0VFX2
Q6AZ64 A0A0R4J187
Q6W3B0 Q7TMD7
G3V836 Q06890
F1LVJ1 A0A087WSB9
A0A0G2JU49 F7C846
A0JPP8 Q3UJV1
D3ZBX1 Q91VD1
Q6MG88 Q3U1Z5
D4AA47 Q148W0
D3ZCK7 Q04744
D4A7G5 A2AQJ8
D3ZP27 Q8CHY3
F1LMF4 E9QK16
Q62928 Q62053
Q99J82 O55222
B5DF02 Q921E6
M0R9F7 Q60754
F7EL93 Q9EQS9
Q6AYF6 Q6NSU3
D3ZIL9 Q8CI75
B2RZ37 G3X8R0
P33535 P42866
Q91XU7 Q8VHP6
D3ZDT6 A2A259
D3ZSC1 P0C192
D4AE95 D3Z1Q2
A0JPP1 Q9D6N5
F1M8E5 Q05BA5
F1LNG5 P26450
Q8CF97 A0A0R4J0M9
Q7TSB7 Q6Y4S4
F1LP66 Q91Y86
D4A9N5 Q61510
F1LQC5 O35607
D3ZS99 E9Q774
A0A0G2K8X4 A2RRY8
D3ZG84 Q9DCN7
F7F6T5 O08804
D4A460 D3YYZ1
D4A0Q3 E9Q156
Q5M7T9 Q80W22
Q5PPL2 Q9CXV9
A0A0G2JSI4 E9QJS7
O70595 Q9DC29
D3ZBE5 Q9ES74
Q6IMY8 Q8VEK3
D3ZMN2 Q8CFE2
G3V6L0 P56942
D3ZM22 Q8BJA2
P47196 P31750
D4ADV8 Q61062
D3ZGZ9 Q8C0M0
Q496Z2 Q9DBY4
D3ZFM1 Q9CQE6
D3ZSJ1 Q0VDY1
F2Z3Q8 P70168
D3ZX56 Q6ZPL9
Q6IE50 D3Z3A3
F1M9X0 Q2TV84
D3ZXM2 Q9Z0F6
B2RYN3 Q9D1M4
B5DFI5 Q62158
M0RA44 G5E872
P68370 P68369
Q6AY91 Q91W63
Q4QQW4 O09106
D4A4K4 Q8BX70
Q5PQL3 Q3TD49
A0A0G2QC09 B2RWS6
A0A0G2JUI2 Q3TYX8
F1LMG2 Q91WS4
Q62651 O35459
D4A2J9 Q8CGN4
D4A2M3 Q3UV71
Q9WUD9 P05480
Q6TA25 Q9CRA9
B2RZ74 Q62376
G3V738 Q62447
P0C1S9 Q91WC9
A0A0G2K349 Q91Z22
G3V6C6 P12850
B8K1X9 E9Q9A6
M0R7B3 Q8C5T4
F1LNT0 Q3TMU8
Q66HC8 Q80WJ1
G3V7E2 O35310
F1LMM4 Q5RJI4
Q9JLS8 O89013
F1M6X3 F6UC55
A0A0G2K3L8 E9Q4P1
D3Z941 Q68FL6
Q6XVN8 Q91VR7
D3Z9I3 P61407
Q8VBU7 P18762
P63086 P63085
P63057 P63056
A0A0G2K6Z8 Q3UIL6
F1LS98 Q3TQ39
G3V9Y6 P59240
Q5M875 Q8VCR2
A0A0G2JXZ4 F7BWJ7
E9PSJ1 P54751
B0BNB0 Q9CR60
A0A0G2K9S2 Q9WVK5
D3ZG78 Q5SSH7
D3Z9C0 Q8VE19
Q6IFW2 Q6IFX3
D3ZSU6 E9Q4F7
Q66H33 Q3TTL0
F1LSK6 Q8BKE6
Q9JI92 O08992
D4A7T2 Q8VIG1
Q642E3 Q99LM2
P09416 P01108
Q6IRH4 Q8C708
Q6AZ60 Q3UTJ7
A5HKJ1 Q9QZ26
D3ZCC2 B2KFW1
O88763 Q6PDS3
Q9JIM4 Q9D0T2
P63156 P63157
Q4KLF8 Q9CPW4
D3ZQ38 A2ACG1
M0R5T3 Q8CB76
G3V7M9 P70390
B1H244 Q7TPG5
Q5RJZ6 Q78YZ6
D3ZGN3 Q76LW6
D3ZT03 A2AT37
P84025 Q8BUN5
A0A0H2UH92 Q6ZQJ5
G3V7D9 G3UYL9
D3ZXP4 Q5S003
G3V6K6 Q01279
P12841 P01101
A0A140TAD2 Q07832
A0A0H2UHZ0 Q9DBP0
B5DEK8 Q8R1C3
Q04906 P20722
D3ZHJ3 M9MMK0
Q8VHX0 Q9JJV5
Q64268 P49182
F1LRS5 A0A0R4IZZ1
D3ZKU8 P29121
Q3KQW8 A2A891
O88828 P61219
P81062 O35160
Q5BJY8 A2BGN7
P38438 Q62312
O55162 Q91YK8
P62994 Q60631
P11506 Q9R0K7
A0A0G2JSP3 Q9JLV5
P35213 Q9CQV8
A0A0G2JXP6 B7ZCC9
D3ZSC1 G3UW60
D3ZVQ9 Q3U1D0
Q9ERW3 P70377
F1LR10 Q9ERG0
A0A0G2JSH5 P07724
Q642B9 Q810A1
F1LV65 P97766
D3ZDN9 Q9CPV2
F1M9Y9 Q9WVB0
D4A1B2 Q9D0A3
O35410 Q61069
D3ZVQ1 Q9D3R3
F1LRM7 P28481
Q5S3S9 Q3UQ17
M0R8R8 Q61080
Q32PX4 O35903
P60711 P60710
A0A182DWI7 Q923E4
Q3MHU2 P97477
A0A0G2K1G4 Q8BVR6
P97887 P49769
F1M7G9 Q80WJ6
Q3MHS2 Q8R1N0
F1LR42 Q8BIJ7
M0RAT6 Q3UHI4
F6Q5G6 Q9D842
Q4FZY2 P59941
P68511 P68510
Q5BJY4 Q9DBJ6
G3V9P7 G3X9H5
Q9JHJ1 Q9WUP0
D4AA72 Q8VHQ3
P26260 P18828
G3V8T5 Q9WTM5
A0A0G2KA10 Q9R0S2
Q5BK32 Q3TDN2
A0A0G2JXZ4 Q3U309
Q5XI34 Q76MZ3
Q6AYJ9 Q8R2G4
F1M7V6 Q8R464
Q71MM7 Q920H1
A0A0H2UHY4 Q78IQ7
B1H2A6 Q6P5B5
A0A0G2JSP4 Q8VEI3
F1LVC4 Q0VBL1
Q4KLN5 Q9CPX5
G3V8N9 Q9JMI7
F1MA10 Q9CRA0
G3V6S6 O54864
Q9JHF3 Q9JM51
M0R6D8 Q9QZW9
A4L691 Q9CZX5
D4A6E6 Q9QYK5
Q9R0C5 Q80VA0
D3ZGS3 Q6NVF0
F1LNX2 Q8BWG9
P35739 Q3UFB7
P62138 P62137
D3ZSV7 P97770
Q5BK39 Q8C708
E9PU35 O35679
Q02644 P32082
M0RCA3 Q9DB43
D4AEG0 O08674
Q99MF4 Q64385
D4A9U9 Q6NVG5
D3ZFI7 Q8CJ70
D4A634 Q8BIV3
A0A0G2K5U0 Q80V62
Q5XIC0 Q9WUR2
M0R9R0 Q5U4C1
P38483 P51908
D3ZMW3 E9PUB7
Q6AY34 Q91ZD1
Q0VJ96 P28700
P10361 P02340
Q6AZ60 E9Q4M7
D4AAY7 Q64323
A0A0H2UI34 Q03717
A0A140TA97 Q9JMB7
F1LS01 F8VPK8
A0A0G2K9V0 Q64131
M0R3J4 P36898
F1M9G7 F8VPR5
M0R740 E9QK16
B5DFK2 Q8K352
Q7TQN4 Q04207
Q5PQL4 Q99LI9
D3ZUD5 A2AEG2
A0A140UHX4 Q91WG5
Q8CH33 Q9WUT7
D3ZXM2 Q9CPX9
F1LPK1 Q00560
D3ZIQ3 Q91V79
A0A0G2K2M1 Q9JKQ4
P62260 P62259
B1WC31 Q60954
P01257 P70160
D4A5C3 Q8JZS7
F1M2Q1 B2RQE8
Q4KLJ4 Q8CG64
O08725 Q99P50
D0V9T4 Q8K249
P20417 P35821
D4AC45 Q8K3K7
F1LXV9 Q9JLI7
D3ZSQ1 Q8VI59
D3ZWK2 Q9ERD8
Q0VGK5 Q8R1G1
P63278 P63277
A0A096MIX2 Q3U741
Q562C6 Q9JHQ5
A0A140TAI1 Q8R317
A0A096MK76 Q811Q9
Q5EB94 E9PZ54
A0A0G2JSU9 P25118
B6RHI6 O70263
F1M400 Q505D1
Q9ERC5 Q80YE4
B0BNN3 P13634
Q5U2U8 Q9JLV1
D4A3G2 P24788
A0A0G2JVC1 P23804
Q9Z270 Q9WV55
B5DFJ2 Q9D8T0
F1LNQ2 A2AH22
G3V642 Q64343
D3ZME7 A0A0R4J0T0
D4A8G7 A0A0B4J1E2
Q62923 Q64387
Q5XIU7 E0CXC6
Q5XI94 Q3TQQ9
F1MAK0 Q7TN31
D3ZBW4 Q3V2J9
F1LRY2 G3UVW3
D4A0Z0 Q5M9N4
P80386 Q9R078
Q5D006 Q99K46
F1LN63 Q99MB1
D3ZEI4 Q640R3
M0R3P2 P35456
G3V8S5 P48754
B5DF45 P70196
Q8CJH2 P97318
D3Z9R9 Q925H1
P27704 Q61532
A0A0G2K4K7 Q69ZS0
Q5J2D6 Q6K1E7
G3V665 Q8CAB8
F1LXF1 Q6PAJ1
Q9ERC5 Q9ESF1
