4271 Q3UFB7,P05627,Q9D869,P61022,B2RXE2,Q99JX7,Q80V62,P70372 P35739,P17325,Q810D1,P61023,G3V9Y4,F1MA52,A0A0G2K5U0,B5DF91
10618 P05627,Q3UFB7,Q921E6,P14106,Q80V62,Q04207,P70372,Q6P5F9 P17325,P35739,B5DF02,G3V7N9,A0A0G2K5U0,Q7TQN4,B5DF91,Q80U96
10618 P05627,Q3UFB7,Q921E6,P14106,Q80V62,Q04207,P63101,Q6P5F9 P17325,P35739,B5DF02,G3V7N9,A0A0G2K5U0,Q7TQN4,B5DF91,Q80U96
638 P05627,Q3U2S8,Q61097,Q3UFB7,Q921E6,Q80V62,O70570,P63101 P17325,D3ZIU8,D3ZHL1,P35739,B5DF02,A0A0G2K5U0,A0A0G2K639,Q80U96
10316 P05627,P58465,Q3UFB7,Q80V62,Q01279,Q6P5F9,Q62432,P70372 P17325,M0R4W4,P35739,A0A0G2K5U0,G3V6K6,Q80U96,O70436,B5DF91
4198 P05627,Q80V62,Q8BQM8,A2A432,Q9JJV0,Q01279,Q3UFB7,P70372 P17325,A0A0G2K5U0,F1LSA8,D3ZK73,P56374,G3V6K6,P35739,B5DF91
4833 Q9D275,O35144,Q99JX7,Q3UFB7,Q80V62,P70372,Q505G4,P05627 G3V6G9,D3ZJF7,F1MA52,P35739,A0A0G2K5U0,B5DF91,D3ZI44,P17325
9620 P05627,Q80V62,Q8VCK5,Q9JLV5,Q3UFB7,O88545,P70372,Q6P5F9 P17325,A0A0G2K5U0,D3Z8N4,A0A0G2JSP3,P35739,D3ZI16,B5DF91,Q80U96
9039 Q61089,P05627,Q3UFB7,Q80V62,Q99JX7,Q6P5F9,Q61062,P70372 G3V6L1,P17325,P35739,A0A0G2K5U0,F1MA52,Q80U96,D4ADV8,B5DF91
10122 Q9DB10,P05627,Q80V62,Q3UFB7,P70372,Q6P5F9,Q99LC8,P23249 D4A7Y9,P17325,A0A0G2K5U0,P35739,B5DF91,Q80U96,Q64270,D3ZUC2
2325 P05627,Q80V62,Q9JLV5,Q8BKJ9,Q6PAL0,Q99JB6,Q3UFB7,P70372 P17325,A0A0G2K5U0,A0A0G2JSP3,B2RZ55,M0RCL1,D4Q8I2,P35739,B5DF91
6431 P05627,Q08EC4,Q80V62,Q01279,Q3UFB7,Q8VDP3,Q64010,P63101 P17325,F1M0F6,A0A0G2K5U0,G3V6K6,P35739,D3ZBP4,Q63768,Q80U96
10607 A0A0A6YVZ7,P05627,Q80V62,Q3UFB7,P70372,P13405,Q99JX7,Q6P5F9 M0R885,P17325,A0A0G2K5U0,P35739,B5DF91,R9PXV5,F1MA52,Q80U96
4589 Q9DB16,P05627,P97377,Q80V62,Q3UFB7,P70372,P48754,Q91V12 Q5XIJ7,P17325,Q6P751,A0A0G2K5U0,P35739,B5DF91,G3V8S5,Q64559
4699 Q80V62,Q5XJE5,P05627,P97377,P02340,Q8R4U6,P70372,Q3UFB7 A0A0G2K5U0,Q641X2,P17325,Q6P751,P10361,Q6IM78,B5DF91,P35739
9553 P05627,Q8K2P2,Q80V62,Q3UFB7,A2AIX1,P70372,P48754,Q6P5F9 P17325,D3ZQN0,A0A0G2K5U0,P35739,D3ZN76,B5DF91,G3V8S5,Q80U96
3135 Q80V62,P47212,Q8CFZ4,Q9WTX6,H3BJD6,Q9D306,Q6P5F9,P70372 A0A0G2K5U0,P10683,A0A0G2KBA2,B1WBY1,O35867,D3ZEV3,Q80U96,B5DF91
3135 Q80V62,P47212,Q8CFZ4,Q9WTX6,H3BJD6,Q9D306,Q6P5F9,P70372 P17325,P10683,A0A0G2KBA2,B1WBY1,O35867,D3ZEV3,Q80U96,B5DF91
3135 P05627,P47212,Q8CFZ4,Q9WTX6,H3BJD6,Q9D306,Q6P5F9,P70372 A0A0G2K5U0,P10683,A0A0G2KBA2,B1WBY1,O35867,D3ZEV3,Q80U96,B5DF91
3135 P05627,P47212,Q8CFZ4,Q9WTX6,H3BJD6,Q9D306,Q6P5F9,P70372 P17325,P10683,A0A0G2KBA2,B1WBY1,O35867,D3ZEV3,Q80U96,B5DF91
