P97303 D3ZW33
Q3UHX2 Q62785
Q3UFB7 P35739
E9QKG3 A0A0G2JWR1
Q62388 D4ACL8
D3Z2Z3 F1MAS4
P28352 Q6AXS5
P35564 P35565
Q8JZX4 Q6AY02
Q05BA5 F1M8E5
Q8C460 M0R8C5
Q8BWS5 D3ZF21
Q8BWG8 P29066
P26450 F1LNG5
Q8VCH6 Q5BQE6
Q61080 M0R8R8
Q91WU5 G3V8P2
B2RWS6 A0A0G2QC09
B1AZ99 D3Z8X5
Q69ZZ6 D3ZH14
P53566 A0A0H2UI22
A2AQ92 F1LN48
P18052 Q66HJ7
Q3U3M5 A1L1L5
Q8C0M0 D3ZGZ9
Q3TIX9 B2GV41
Q61510 D4A9N5
Q921E6 B5DF02
P05627 P17325
Q8BZ89 D3ZJ04
A0A1L1SSF2 G3V784
P63139 P63140
P12023 P08592
P35419 F1LN48
A2AQ99 G3V8A3
P20263 Q6MG27
Q01279 G3V6K6
O08586 O54857
D3Z230 D3ZBL5
Q5RJI4 F1LMM4
F6UC55 F1M6X3
P70372 B5DF91
P34960 R9PXT7
A0A1L1SVA9 A0A0G2JWR1
A0A286YCY4 Q5U2M8
Q9D0F1 F7F189
A0A286YD43 G3V9A8
Q4VBE8 F1LR39
Q3UHG7 Q0PGW2
Q9EQT3 A0A0G2JW83
O35343 Q56R17
P35456 M0R3P2
P25801 A0A0G2QC60
O55237 M0R613
Q3TUA9 Q4V8A9
Q3TDN2 Q5BK32
Q8R5L1 O35796
Q920Q6 Q5U367
P50228 G3V6C8
Q80TN5 E9PTT0
Q9D850 D3ZF19
G5E8C4 F1MAS4
P86045 M0R975
Q3TQ39 F1LS98
P97477 Q3MHU2
Q06186 Q06175
Q80V62 A0A0G2K5U0
Q9CYX7 Q5M947
E9QK89 Q5U2M8
Q8BJ71 Q66HC5
Q3U436 B2RYC7
A0A1Y7VLV0 Q498R1
Q91VR7 Q6XVN8
Q6P5F9 Q80U96
Q62313 P19814
A2BGN7 Q5BJY8
Q91WI7 A0A0G2JZW3
F6R4N2 D3ZBL5
O70435 P18422
A2APM2 O70509
Q09200 Q10468
P02340 P10361
Q8BZ00 D4A7H1
Q80UW5 D3Z837
Q8K4K4 G3V6J8
B7ZBV9 F1M6X3
P35821 P20417
A0A0R4J0G9 Q498R1
Q6DID7 Q6P689
P48754 G3V8S5
Q9JLV5 A0A0G2JSP3
Q3V1N5 F1M590
Q9CYY7 M0RBS0
P17553 D3ZCR1
Q91W10 Q5FVQ0
Q9CR89 Q5XIS4
Q9DAY6 D4AEK7
A2TJV2 D4A1J3
Q99JX7 F1MA52
Q58Y75 D4A7M3
Q8BUE4 D4AA14
Q58Y75 D3Z8X5
Q60631 P62994
Q8CCN1 D3ZUA2
Q6W5C0 Q10746
Q6NVG5 D4A9U9
O89090 Q01714
Q91WG5 A0A140UHX4
Q3UFY8 Q5U2R4
P22727 D4A3W9
P97929 Q66MH4
Q8BWG9 F1LNX2
Q6W5C0 G3V6C8
P68033 P68035
Q8CEE7 D3ZFR9
Q8R317 A0A140TAI1
Q03265 F1M953
D6RJM5 B2RYC7
Q4VA93 F1LS98
Q3UN58 D4AAA5
G3X9X7 A0A0G2JYY3
P16254 B2RYW7
B1AZ99 D4A7M3
P50228 Q10746
A2AQ92 F1M6V7
Q9CQ26 Q62755
O35161 F1MAS4
P19785 A0A0G2K0D4
Q8BTW3 D3ZW38
Q3UIL6 A0A0G2K6Z8
Q04886 D3ZR96
P19091 A0A0G2JSI8
Q91ZD1 Q6AY34
P63001 Q6RUV5
P51675 Q9JLY8
Q99P72 Q9JK11
Q6PDK0 D3ZC02
P42128 D3ZU55
Q8K2W3 B2RYB1
Q9Z315 Q5XIW8
Q9JLV1 Q5U2U8
P63325 P62250
P59108 F1M1L9
P30882 Q6PED1
Q9JM05 P04692
P35419 F1M6V7
A0A0R4J0T0 D3ZME7
Q6NS82 Q5RJQ7
P97470 G3V8M5
Q8BH80 Q9Z269
