4419-8043;0:0,1:3,2:4,5:2,6:5,7:6;3:1-4:1,7 P54823,Q3UFB7,P12023,Q3KNM2,P70372,Q91XD8,Q61510,P62259,Q80V62,P70196 D3ZD73,P35739,P08592,B0BNF6,B5DF91,Q499U1,D4A9N5,P62260,A0A0G2K5U0,B5DF45
6710-7145;1:0,2:2,3:3,4:4,6:5,7:6;0:1,7 Q3UFB7,Q9DCD6,Q640L3,P12023,Q61510,P05627,P70372,P62259,Q80V62,O35864 P35739,P60517,D4AE99,P08592,D4A9N5,P17325,B5DF91,P62260,A0A0G2K5U0,F7EUU4
6585-6710;0:1,1:2,2:0,4:6,5:4,6:7; Q3UFB7,O35864,Q640L3,P12023,Q80V62,P70372,P05627,P62259,Q61510,Q9DCD6 P35739,F7EUU4,D4AE99,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,P60517
2827-4229;0:4,1:0,4:5,5:7,6:3,7:6;3:1 Q9D1C2,Q3UFB7,P12023,Q9D3U0,P70372,Q80ZQ9,Q61510,P62259,Q80V62,Q8BJA3 Q8K4I6,P35739,P08592,A0A0G2K0U8,B5DF91,D4AE08,D4A9N5,P62260,A0A0G2K5U0,D3ZER1
7144-7155;0:0,2:2,3:4,4:3,5:5,6:6;1:1,7-7:7 Q3UFB7,Q61532,Q8VCE1,P12023,P05627,Q61510,P70372,P62259,Q80V62,P56480 P35739,P27704,Q6AYG2,P08592,P17325,D4A9N5,B5DF91,P62260,A0A0G2K5U0,G3V6D3
1888-6671;0:1,2:2,4:6,5:4,6:7,7:5;3:0 P83510,Q80V62,Q8BGW8,P12023,P70372,Q61510,P62259,P70210,Q3UFB7,P05627 A0A0G2K490,A0A0G2K5U0,D3ZG38,P08592,B5DF91,D4A9N5,P62260,F7EPU7,P35739,P17325
6561-7145;0:0,1:2,3:1,4:5,5:4,6:6;7:3 Q80V62,P42227,Q9JIP6,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q62108 A0A0G2K5U0,P52631,G3V954,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,P31016
6579-7154;0:0,1:2,3:1,4:5,5:4,6:6; Q80V62,P49817,Q99P58,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,O88342 A0A0G2K5U0,Q2IBC6,Q99P74,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,Q5RKI0
6579-6671;0:1,1:2,2:0,4:6,5:3,6:7;3:5 Q3UFB7,P49817,Q99P58,P12023,Q80V62,P70372,P05627,P62259,Q61510,O88342 P35739,Q2IBC6,Q99P74,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,Q5RKI0
6708-7169;1:0,2:2,3:3,4:4,6:5,7:6;0:1-5:7 Q3UFB7,Q923E4,P13412,P12023,Q61510,P05627,P70372,P62259,Q80V62,P60710 P35739,A0A182DWI7,P27768,P08592,D4A9N5,P17325,B5DF91,P62260,A0A0G2K5U0,P60711
6585-6708;0:1,1:2,3:0,4:6,5:4,6:7;7:5 Q3UFB7,P60710,P13412,P12023,Q80V62,P70372,P05627,P62259,Q61510,Q923E4 P35739,P60711,P27768,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,A0A182DWI7
6579-7145;0:0,1:2,3:1,4:5,5:4,6:6; Q80V62,P49817,P16390,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q62108 A0A0G2K5U0,Q2IBC6,P15384,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,P31016
6557-7169;0:0,1:2,3:1,4:5,5:3,6:6;2:7-7:4,7 Q80V62,P62137,E9PZQ0,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q60631 A0A0G2K5U0,P62138,A0A0G2K5J1,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,P62994
6579-6581;0:0,1:1,2:3,3:2,4:4,6:6;5:5,7-7:7 Q61510,P31750,Q8BXA7,P12023,Q3UFB7,Q80V62,P70372,P62259,P05627,Q3U2G2 D4A9N5,P47196,D4A254,P08592,P35739,A0A0G2K5U0,B5DF91,P62260,P17325,F1LRV4
7145-7157;0:0,2:2,3:3,4:4,5:5,6:6;1:1,7-7:1 Q80V62,O35864,Q9JMJ2,P12023,Q61510,P05627,P70372,P62259,Q3UFB7,P68510 A0A0G2K5U0,F7EUU4,D4A2V7,P08592,D4A9N5,P17325,B5DF91,P62260,P35739,P68511
6585-7157;0:0,1:2,2:1,4:5,5:4,6:6;3:7 Q3UFB7,O35864,Q9JMJ2,P12023,Q80V62,P70372,P05627,P62259,Q61510,P68510 P35739,F7EUU4,D4A2V7,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,P68511
7154-7155;0:0,2:2,3:4,4:3,5:5,6:6;1:1,7-7:1,7 Q80V62,O70435,P21180,P12023,P05627,Q61510,P70372,P62259,Q3UFB7,O35593 A0A0G2K5U0,P18422,Q6MG73,P08592,P17325,D4A9N5,B5DF91,P62260,P35739,Q4V8E2
2827-6554;0:2,1:7,3:1,4:5,5:0,7:6;2:3-6:4 H3BJD6,Q6P5F9,Q3UFB7,Q9CZV8,P12023,Q61510,P53612,P62259,Q9WTX6,P70372 O35867,Q80U96,P35739,A0A0H2UI14,P08592,D4A9N5,F1LSM6,P62260,B1WBY1,B5DF91
2348-2827;0:1,2:0,3:3,4:4,5:7,6:6;1:5 O08992,Q9CR33,Q99MR3,Q3UFB7,P12023,Q61510,P62259,P70372,P11276,Q9JL15 Q9JI92,D4AE21,M0RAK3,P35739,P08592,D4A9N5,P62260,B5DF91,A0A096P6L8,Q6IN24
2348-6554;0:0,2:2,3:1,4:5,5:6,6:4;1:7 O08992,Q9CR33,Q99MR3,Q80V62,P12023,Q61510,P62259,P70372,P11276,Q9JL15 Q9JI92,D4AE21,M0RAK3,A0A0G2K5U0,P08592,D4A9N5,P62260,B5DF91,A0A096P6L8,Q6IN24
6561-6579;0:0,1:1,2:2,3:3,4:4,6:6;5:5-7:5,7 P05627,P42227,P22272,P12023,Q80V62,Q3UFB7,P70372,P62259,Q61510,P05480 P17325,P52631,G3V8T6,P08592,A0A0G2K5U0,P35739,B5DF91,P62260,D4A9N5,Q9WUD9
6710-7169;1:0,2:2,3:4,4:3,6:5,7:6;0:1-5:7 Q3UFB7,Q61188,Q9CQF7,P12023,P05627,Q61510,P70372,P62259,Q80V62,P60710 P35739,B5DFE2,D3ZX38,P08592,P17325,D4A9N5,B5DF91,P62260,A0A0G2K5U0,P60711
6585-6710;0:1,1:2,3:0,4:6,5:3,6:7;7:5 Q3UFB7,P60710,Q9CQF7,P12023,Q80V62,P70372,P05627,P62259,Q61510,Q61188 P35739,P60711,D3ZX38,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,B5DFE2
6559-7157;0:0,1:2,3:1,4:5,5:3,6:6; Q80V62,Q9WTX6,Q61508,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,Q80TQ2 A0A0G2K5U0,B1WBY1,Q62894,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,F1LPJ6
