A0A0B4J1E2 F7ACV1
A2AQ07 F7BN37
P52795 F6W380
H3BJM0 F6UI19
Q8C025 F6ZXQ8
Q9R059 F6ZXR5
F8WJE0 F6VSN2
Q9DAY6 F7C788
P10168 F6U832
P26516 F6WZY9
Q6ZPL9 F6ZL03
Q9WTQ5 F6XA38
Q9D0U1 F6ZDQ1
Q8BKX7 F6U2R6
Q9JIF7 F6YZP7
Q3TYX8 F6ZM70
Q8C0P5 F6SSS0
Q9Z321 F6RXX0
F8VQI6 F6SD05
P14211 F6TQR2
Q810D6 F6YI03
Q5SUH6 F6RQX2
Q91W52 H9GZW5
Q91W82 F6W0X2
Q5SW46 F7C3Z3
P32883 F6QR51
Q91W82 F7BYE2
Q9EPS3 F7CXB5
Q9CWK3 F7BW32
Q9QXI6 Q9BDF6
D3Z5N8 F7CFK0
Q9JI48 F6V6B4
Q8CCE9 F6VQT2
Q3UZG4 F7DY73
Q9Z248 F7CV04
Q3TNH5 F7CUH0
Q9QXN5 F6VAM9
A0A1Y7VLV0 F6TRE4
P27548 F7AR26
Q3UL36 F6QSU1
Q8VBV3 F6SS95
Q62351 F6QIV1
Q3THW5 F6X1H9
P70245 F6WBL0
P68368 F7DNT0
P59708 F6T746
O35716 F6SF14
Q8BWY4 F7B2K9
A0A286YD96 F6ZFP3
Q8VE22 F6QPW3
Q3UH68 F7BNN7
Q8CHP8 F6ZBD7
Q4FZG9 F7CV51
Q8C253 F7A860
P63087 F7AYW3
P84091 F6Z328
Q8R1H8 F6PHR4
Q9JKV9 F6XL14
G3UX50 F7DUH4
D6RIL3 F7E2F9
E9PUJ6 F6PQ04
E9PUE2 F6UBT9
G3X975 F6R994
Q7TMG8 F6X854
Q922Q2 F6XB71
Q8BKN5 F6XFE5
Q3U2J5 F6YVN4
O88852 F6WJS9
Q8BP71 F7BN37
A0A286YDR3 F6Z272
O88199 F6WF01
Q60634 F7D1Z0
P56280 F7DPI5
Q5SYD0 F6YKI8
Q3TIX6 F6TGA5
O35345 F6ZAL1
E9Q612 F6ZUY5
Q9Z238 F6TRA1
G5E8C3 F6VEY6
Q9CWX9 F6YNT2
Q61112 F6PNM1
Q91Y86 F6VM50
P46414 F7BNS9
Q8CHB8 F6WL41
P13346 F6T1R5
P53668 F6QNK6
Q8BYL4 F6YXL8
Q8BK72 F6TCA0
P54728 F6TQ92
P18872 F6ZUY5
Q3U9N4 F7AS83
Q9D2R8 F6R643
P16627 F7D7T6
Q924K8 F6RV24
A0A0R4J1E2 F6T746
Q99KR8 F7BR39
P62307 F7CC29
Q9Z248 F6R1W8
Q5IRJ6 F7CXB5
Q61184 F7CZB3
G3X960 F7B944
Q3ULW6 F6Q800
P08752 F7DYV0
Q8BH80 F7D9J2
Q9D0D4 F7BAA7
Q3UM33 F6V9A2
Q9JHQ5 F7DA59
Q8BY71 F6Q666
Q80UW0 F6XKN4
B1AWD9 F6S5X4
F6ZFU0 F6SQ60
D3Z3U5 F6ZA94
E9PVA8 F7BQ20
Q60987 F6PRN5
F8WJE0 F7C0A5
Q5SWU9 F7E1T6
Q9CRA0 F6WLC5
Q3UZ64 F6QBM1
P07356 F6ZI51
P41272 F7BWA6
P39429 F7BIV4
P70399 F6SCX8
Q62388 F6X5V1
Q9CWV7 F6UYD5
Q3UP88 F7AQV3
Q99KR8 F6S8G1
Q08874 F6WY40
P19091 F6R5G1
Q7TMM9 F7BHV8
Q9D2M8 F6YR50
Q9WUA3 F6QBH0
A2ADB0 F6YMU8
Q8BYI6 F6ZNP6
F6ZFU0 F6SB21
E9PVA8 F6ZBH0
P23927 F6SYI2
Q9Z1Z2 Q2V905
Q8BWZ3 F7BEQ4
Q6P5F9 F6S8L9
Q6NVF0 F6ZSV4
Q5SV85 F6RPH0
Q8BGZ3 F7CC90
Q60634 F7DGI1
A0A0R4IZZ1 F6UCG9
Q61464 F6RV24
Q3U9N4 F7E1T6
Q9JL10 F6W6V2
Q60769 F7BNS9
F6ZFU0 F6T746
E9Q5L4 F7AQV3
Q91X45 F6TP24
Q99P72 F7C2H1
Q921R8 F6VEQ6
Q6PDS3 F6QWS4
O88545 F6XX61
P84244 F6YI29
P11725 F7A0Y8
P40142 F7D9J2
G3X9X7 F6ZA94
Q6NWV3 F6XD72
P54843 F6RGC6
Q6P3A8 F7ACR2
Q9D9W0 F6UH40
Q9D1C3 F6VKU3
P26883 F7BNN7
Q80ZH7 F6T746
A2AWT5 F7DY73
P61750 F6S0P5
Q9EQ61 F6ZKQ8
