I3LLB5 Q8R007
F1RVZ4 P39429
F1SI41 Q8JZL0
I3L7B7 Q8K363
I3LC62 P58334
I3LP32 Q8CFC7
F1SI76 Q6P8K8
F1RGS3 Q7TSQ8
K7GNS9 P25799
A0A287AR18 Q9R0N0
F1SCJ1 Q8BZ33
A7TX82 P61080
Q28987 Q6KAQ7
F1SLA7 Q8C863
F1S360 H3BJD7
I3LQB7 E9QNN1
A0A287BK91 E9Q6P5
I3LBP0 E9Q4P1
K7GNC6 Q78IK4
I3LC62 Q9WUL8
A0A287A6G5 Q80X98
F1SC14 Q78WZ7
F1RPX1 D3YXK2
A0A287BQ14 O88888
A0A286ZWR0 Q6PAR0
F1RUP2 Q7TSQ8
Q06AT9 Q3THW5
F1SPR8 Q9CQ40
A0A0A0MY60 P42230
F1S215 O55082
A0A287BQ14 O08919
F1RM74 S4R2G5
F1SB63 P56480
B7UCT2 O70551
F1S9R4 A2APF3
I3LHB2 Q8VEE4
K7GR70 Q61510
A0A287BKF0 O88888
A0A287BJ79 P49183
F1SMN1 O35887
A0A287BNE4 P61082
F1RYY5 Q8BZH4
B5APV0 O35841
K7GNC6 Q9DC29
A0A287B098 P33896
A0A287AM94 P33896
Q3YLA6 Q6PDM2
F1S5B5 A2A8L1
A0A287A176 Q91W82
A0A286ZVH7 P25118
P10612 Q9QZ82
F1SPR8 P97473
A0A0R4J8D6 Q8K368
I3LDL8 Q9DAW6
A0A287B9K7 Q07076
I3L9X2 Q61666
A0A286ZL14 Q9CQ71
F1RSB8 Q5SXC4
K7GND3 E9QNN1
A0A0R4J8D6 Q9CYA6
F1RXE4 A2APF3
A0A286ZV83 A2AIX1
I3LTD2 E9Q7L6
F1RKW8 O35730
Q28987 Q9CQA1
A0A287BPQ8 O88379
A5D9P0 Q8BG32
F1RSE6 P97855
A0A287AV47 E9PUK6
K7GND3 Q3UR42
F1S982 Q9JIF7
A0A286ZI96 P46467
M3VK28 Q05769
F1RVD7 Q9JI48
F1S4A6 Q80W04
F1SE06 P97477
I3LIP2 Q3UR70
F1RZA6 A2APF3
B7U6F4 P62492
A0A286ZJM4 O35226
I3LH35 Q9D9W0
F1RJU1 Q80UN1
A0A287BPQ8 Q80TN5
F1RMJ9 Q8K021
A0A286ZWR0 Q7TSQ8
F1RQR3 Q8K2Z4
A0A287AB06 O09030
F1SP55 A2A8L1
A0A287AR18 Q8K368
A5GFN3 A2APF3
F1RN84 Q5NCI0
A0A287B559 Q9R0N0
A0A287B6U5 Q8BZH4
F1RXE4 Q8BZ33
A0A287BEH6 P49698
F1RUP2 Q8BZR9
F1SEX5 Q99LG2
