Q96LU5 F1S8V0
Q15717 D3K5N7
Q7Z5P4 I3L5K3
Q13315 A7LKB1
Q96E35 A0A287AHF0
Q13621 F1SN65
Q99705 A0A287BEL1
P04629 F1RHK6
Q8IWL3 A0A287AIR5
Q9UEW8 I3LIX4
P13569 A0A286ZZ96
Q99705 F1SRB6
P09683 A0A286ZRG5
Q14258 K7GR70
P37287 F1SQU5
O75521 F1RWZ4
P57054 A0A287A3K3
O15041 F1SBX2
Q96I23 A0A287BEL1
Q9HC10 A0A287BS85
Q92905 F2Z540
Q66K14 F1RWZ4
P14373 K7GND2
Q9Y4D7 F1SPK1
B1AVT0 I3L5K3
Q13621 A0A287BS85
P49736 F1SPF3
O14980 A0A287BHC9
P32241 A0A287BT69
P04637 Q9TUB2
Q96I23 F1SGV8
P05067 P79307
P57054 F1SGV8
Q96I23 F1SRB6
Q9HC10 F1SN65
P22736 A0A287ANK9
Q7Z7L7 A0A287AGJ6
P32241 D9IWC2
Q13077 F1SME2
