E9PV87	G3V9B1
E9Q5I3	D3ZAU0
A2BDY3	P22388
Q9WTX6	B1WBY1
P61809	O88498
Q8BGM7	A0A0G2JTU1
Q8C0V1	D4A0V7
Q3ULA2	F1LMH8
A0A1L1SSL9	D3Z822
F6QZR7	A9UMW0
P82347	F1LYS7
Q8BIS8	D3ZAE6
Q99NC0	A0A0G2K772
Q9Z306	A0A0G2K344
Q99NF2	O35793
P70380	Z4YNI9
Q9DA60	A0A0G2K9Q0
P25911	Q07014
Q8K419	M0R446
Q64373	Q8CGU4
Q7TMB8	D4A8H8
A0A140T8W1	F1MAD3
P97377	Q6P751
E9PVD3	F1LR66
Q8BQC8	F1M2Y6
Q9D4G2	Q4V8N6
Q60614	F1M5M9
Q9R078	P80386
P34968	A0A0G2JY06
O88738	A0A0G2JZ53
Q80Y55	Q5M840
Q62463	Q5XIX4
Q61462	Q62737
Q5SRY7	D3ZXC6
Q60631	P62994
P60324	Q6TXF1
Q9CZ83	D3Z9I2
Q9ESK9	D3ZHK4
Q8VCM4	P41034
Q3TAP4	D3ZVB0
P97288	Q80W98
Q9JL61	A0A0G2K6Q2
Q05306	A0A0G2K7A5
Q60954	B1WC31
Q4VC33	E9PSZ9
Q8VHK8	G3V691
P61804	G3V6X1
Q6NZQ8	Q5XIL0
P97327	Q10980
P22933	P18506
A0A1L1STY4	D4A317
Q9CQ45	Q6IUR5
A2AIX1	D3ZN76
Q922S4	P70587
P31311	Q00788
Q9QZK2	D3ZAZ5
Q8BGA5	Q498C9
F8VQ87	D4ABN8
Q9Z2G0	P0C6P7
D3YXG1	A0A096MJQ2
Q61263	P86182
P17564	A0A0G2JSW4
O35904	Q02294
Q9CR29	D3ZL84
Q9CXE0	D3ZIF4
Q6VY05	D3ZTM2
Q6PHU5	O54861
Q6PDY0	F1LMI1
O35216	B2RZ23
Q9WTJ5	Q9WVL9
E9Q7P2	A0A096MJ89
Q99KR7	B2RYC6
P84309	F1LPB8
Q9R100	P55281
Q8C7E4	F1M1R9
Q9D709	Q4KM24
Q3TXZ1	A0A0G2JSG8
Q9JIP7	F1LMZ1
Q810M6	G3V8V9
Q9CYG7	Q3KRD5
Q6K1E7	Q5J2D6
Q6IWE2	D3ZTY0
Q9EP97	Q924C9
Q8BMI0	D3ZIK8
Q8BJ56	Q4QQS0
A2AJ15	B2GUY0
P48678	G3V8L3
Q01965	D3ZEF7
Q80U72	D3ZWS0
Q8K1L2	D4ADL7
Q8BLN5	Q5U214
G3UW77	P35234
P33174	A0A0G2K179
Q9CQA5	Q561Q8
A0A0R4J267	D4A229
Q6P3A4	G3V6Z7
Q6GQV0	B2GV34
Q6PAQ9	Q920D2
Q9D8T2	A0A096MJ11
Q6P9R4	F1LT94
Q9Z108	Q9ET50
M0QWH9	F1M6Q1
Q9D8Y7	Q6AYJ8
Q60754	M0R9F7
A0A0R4J003	P01283
Q99L48	D3ZU83
Q8R3W5	P48004
A0A1B0GRJ3	D4A4F0
G3X924	M0R6Q6
Q8CB87	Q5U2W7
Q80T62	A0A096MJW6
Q76I79	G3V6T7
Q9CY99	D3ZUF5
Q9DAS1	D4A038
Q5D0E0	G3V8H5
Q8K2G4	Q66H90
E9QKE5	G3V7W0
Q5XJV5	D3ZS29
Q07832	A0A140TAD2
Q91ZV7	G3V6B5
D6RH62	P61808
P36898	M0R3J4
P28236	P29314
P27889	F1M084
O88875	D3ZBA3
P17012	A0A096MJV6
Q60994	A0A0G2JSP2
Q64104	Q4KMB9
Q91Y21	E9PSN7
E9PZ36	D3ZY59
P38060	P97519
A0A0R4J0B9	P50229
O55230	Q9ES39
P40753	Q5RKJ4
P46096	P21707
Q08EJ0	D4A1D7
Q3UK10	D3ZNY3
P45591	Q68FY4
Q8CIT0	P01143
P61014	P61016
Q8R1Q8	B4F7E8
Q9JJV5	Q8VHX0
Q8C5N3	D3Z8J1
Q61835	Q8QZV1
O54887	D3ZPX0
O08842	O35977
Q684R7	D3ZC92
Z4YJP0	D4AA06
Q8R2U7	Q9Z336
Q8R235	Q5PPI7
Q3UYG8	Q62924
A0A0R4IZX2	Q63787
Q6PGN1	P0C1G9
P84078	P84079
Q64524	F1M704
Q9WTK8	D3Z8A8
Q9D906	Q641Y5
G3UYS5	D3ZTK0
Q99L27	O89107
Q8CDI7	P53669
Q6NXY9	D4A1K1
Q9JJA7	A0A0G2JWV8
Q8K2Q0	B5DEZ7
O08705	P26435
Q9R117	D3ZD03
Q03142	Q4QQV7
P70302	P84903
Q8K2L8	A0A0G2JST6
P09092	D4ADK7
Q8K0W3	D4ADR3
Q9ERZ3	F1LRY8
O88470	D4A0S1
Q6F5E0	G3V645
Q7TS55	D4A3I1
Q3US17	D3ZY01
P04184	M0RCX2
Q8VIK5	F1M6W4
Q9DBY1	Q0ZFS5
E9PYV1	E9PT44
P32304	D4AD33
Q923J1	A0A0G2JYN5
Q562D6	G3V6E0
Q9JJZ8	Q9ER33
A0A1D5RMD1	P70596
P59328	D4AB06
Q61982	F1LPV8
Q01339	D4A3W7
Q91WL8	B2GUZ0
Q9D2H9	O35240
Q9EPW2	Q62632
Q9CQN1	Q5XHZ0
Q91VE6	Q5RJM0
Q9QZ28	D3ZCC7
Q8BVN0	D3ZP78
D3Z6K8	A0A0G2JW65
Q9DD03	P35286
Q8K485	D4AD99
Q8C310	D3ZKE2
Q3TY60	D4A916
Q6PDM4	Q5BJZ5
Q7TQE1	D4A3N4
Q8BH65	D4A544
Q64693	M0RBN8
Q5IXF8	O88984
Q9JJ57	A0A0H2UHE0
Q8BKY8	Q5XIE2
E9Q958	D3ZZR8
Q925I7	Q9EQT1
Q8C428	Q9QX01
Q4VBD2	Q7TP44
P0DOV1	D4AEH8
Q9D5J5	A0A0G2JT44
Q6PGF2	A0A0G2JWM6
P31360	D3Z957
Q3UV71	D4A2M3
Q8BGR8	Q0ZFS7
P43136	Q8K593
Q9DBP0	A0A0H2UHZ0
Q8CBC7	Q6IFV5
A0A0A6YWQ3	O54960
Q9CWX4	Q6AY80
Q9D9T0	E9PT37
O08586	O54857
P12979	Q8K4Q9
Q7TQI8	A0A096MJ32
Q99NB8	D4A3P1
Q60665	Q9R010
P49452	E9PSW8
Q8R326	Q3KRF2
A0A0G2JEP6	A0A0G2JSL7
E9QQ30	Q9Z1Z1
Q3UW53	D3ZVF5
P26049	D3ZWS8
Q9JHG0	D3Z9H1
D3Z7I5	D4A165
Q99L27	Q66HT5
Q9Z1K8	F1M784
Q91YK8	O55162
P56384	R9PXR3
J3QPV2	B5DEL1
Q9EQI5	Q99ME0
Q9WTW4	Q5XI33
P55850	D3ZZI6
Q6ZPK0	D3ZQL4
Q7TSH2	A0A0G2JT71
Q61090	D4ACM8
Q80ZM5	O54975
Q8CHV6	Q6AYE3
Q8VDS8	Q5FWU3
Q61045	D3ZGG8
Q0VAV1	D4A1A3
P54227	A0A0G2JY31
Q6PGH0	D3ZIM7
O88898	Q9JJP6
Q505H4	D3ZJ02
Q9CXW3	Q920R3
A0A0B4J1G6	P01143
A0A0J9YTR2	D3ZD71
A0A0R4J0Q6	A0A0G2JYR4
P14142	Q923V4
Q9CQ60	G3V8D5
Q8R2S1	Q6V9Y2
O09118	F1LPC8
P70444	Q9JLT6
Q01705	Q07008
E9Q3G0	D4A900
Q9JIP3	B5DF15
Q80VJ2	Q8CHM7
O88593	P62909
Q9CUN6	A0A0G2K612
Q9JLY7	P21744
Q04683	G3V7M1
F6XAI7	D3ZW59
Q9CPR5	P61212
Q6PDF3	D4A9T9
G5E861	Q8CJ99
Q9CQF7	D3ZX38
Q9WVK8	D4A5L7
P06240	A0A0H2UHH7
Q8BU85	P54256
Q9DB94	D4ADI9
B7ZP21	P39949
Q91WR6	D3ZJB2
Q5EC55	A0A0G2JYZ1
O08686	P15207
Q9WTL8	P05182
P09690	M0R729
Q61614	A0A0G2JSX5
Q32KI9	Q6AZ83
Q91Y21	P62516
P63013	P30904
Q8C9S4	A0A0G2K8K1
Q8BI79	F1LRY1
Q9JIW5	P68403
Q9CQ46	Q5EB76
P82350	D3ZDQ9
Q8BKG4	D3ZUE7
E9Q6H3	D3ZXM4
P28741	F1LQZ3
E9QP94	A0A0G2JXR2
Q62108	P31016
O35714	F7FFS7
P61161	Q5M7U6
A2AUC9	D3ZVD0
Q80W37	Q5XFX8
Q64441	Q09128
Q8BW22	Q91XJ0
P55095	G3V6P5
Q9JIG8	D3ZPW7
Q8R3I2	D4A9U1
O88697	P57760
P08752	P04897
P70662	F1LMD4
H7BX78	P40748
E9PWI3	A0A0G2K098
