11212 P02340,Q921E6,P12023,Q9JLV5,Q61510,P05627,P70372,P63325 P10361,B5DF02,P08592,A0A0G2JSP3,D4A9N5,P17325,B5DF91,P62250
9663 P48754,Q8VCH6,P70372,Q3UFB7,Q01279,Q6P5F9,P02340,Q80V62 G3V8S5,Q5BQE6,B5DF91,P35739,G3V6K6,Q80U96,P10361,A0A0G2K5U0
8193 P02340,Q3UFB7,Q921E6,Q61510,Q9D0F1,P19785,P48754,P70372 P10361,P35739,B5DF02,D4A9N5,F7F189,A0A0G2K0D4,G3V8S5,B5DF91
8193 P02340,Q3UFB7,Q921E6,Q61510,Q8C0M0,B2RWS6,P48754,P70372 P10361,P35739,B5DF02,D4A9N5,D3ZGZ9,A0A0G2QC09,G3V8S5,B5DF91
8193 Q61510,Q9EQT3,Q01279,Q80V62,Q91WU5,Q921E6,Q6P5F9,Q60631 D4A9N5,A0A0G2JW83,G3V6K6,A0A0G2K5U0,G3V8P2,B5DF02,Q80U96,P62994
11546 Q9JLV5,P02340,Q61510,P05627,P48754,Q921E6,Q05BA5,P70372 A0A0G2JSP3,P10361,D4A9N5,P17325,G3V8S5,B5DF02,F1M8E5,B5DF91
10292 Q921E6,P12023,P02340,Q05BA5,P05627,P70372,Q61510,Q9JLV5 B5DF02,P08592,P10361,F1M8E5,P17325,B5DF91,D4A9N5,A0A0G2JSP3
10292 Q921E6,P12023,P02340,P97470,P05627,P70372,Q61510,Q9JLV5 B5DF02,P08592,P10361,G3V8M5,P17325,B5DF91,D4A9N5,A0A0G2JSP3
9924 P59108,P02340,Q921E6,Q61510,P48754,P70372,Q60631,P05627 F1M1L9,P10361,B5DF02,D4A9N5,G3V8S5,B5DF91,P62994,P17325
7563 O55237,P02340,Q01279,Q3UFB7,Q80V62,Q6P5F9,Q62388,P70372 M0R613,P10361,G3V6K6,P35739,A0A0G2K5U0,Q80U96,D4ACL8,B5DF91
7563 A0A0R4J0G9,P02340,Q01279,Q3UFB7,Q80V62,Q6P5F9,Q62388,P70372 Q498R1,P10361,G3V6K6,P35739,A0A0G2K5U0,Q80U96,D4ACL8,B5DF91
