P54823 D3ZD73
Q80V62 A0A0G2K5U0
P12023 P08592
Q3KNM2 B0BNF6
P70372 B5DF91
Q91XD8 Q499U1
Q61510 D4A9N5
P62259 P62260
Q3UFB7 P35739
P70196 B5DF45
Q60838 D3ZB71
Q8CEQ0 Q66HE7
Q6P5F9 Q80U96
Q9CUN6 A0A0G2K612
O35864 F7EUU4
Q640L3 D4AE99
P05627 P17325
Q9DCD6 P60517
E9QL43 F1LMA3
O35864 P60711
Q80V62 P35739
Q3UFB7 A0A0G2K5U0
P70188 P83565
G3X914 A0A0H2UHG3
Q9EQT3 A0A0G2JW83
Q60631 P62994
Q9D1C2 Q8K4I6
Q9D3U0 A0A0G2K0U8
Q80ZQ9 D4AE08
Q8BJA3 D3ZER1
Q61532 P27704
Q8VCE1 Q6AYG2
P56480 G3V6D3
O70343 P18508
P02340 P60517
P37242 P23574
P83510 A0A0G2K490
Q8BGW8 D3ZG38
P70210 F7EPU7
A0A0B4J1E2 D4A8G7
Q9CWU9 G3V6M8
P70168 F2Z3Q8
P42227 P52631
Q9JIP6 G3V954
Q62108 P31016
Q8K3Z0 Q6Y2E6
Q80TQ2 Q4KMA2
Q61510 P17325
P05627 D4A9N5
O88342 D3ZIV8
O88342 Q5RKI0
Q99P58 Q99P74
P49817 Q2IBC6
Q9WTX6 B1WBY1
Q8BHL8 F1M7S2
P39429 B5DFH7
P48754 G3V8S5
O88554 G3V749
P68510 P68511
Q9WUD1 D4A4T0
Q8K1G2 D3ZWN3
Q14AT2 D3Z868
P39689 Q64315
P02340 P10361
Q99JB6 D4Q8I2
Q8C208 D4A636
A0A0R4J008 F7ENH8
P60710 P60711
P13412 P27768
Q923E4 A0A182DWI7
P16390 P15384
Q8BMC4 D3ZKI9
Q8C9A2 A0A0G2K5U3
P80314 Q5XIM9
P11276 A0A096P6L8
G3X995 F1LQ93
P28481 F1LRM7
Q04207 Q7TQN4
P62137 P62138
E9PZQ0 A0A0G2K5J1
P31750 P47196
Q8BXA7 D4A254
Q3U2G2 F1LRV4
Q9CZT5 D3ZAE6
A0A0R4IZW5 Q9R0T4
P10605 D3ZQ25
Q61282 D4A7Y1
Q08879 Q6IN22
Q9JMJ2 D4A2V7
Q9D2Y4 D3ZKP6
O70435 P18422
P21180 Q6MG73
O35593 Q4V8E2
A2APR8 O88764
Q3U487 D3ZHA9
Q9JHD2 D3ZTD1
Q8C180 Q6P730
Q64337 O08623
D3YUU6 D3ZSW4
Q91WL8 Q9EQX9
Q4G5Y1 P48508
Q9JLV5 A0A0G2JSP3
Q91W43 Q9QVC8
Q9D1B1 Q8VHC1
Q9WV60 A0A0G2KB98
A2A5N8 P53563
Q9QUM5 D4ABS0
B1AVF4 A0A0H2UHA2
P35486 A0A0G2JX76
P22272 G3V8T6
P05480 Q9WUD9
Q9CQF7 D3ZX38
Q61188 B5DFE2
E9Q3A7 G3V6E5
P0CG49 Q9Z270
Q58A65 A0A0H2UHJ1
Q91Z49 P83868
Q921E6 B5DF02
Q8BRF7 Q3KRF2
P01108 P09416
Q8K0U3 Q5HZE5
A0A0R4J007 D3ZCT5
Q61508 Q62894
Q80TQ2 F1LPJ6
P35761 A0A0G2K2S5
Q8BFW9 D3ZNG4
P09405 Q5U328
Q76KJ5 D4ADE7
Q9CQJ4 Q4KLY4
Q9JLV1 Q5U2U8
Q8BTW8 Q9JLH6
A0A0R4J187 Q6AZ64
Q7TPD0 D3ZUT9
Q8BGA7 F1M0G5
Q6PCM2 A0A0G2K7S2
Q8BGA7 Q63945
Q6PCM2 P21708
Q9D338 Q62825
Q9D572 D3ZTP9
P39429 P10361
B1AQJ2 D4AEB3
Q64010 A0A0G2K9N9
B1AXP3 D3ZCV2
Q9Z0H3 Q6IN22
Q99JX7 F1MA52
Q00780 D4AC70
Q6IFX3 Q6IFW2
P97310 D3ZP96
Q3U0M1 E9PU02
Q4KL14 D3ZEX3
Q91XA2 D4AEL2
Q9D7I8 D4ABG0
P68369 P68370
Q5DTP7 A1L1J7
Q80U70 P10361
Q9R190 P58405
G3X8S2 B5DEF8
P53395 D3ZG48
Q8BGW1 Q2A121
P60521 P60522
Q80TN5 E9PTT0
E9Q6S0 Q6AZ70
Q924W5 D4AB26
Q99P72 Q9JK11
Q8BGZ8 D4AAZ2
Q8VBT0 Q52KJ9
Q6ZQ88 F1MA31
Q91ZP9 F1LQY6
E9PXY8 F1LM09
P52479 Q3KR59
Q9DCL4 F7F172
P14211 P18418
P21275 Q6AYU9
P36895 Q78EA7
Q8CJ69 F1M661
Q60676 P53042
P21274 G3V8W4
P61161 Q5M7U6
Q8VCD5 D4ABU0
Q6IFZ6 Q6IG01
D3YZV8 A0A0G2JTP3
Q6NSV7 Q5PQL8
Q3URV1 D4A050
Q9ESK9 D3ZHK4
Q8K4L3 A0A0G2K2N0
Q9JHI7 A0A0G2K9B4
O54833 B4F7A9
Q9R0B6 A0A0G2K023
O35071 F1M9C8
E9QN98 F1LPW1
Q62432 O70436
Q8R317 A0A140TAI1
Q8K0W3 D4ADR3
Q8CH72 Q66H79
Q5EG47 P54645
P12242 Q925B3
O70302 Q62812
Q9R078 P80386
P35821 P20417
Q8BPP5 D3ZTT2
P39054 P39052
Q9D771 Q66H28
Q9JLN9 P42346
P34152 O35346
Q61090 D4ACM8
Q6PHU5 O54861
Q9D3P9 G3V6J4
Q91YI4 P29067
Q3V209 Q4FZV7
Q8BJU0 O70593
G5E8Z2 F1LT11
Q61062 D4ADV8
Q9DBR2 F1LUC1
Q9CQA5 Q561Q8
Q5HZK1 Q3B7T8
Q3ULA2 F1LMH8
O55222 Q99J82
Q80VM4 B1WBW3
P23249 D3ZUC2
Q80Z64 D3ZS29
Q07104 A2SY89
P49443 A0A0H2UHE5
P97772 P26769
P05480 Q63429
Q9JJA9 Q04400
Q61704 Q497B0
Q9CQ60 G3V8D5
O70310 Q5XIN6
P29037 Q66HB1
Q91VF6 F1M0M7
P19324 Q5RJR9
A6PWY4 D4AC05
Q9JKC7 A0A0G2K4L4
Q3TDN2 Q5BK32
O35710 Q9ET55
Q8BUY8 D4A542
P09225 Q06332
Q99N87 D3ZYT2
Q9D075 Q5RJK3
Q9D7N3 B0BN68
Q8K1K3 Q80W98
P11499 Q6MG49
O08547 O70436
Q6V4S5 A0A0G2K999
Q6DFV7 Q8VHC1
P60521 A0A0G2KB98
Q9WV32 A0A0G2JSS9
P50516 D4A133
P41731 P28648
Q3THK3 Q6AY96
Q8BFZ2 F1LR11
Q8BFZ2 Q9WVE9
Q3THK3 P62944
Q3TML0 Q5XI69
P53566 P12368
A2AIR5 P10608
Q5XJE5 G3V8M1
Q6Q477 A0A0H2UHP0
A4QPD3 F1M5R1
Q9R109 A0A096P6M0
P70340 A0A0G2JSQ6
Q9Z0F4 Q9R010
Q9DB15 D3ZXF9
Q8BKY8 Q5XIE2
Q3V3N7 D4A4U2
Q8K2G4 Q66H90
P27641 G3V817
Q5SSH7 D3ZG78
Q9CQ33 B5DFI4
O88522 Q6TMG5
Q8BJL1 B5DEX3
Q4VBE8 Q9EPJ3
Q9D312 D3Z7Y6
P20152 G3V8C3
Q99L20 Q561R9
F8VQ87 D4ACV0
P61965 Q498M4
Q8CHV6 Q6AYE3
Q8K1M6 O35303
P47867 F1M7L6
P25911 Q07014
O70624 G3V6E8
Q3UHD6 M0RBS9
Q8C6C9 F1M171
Q6NZQ2 G3V9V8
Q9Z2D8 F7EY92
Q91ZZ5 Q5ECL0
Q5RL10 Q9WUK0
Q8VDI7 Q5XIR9
Q8VEE4 Q7TP21
Q6ZPV2 D4A6Q6
P61215 M0R8A5
P62500 P62501
A2A432 D3ZK73
Q5JCT0 Q8CH87
Q8C2Q3 M0R9Q1
D3YWX2 P97541
Q99J27 F1M7P4
P61290 Q5FVM2
Q3U2V3 Q641Y7
G3UY57 D3ZRI0
P30658 G3V7J3
Q9CQJ4 P31016
Q925N2 P30937
G3X8R0 B2RZ37
Q9DCN7 D3ZG84
Q99L60 M0RBN8
P97313 D3ZTN0
Q8BHH2 D3ZP15
P51150 P09527
Q3UFY8 Q5U2R4
Q8JZY4 B5DF07
Q99N15 B0BMW2
Q6QI06 F1M4J0
Q99MX0 D3ZPV2
Q3TTF2 Q62862
Q80W65 Q0ZFS7
E9Q6D6 Q6F596
E9QPR5 Q9R1N3
Q80UG1 Q9Z0N9
Q9CR50 P16310
Q9JJV0 D4A120
P0CG49 D4AC23
Q61168 Q6P9Z7
Q7TMY8 A0A0G2JVW5
Q9JLI8 D3ZAS8
Q8BWL5 F1LVI3
Q8R035 D3ZDP2
Q3LR78 M0RCM7
Q9Z108 Q9ET50
Q91YK8 O55162
Q9QZ09 F1M8G0
P97477 Q3MHU2
Q06890 Q63429
H3BKN4 Q8VBU7
Q8K182 P48548
Q8VCG4 G3V845
O09047 G3V759
P97377 Q6P751
Q7TQI8 A0A096MJ32
P60605 B2RYD0
S4R1T9 M0R6N0
E9PXQ7 F1M6B6
Q8BVQ9 G3V7L6
P68368 Q5XIF6
Q91ZJ9 F1M963
P05213 Q6P9V9
P26450 F1LNG5
P22646 D4A5M2
O09106 Q4QQW4
Q9DA19 Q5U2T8
Q9Z1T5 F1LQ17
Q9QY24 G3V6S4
Q6AXB7 Q80WE1
Q61234 Q9JIS1
Q8VCD0 Q4V7G1
Q6AXC6 D3ZYC1
Q9Z0Z3 B2GUZ0
F7BJB9 D3Z8Q6
Q9D9N5 D3ZX64
A0A0R4J0T0 D3ZME7
Q9QY66 B5DEI7
Q3UNH6 A0A0G2K331
P61014 P61016
Q7TMB8 D4A8H8
Q99PF4 F1LPE5
P67871 P67874
P00860 P09057
P48302 P21451
Q8CGW4 F1M453
Q9D6Z1 Q4KLK7
O09118 F1LPC8
P70661 O08718
Q8R5L1 O35796
O35685 G3V8S5
Q8BUB4 F1M0V0
P31750 Q63429
Q8CHK4 A0A0G2KA75
Q70KY4 D3ZV21
Q61199 F1LWT9
P62631 P62632
Q9Z2U2 Q5BK33
Q61545 P61980
Q3U962 P62271
E9Q8T2 D3ZQ99
P62889 A0A0G2K5E6
P07724 A0A0G2JSH5
Q9EQI5 Q99ME0
Q7TS74 D3Z8Z9
O08788 D4A8U7
Q80TG9 G3V7J3
Q9JHI8 G3V7J7
Q9JMH9 Q6P751
Q9Z0U0 A0A0G2JSJ5
Q61660 Q6IFW2
O09106 F1MA52
Q9EPL0 Q6AYC8
G3X9H5 G3V9P7
P00416 P05505
P63001 Q6RUV5
Q9D880 D3ZJX5
Q3V1L6 D3ZQH5
B2RQC6 D4A8A0
Q8BTI8 A0A0G2K2M9
Q9D9Q6 Q6AYG8
E9Q2H1 H9KVE3
Q9CQ35 M0R4P4
P69566 F1LVV3
Q61098 D3ZRM2
Q61730 D1M8S3
Q3UMA3 A0A140TAH1
Q9D6I9 D4A8G3
P26369 F2Z3T9
F7AA26 F1LPQ9
Q9CPZ8 D3ZTN2
Q6GQT1 F1LU18
P07750 A0A0G2K5G5
Q60591 A0A0G2JWZ8
Q8BX51 A0A0G2K1J1
Q9R1C8 P31388
P28575 D4A1F4
Q6DI86 D3ZFR0
P59481 F7F3Z1
Q06890 G3V836
D3Z4Z0 B5DFL8
Q6I6G8 D4ADD3
P35235 P41499
Q01965 D3ZEF7
Q9EP73 D4AE25
Q9EP73 D4A542
P35235 A0A0G2JTP3
Q9D7H3 Q5BJT7
P63166 Q5I0H3
O35659 F1LRH2
Q8BWG8 P29066
Q3UIL6 A0A0G2K6Z8
O88662 Q66HH2
P98064 Q8CHN8
Q8R0J1 D4ABR1
Q9ERG0 F1LR10
Q8C050 A0A0G2K366
Q9JIP3 B5DF15
Q64693 D4A397
Q5SVD0 Q6AXS9
O35144 D3ZJF7
E9Q137 Q5XIF0
A0A087WSP5 F1M9D6
P61963 B2RZ68
D3Z1D3 M0RD54
Q61214 Q63470
