Q9HCE1 F1MA52
P82930 D4A5I9
Q8WUI4 D3ZD03
Q9HCD5 F1LNK6
Q14258 P08592
Q8WUI4 A0A0G2K6B1
Q7Z2W4 E9PTF3
P34947 Q66HL7
Q8IY67 D3ZD72
Q15717 G3V6K6
P03372 D3ZUC2
Q96EP5 P09217
Q7Z2W4 Q3B8N8
P10827 D3ZD03
Q06945 Q5BQE6
P05198 A0A0G2K6B1
P63104 P09416
Q96EP5 A0A0G2K6B1
P02751 A0A0G2K0D4
P82930 B5DFM8
P04637 A0A0G2K5U0
Q92905 P35213
P49736 P10361
P07900 D3ZP96
P04264 Q5BJY9
P05198 P09217
P05412 P17325
Q9NXH8 D3ZG57
P13645 Q5BJY9
P0CG48 Q80U96
Q9HCD5 D3ZW55
P12235 Q5U349
P04637 B5DF02
P10827 A0A0G2K6B1
Q8IY67 A0A0G2JTK4
P01106 P62994
Q9ULV4 Q5XI04
