8572 A0A287A2J9,A0A287BHC9,F1SV31,A3EX84,A0A286ZV23,A0A286ZQA1,P79307,F2Z558 G1TVU3,G1SZT9,G1T250,P47845,G1SZE4,G1SIC9,G1SZM2,G1SDY5
4747 A0A287BGY8,A0A287A2J9,A0A286ZV23,K7GR70,A0A287BHC9,A0A287B4M4,A0A287BPL8,F1RHK6 G1T5U9,G1SZR6,G1SZE4,G1T143,G1SMY6,G1TIX5,G1TYT3,G1SZT9
12090 F1S0S4,K7GR70,D3K5N7,A0A287BHC9,A0A287B4M4,I3LNX4,A0A287A2J9,F2Z558 U3KP67,G1T143,G1TAE2,G1SMY6,G1TIX5,G1SXC8,G1SZR6,G1SDY5
12090 A0A287BIR6,K7GR70,D3K5N7,A0A287BHC9,A0A287B4M4,I3LNX4,A0A287A2J9,F2Z558 G1T839,G1T143,G1TAE2,G1SMY6,G1TIX5,G1SXC8,G1SZR6,G1SDY5
10403 A0A287A2J9,A0A286ZQA1,A0A287AHC7,F2Z5I5,A0A286ZV23,A0A287B4M4,D3K5N7,F1RHK6 G1SZR6,G1SMY6,G1SIJ3,G1SFK3,G1SZE4,G1TIX5,G1TAE2,G1SZT9
10403 A0A287A2J9,A0A287BHC9,I3LVB2,F1RKX9,A0A286ZV23,A0A287B4M4,D3K5N7,F1RHK6 G1SZR6,G1SMY6,G1TY37,G1SE50,G1SZE4,G1TIX5,G1TAE2,G1SZT9
10403 A0A287A2J9,A0A287BHC9,I3LV81,I3LHB2,A0A286ZV23,A0A287B4M4,D3K5N7,F1RHK6 G1SZR6,G1SMY6,G1SIJ3,G1SFK3,G1SZE4,G1TIX5,G1TAE2,G1SZT9
10403 A0A287A2J9,A0A287BHC9,I3LV81,I3LHB2,A0A286ZV23,A0A287B4M4,D3K5N7,F1RHK6 G1SZR6,G1SMY6,G1U5D4,G1SFK3,G1SZE4,G1TIX5,G1TAE2,G1SZT9
10064 F1ST61,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZQA1,F2Z558,K7GR70,A0A287A5X3 G1TYJ9,G1TIX5,G1SZE4,G1SZT9,G1SIC9,G1SMY6,G1T143,U3KNR1
4463 A0A287AMU0,A0A286ZV23,K7GR70,A0A287A2J9,A0A287B4M4,F1RHK6,I3LFR2,A0A287BHC9 G1TWA4,G1SZE4,G1T143,G1SZR6,G1TIX5,G1SZT9,G1T087,G1SMY6
11651 F1RGS3,D3K5N7,F2Z558,A0A286ZQA1,A0A287BHC9,I3LNX4,A0A287A2J9,K7GR70 G1SYE7,G1TAE2,G1SDY5,G1SIC9,G1SMY6,G1SXC8,G1SZR6,G1T143
11651 F1RUP2,D3K5N7,F2Z558,A0A286ZQA1,A0A287BHC9,I3LNX4,A0A287A2J9,K7GR70 G1SYE7,G1TAE2,G1SDY5,G1SIC9,G1SMY6,G1SXC8,G1SZR6,G1T143
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,A0A287B726,F1RHK6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SX32,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,A0A287B726,F1RHK6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1TIP3,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,I3LHB2,F1RHK6,A0A286ZQA1 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1T481,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F2Z5N6,F1RHK6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SX32,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F2Z5N6,F1RHK6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SLH7,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1REZ6,F1RHK6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1T481,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,A0A287B0Y7,F1RHK6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SX32,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,A0A287B0Y7,F1RHK6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SLH7,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1SUT8,F1RHK6,A0A286ZQA1 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SX32,G1SZT9,G1SMY6
