A0A287B007 G1SQ43
F1SST2 G1SP94
A0A287BAM9 A0A0B4J1Q4
I3L5Q7 G1SUK9
F2Z5R6 G1SN14
I3LL69 U3KLT4
F1S798 G1SHY0
I3LRY4 G1SLM0
F1SA98 G1SZD6
A0A287AA29 G1TCH3
F1RRK1 G1TID3
B9TRX0 G1U2Q9
K7GRK2 G1T3P5
A0A287ADD9 G1U1V2
A0A287AXP9 G1STC9
A0A287BNE4 G1SDU5
A0A286ZQZ8 G1TAA5
F1RUJ3 G1T996
F1SE23 G1SF52
F1SMF6 G1T169
A0A287AEX8 G1T4X2
F1ST14 G1ST12
A0A286ZS33 G1SKM1
A0A286ZID7 G1SZG3
A0A287BNK4 G1SKZ3
K7GN73 G1SLT0
A7J149 U3KP81
F1RK84 G1TEZ1
A5GFS7 G1TTZ2
F1S794 G1SI07
A0A287AN18 G1U9L6
F1RY10 G1TRU2
F1SPR8 G1T062
A0A287AI88 G1SRV2
F1SPF9 G1ST95
A0A287BQE5 G1TXJ2
F1SQ17 G1SWM5
Q95254 A5A4K9
F1SUT8 G1SX32
A0A287BEW6 G1T6A2
A0A287BAY9 G1U9S2
A0A287B1Z3 G1SDE9
F1SUT8 G1SLH7
P79307 G1SZM2
I3LJ47 G1SZF2
F1S0L5 G1SI13
I3LII4 G1SV90
A0A286ZSN4 G1T896
A0A287AVE0 G1TIY7
I3LG73 G1T2K5
A0A286ZWZ7 G1SRP7
F1S7K1 G1SF70
I3LTQ7 G1TLF3
A0A286ZJ88 G1TZY7
A0A287B653 G1U0W2
A0A287BPQ8 G1SZ81
A0A286ZZ03 G1T1H3
A0A286ZJV8 G1SM20
F1RG69 G1SG61
F1RZW6 U3KPQ8
F1SM35 G1SXK9
A0A287ANH9 G1SML4
D7RA34 G1SQM7
F1SML3 G1SMB6
A0A286ZSF6 G1SRC5
I3LD78 G1TBM2
I3LM88 G1SJW3
I3L5R5 G1SSV3
F1S2H7 G1TKE7
F1SMG4 G1T5Z6
F1S5N6 G1SZJ7
F1SRI4 G1SZE8
A0A287BIK4 G1TEY7
I3LUA7 G1SDC9
F1STB6 G1SYY1
F1RX57 G1SRN9
I3LU32 G1SYA1
F1RWZ1 G1TT87
F1RSB8 G1TE66
A0A287BHL1 G1TRH0
F1RPM9 G1SZP1
Q52NJ3 G1SWN0
F1S1D3 G1SWQ8
F1S4Y8 P41035
F1SUB2 G1SZA8
A0A287ARI3 G1TVZ0
A0A287ATX4 G1SV10
F1SIM2 G1SNB8
F1RPH3 G1T6U3
A5GHK6 G1T7W9
A0A287A555 G1THI1
I3LAU5 G1TCX9
A5GFZ7 G1T162
F1STH9 G1SS04
I3LDU2 G1SWE7
F1SI41 G1T0G3
F1SNW8 G1TH06
F1RPZ0 G1TDL3
P67937 G1T2F2
A0A287A096 G1SWA1
I3LUF4 G1SF63
B2ZDY9 G1T8Y4
A0A287A9Y2 G1T225
F1SF72 G1TCE5
A0A287ARC5 G1SUF3
A0A287BBJ3 G1SL84
F8R6K7 G1TCW3
F1S106 G1SZJ7
F1RGG1 G1TN62
I3LDL8 G1SN37
F1SCF7 G1U6Y4
F1RFW5 G1SQP0
A0A287BRX1 G1U1T5
I3LBE3 G1SZD5
A0A286ZS00 G1SDJ7
F2Z4Y1 B7NZM8
A0A287AB06 G1T5Y0
F1RFW8 G1TU47
I3LGU6 G1SFK9
A0A287AB58 G1TKK9
A0A287B9N3 G1U149
A0A286ZRB8 G1SXR5
A0A286ZKC0 G1SJX7
I3LRY4 G1T1X4
F1SFU2 G1TEG7
P34999 G1TA77
I3L828 U3KPJ5
I3LN88 G1T165
A0A287AJQ1 G1SWA1
F1S0S4 U3KP67
I3LV81 G1SIJ3
F1SFK5 G1T0R4
F1S3R9 G1TRQ7
I3LE14 G1SI26
Q863I2 G1SV10
F1RKD4 G1TWL3
F1RVL7 G1SSP5
F1RRS6 U3KMX0
A7BJW1 G1TAV7
A0A287BL28 U3KN12
A0A287ARA4 G1TIP3
F1SPG1 G1SY36
K9IVV5 U3KMP1
A0A287B9L2 G1TKM9
A0A287A233 G1TPA9
F1RUU3 G1TXY7
P67937 G1SF00
F1STE3 G1SL26
A0A287AYT3 G1TEI7
A0A287AMU0 G1TWA4
A0A287AB06 G1SXR5
F1SAY8 G1TXE3
A0A287A2D4 G1TZY2
A0A287B052 G1U0Y2
F1SAQ3 G1STP0
F1RXF7 G1SCU8
I3LB28 G1SU80
F1S5N6 G1SJI9
A0A287B2D9 G1TXE3
I3LU37 G1TQX1
F1SH98 G1SY15
F1SBP3 G1SN60
A0A287AL11 P18597
A0A287AST0 G1TXB3
F1RWV1 G1U9S1
A0A287A4H3 G1T6B3
F1SD26 G1SFP4
A0A287AH55 G1U0F4
F1SG88 P47823
A0A287ANH9 G1TT75
F1SA70 G1SN60
A0A287AXU2 G1SKU6
C1JEX7 G1TKA8
F1RPE5 G1SMY1
A0A287BAE1 G1SPX0
F1SU06 G1SW67
A0A287AU87 G1U3N6
F1SDY7 G1T9N6
G3FNU6 U3KNI6
F1RUH7 G1SKJ6
F1SJS3 G1SPU4
A0A286ZSG5 G1TSN6
F1RP05 G1SMM5
A0A287AJL4 G1SV38
F1S0S2 G1U392
F1S8F0 G1T9A8
F1SS65 G1TCS7
A0A287B1A7 G1TRM4
F1RIG2 G1T617
K7GRK2 G1TD74
A0A287AHC8 G1TW21
F1SB65 G1TMG7
I3LAF3 G1T3Q5
P61291 G1TGJ6
F2Z558 G1SDY5
F1RRE7 G1SRS0
K7GSU4 G1SZ01
I3LAE8 G1TT75
A0A286ZID7 G1SPK9
M3VK17 G1TZK6
F1RXX3 G1SIG3
F1SL61 G1T4W8
A0A286ZSL7 G1TUC5
F1SSH9 G1SSE9
F1S834 U3KM17
F1RX98 G1SYS2
F1RQB0 G1TBM7
I3L8G0 G1SD04
I3LJ47 G1SV73
I3LN88 G1SEV9
A0A287BEV5 G1TDJ9
I3LBA7 G1SXZ0
A0A286ZQL9 G1SZ83
A0A286ZWZ7 G1SG44
I3L8Q6 G1U8L6
A0A287B3F4 G1SNZ2
C0SW08 G1TEI0
F1RY51 G1SYW5
I3LIH2 G1TGG7
A0A287AD78 G1SW67
A0A287A4H3 G1SKW5
A0A287B4W1 G1TSW5
F1SRN4 G1T4J2
F1SQH3 G1SXK9
K7GL66 G1SGJ3
A0A287ARD1 G1T876
A0A286ZTS1 G1T5B7
P18434 G1T3E7
F1RF31 G1SDL0
F1SLL4 G1SVI0
I3LP37 G1SWA1
A0A0U2ETD0 B7NZQ0
A0A287B819 G1TGU9
A0A286ZSC4 G1ST46
A0A287A7H6 G1T7B5
A0A287BA12 G1SSG2
F1SPE5 G1TCG7
A7XUJ6 U3KNH2
F1SS94 G1T5P5
A0A287BF71 G1SSL4
F1SV57 G1SUW9
I3L5U8 G1TA24
I3LF69 G1SUI1
A0A287AZQ1 G1SV56
K7GRA1 G1TQD3
F1S439 G1TN11
I3LTU2 G1TUQ4
K7GRV6 G1SR65
F1RSE6 G1T0H3
F1SV16 P41035
F1RYG4 G1U1P5
A0A287A5F6 U3KN87
F1SGS8 G1TB09
F1RUP2 G1SYE7
F1SBC5 G1T9D9
K7GSF2 Q256T0
A0A287BK29 G1T0X6
A0A287B8S8 G1TPG5
F1SM93 G1T0R3
F1SR89 G1T4B6
F1SHD4 G1U6P9
Q27HK4 G1SD44
I3LS35 G1T7G3
A0A286ZI96 G1T421
A0A287AFY4 G1SKU2
I3LFX5 G1T168
A0A287ANK9 G1T1W2
A0A286ZWP6 G1TXW7
F1SP32 G1T4N4
A0A287B979 G1THW9
F1RSS9 G1T852
F1SB65 G1TCS7
I3LTD6 G1TBF1
F1SC64 G1T0H9
I3L8A2 G1T632
I4IYB5 Q6ECK6
F1RKI8 G1TK68
F1SQA7 G1SMV4
I3LDS3 G1T1V0
I3LAU5 G1T383
I3LJ47 G1STH6
K7GM93 G1TD66
A0A287A7J8 G1SE83
F1RWW3 G1TDE1
A0A287B5N4 G1T130
F1SC64 G1TQ40
A0A287BIR6 G1T839
A0A286ZXL7 G1TU73
A0A287AC34 G1SYV9
F1SHN7 G1STZ5
A0A287A9N8 G1TPD9
A0A287A728 G1SG88
A0A287BIK0 G1U275
A0A286ZZL7 G1TVH9
P50131 G1TJ92
F1S6I1 G1SJ71
A0A287AH98 G1TJM6
F1SCL0 G1U0V9
F1RWA0 G1T895
A1Y2K0 G1TD81
F1S690 G1TA02
D7RA28 Q8MK68
A0A287BFI8 G1T1T5
A0A287A4L2 G1SVB7
A5GFS7 G1TLF3
F1SPR8 G1T3N8
F1SSU6 G1SMQ8
F1SE91 G1U998
F1RUS8 G1TEU8
F1S021 G1TNT5
K7GRS5 G1TPJ7
F1SHC0 G1SQI2
F1RYA1 G1T850
A0A286ZYM9 G1SKX8
A0A287A4N6 G1SQZ3
I3LFX5 G1TAR0
A0A288CG47 B7NZD2
F1RKZ6 U3KNR1
F1SSH4 G1U427
I3L7K2 G1SSM2
I3LG73 G1TXW7
I3LEL6 G1T9N8
F1RPV3 G1T7M7
A0A287BEN5 G1T9L5
A0A287A5J3 G1TN11
F1RX85 G1U3K4
F1SJ70 G1TVU8
A0A287BNK4 U3KN03
A0A287AF76 G1TR97
A0A287ATR5 G1SHC6
A0A287B613 G1SYX3
A0A287BBE4 G1T2K5
A0A287BF41 G1TB09
K7GL45 G1T1R4
A0A287AH98 G1TZQ8
A0A287BBY6 G1T035
A0A287AJW8 G1SYG0
F1STB2 G1T764
A0A287BR44 G1SVF8
B6V6V4 G1SPK9
K7GQT5 G1SYN1
F1RWM5 G1SZL0
A0A287A9H2 G1T5S2
I3L897 G1SXS3
F1SRB6 G1U8V0
A0A287B4X2 G1TTL1
A0A287B3N8 G1SKF8
F1RF89 G1SP64
A0A287AG50 G1SE07
F1S4Y8 G1SKI9
F1SJL3 G1SSS6
F1S106 G1TSP4
F1S5N5 G1SVQ9
A0A287BAL0 G1TFX1
A0ENH4 G1TED9
A0A287ASV1 G1T5G7
F1S1J5 G1SVF0
A0A286ZTD8 G1SIG2
A0A287BB27 G1SV05
F1SMW9 G1SVF2
I3LMS3 G1U1Z6
A0A287A6L4 G1SKW5
I3LH72 G1TAJ6
F1S9S0 G1SI38
F1S3F6 G1TVV9
B5LX40 G1STG2
D9U8D1 P63169
F1S073 G1SL62
A0A287B6R5 G1TCP6
I3L7T2 G1T1A9
F1SRE0 G1SS22
A0A287BMX4 G1T2S4
I3LHB2 G1SFK3
F1RZS8 G1T8H5
A0A287ABY4 G1SVF4
A0A0G2KBD0 G1T6G0
A0A287B7H5 G1SN81
A0A287B6R5 G1T818
A0A287AJU8 G1SIC8
A0A287ASD5 G1TME0
F1SV31 G1T250
F2Z5N6 G1SLH7
F1SNC8 G1U0W0
F1S0D9 G1SKW5
F1SGH9 G1SL72
P54612 G1TCZ8
F1SAK9 G1TAB1
A0A287B1A7 G1T2K5
R4JU57 G1SEN5
I6L6T2 G1SQM7
A0A287BBM7 G1TXL5
F1S8W2 G1T1R8
A0A287A2J9 G1SZR6
A0A286ZIV3 G1SRE8
A0A287AHC7 G1SIJ3
F1SH27 G1TCI3
A0A287B0L4 G1T874
F1RSW9 G1TMB8
F2Z540 G1T1D9
I3LNX4 G1SXC8
M9MMN1 G1T1L1
F1SGS8 G1SFD1
F1SV60 G1T0G8
A0A287AA49 G1SIU3
F1RKD4 G1T7Q7
A0A286ZT74 G1SSL5
A0A287AE42 G1U3I5
A0A287B3F4 G1SG44
F1SAG1 G1SUJ9
A0A286ZQM7 G1T4C3
I3LSD5 G1THG0
A0A287BMU9 G1TGG7
A0A286ZKV2 G1TEG7
F1SPZ6 G1SUQ7
I3LLY4 G1TBR1
I3LCK3 G1SK67
I3LVB8 G1U886
Q06AU6 G1T2T9
F1SPP2 G1SHD1
F1RLC1 G1SN38
F2Z4Z8 G1TLE4
I3LBY1 G1STP3
F1SS65 G1T6A2
A0A287BLB3 G1T1X4
A0A287BQU7 G1TI40
F1SEX6 G1TGC0
