Q9QZN4 F1RF93
Q64701 F1SLK9
Q920H1 I3L9L7
A2A7S8 A0A287AB40
O54946 F1RU38
E9QNX9 F1CK17
Q8BK63 A0A286ZJG5
P70434 A0ZVR0
Q8CJ61 A0A288CFU2
Q9EST5 A0A287ARU6
Q91YU7 P15203
Q9D906 A0A287BI89
P27782 A0A287B877
E9Q411 F1SCR9
Q9WVS8 F1RVT6
Q8CIV7 A0A287AYQ4
Q99K46 A0A287AVQ0
O35740 A0A286ZLA1
Q8BHI7 F1RJH1
Q8BKJ9 A0A287AZS2
Q9D7X3 B7U6F4
P97310 F1SAJ5
Q3V2D2 A0A287A8G1
Q8BFW9 A0A287BR15
Q9JHD2 F1S0Q0
Q9R1M5 I3LF48
Q8R5L3 F1SFK5
O55047 F1SG38
Q9CZB0 I3LBA2
Q91WR3 A0A286ZQL9
Q9ERD7 A0A287A5I0
Q61550 F1S1K0
Q9D906 F1RVT6
Q61089 F1S0R5
P12023 P79307
E9Q6A7 A0A286ZV36
P20263 F1RU99
P47857 Q8HZV3
Q6A078 A0A287BMW8
A2BFE8 C6JWG4
Q9QYC7 F1S106
Q8R015 A0A286ZJX3
Q61545 F1SID1
Q8JZL7 A0A287ANN0
Q99P72 A0A287B5Q4
Q8BHB7 A0A287A6T8
O88597 A0A287BD11
Q8VDG5 F1SF93
Q62351 A0A287A1V5
P97310 F1SML4
Q60634 A0A287BNZ9
F6V5B0 F1SAZ7
Q80UG2 A0A287AJW5
A0A0R4J0T0 A0A287AIR5
A0A1Y7VLV0 A0A287AA35
Q9WUR9 B1NI70
Q8BJS8 F1S287
A2A7S8 A0A287A991
A0A087WPY4 F1RVR8
P27782 F1S064
Q60665 F1SEI1
Q62311 F1SCF5
Q9JMG9 A0A287BBL7
Q9ESU7 F1RM08
Q9ERI5 F1S4Y2
Q8CJG0 A0A287B5S7
O88992 A0A287B5M8
Q9Z2X8 Q684M4
Q920Q2 A0A287AD86
Q9D7X3 A0A287B854
Q32NY8 A0A287AVQ6
Q91YD9 A0A287B854
P04184 A0A286ZID2
P54728 A0A286ZMP7
Q6GQT0 A0A287AWA8
Q91Z22 A0A287AE68
Q64205 F1RSH8
Q9D906 F1SCF5
P43021 A0A287AVE0
Q61062 A0A287AAL7
Q8BGM7 F1RUM0
Q60631 B6E241
P26883 F1SKH6
Q9DB05 F1SIE6
P38647 F1SHL9
Q8K2J7 A0A287AB40
Q8C8U0 A0A287B621
P47811 F1RYA1
Q921E6 A0A287B4M4
Q62227 F1STR7
P16546 F1SML4
P48025 A0A286ZZ61
A2CGA3 O62640
Q61187 F1CK17
Q9JMG9 I3LVJ1
Q3V1L4 A0A287BSE8
Q9R0S3 I3L740
Q9DC28 M3VH47
Q9DAY6 A0A287B0M0
P16546 Q767L0
G3UVW3 F1SRV0
Q8K2F8 R4JU57
P27782 F1SEI1
O88992 F1SR95
Q4KWH5 A0A287BL45
Q99JT2 I3LCX3
O88199 I3LMT5
Q0VBF2 A0A286ZYQ9
Q8VDF2 F1S8V5
B1AR17 F1RQY4
J3KMG9 A0A287B877
Q6A078 A0A286ZYG8
Q9Z2C5 F1SAZ7
Q64729 K7GSM3
Q9WVS8 P79432
O35385 F1SAZ7
Q8VDP6 A0A287A1V9
Q8R1N4 F1RM08
E9Q5L4 A0A287ALS3
Q921W4 A5JUQ8
Q91W29 A0A287A440
Q6P5D4 A0A287AA61
Q9CR78 A0A287AG50
Q9CZB0 I3LLR6
Q60848 F1SC64
E9PYF7 I3LVB3
O70494 A0A287BSV9
Q9R1M5 F1SIX8
P97855 A0A287AX48
P63101 F2Z558
Q8VEE4 A0A287A5I0
Q3UFB7 F1RHK6
P70445 A0A286ZLA1
Q91XU3 A0A287AJL9
Q5SRY7 A0A287BCR0
Q8CIH5 A0A287BRD8
Q8BUN5 P84024
Q9WUA3 A0A287A1V5
Q3TT38 F2Z503
Q62415 F1SHF6
P0CG50 F1SE73
P04202 F1RGG1
Q3UFY8 F1SL15
Q8CIH5 F1S475
Q9CQE6 F1SH27
Q8R317 A0A287B231
Q8BJ64 F1SH89
M9MMK0 A0A286ZTX1
P62889 A0A287AZA7
P06804 P23563
Q61545 F1SA98
Q9D906 F1S001
P14152 A0A286ZIJ9
Q9JMG9 F1STR7
Q9ERS5 F1S4K9
Q9JMH6 F1SG38
A2BFE8 A0A286ZYQ9
P0CG50 F1RHU6
P63168 D9U8D1
Q9JMG9 I3LQ78
Q9D6V8 F2Z503
Q8BW72 A0A287BSV9
Q8C8U0 F1S7K1
P19091 F1RTM6
Q8CCS6 A0A286ZS52
Q6NZQ4 A0A286ZXL7
O08688 A0A287BHL2
Q8CEC4 A0A287B7K4
Q69ZR2 F1SHF6
Q9D1L9 Q66X52
Q3UJB0 A0A286ZWP6
A0A0R4J092 Q767L9
Q64151 A0A287AMJ5
Q9ERS5 A0A287AB40
Q3U487 F1SNJ6
Q64701 F1SNJ6
P50228 P22952
Q8C8U0 I3L5F7
Q62388 F1SV20
Q8BZ89 A0A286ZRE9
Q9CYD3 F1S106
E9Q6A7 A0A287ADN5
P42228 A0A286ZYD0
Q06180 A0A287BNZ9
Q9Z265 A0A286ZND4
Q8BHN9 A0A287AAE5
G3UVW3 F1SMZ8
Q922L6 A0A286ZQL9
Q8K2J7 F1S4K9
Q76I79 A0A286ZZW4
P62340 A0A286ZV73
J3KMG9 F1SF37
Q3TLH4 F1S7K1
Q61043 F8SIP5
A2A7S8 A0A286ZUR0
O35492 F1RLB6
O55237 Q3ZDR4
Q8CI32 F1S475
P48025 A0A287AL02
Q3UB74 A0A287BQ51
Q8K2F8 F1S7K1
Q3UHD6 F1S033
Q8VHV1 A0A287B6L2
P09103 A0A287BNK4
O88597 A0A287BIH8
Q9JMG9 A0A287AFJ7
P25801 F1SGS5
Q9CQJ4 A0A286ZX77
Q8BHN9 A0A287A6T8
Q9WVS6 A0A287A4T0
Q91VR7 D2KQR0
F8VQJ3 I3LRL0
Q06180 F1RMN5
A2AGH6 F1RSV8
Q58Y75 A0A287BHA0
Q9WVS8 F1S034
P34960 F1SV57
P14094 P05027
Q5SUQ9 A0A287BD82
Q62311 P79432
Q9CPQ3 A0A287AGT7
Q62311 F1S034
O08688 I3LG10
Q64127 A0A286ZJW1
P11247 K7GRV6
Q9WTQ5 A0A287BE06
G3X9H5 F1S8N5
A2A7B5 A0A287B916
Q60634 D5KJI2
Q8BWY4 F1SUK6
Q8BKN5 F1SIS1
P35564 P28491
Q3TLH4 F1SG38
Q8BH57 F2Z5V5
Q03265 P80021
Q8CAF4 A0A287BIC6
Q9CR13 A0A286ZX89
Q9D906 A0A287AKE2
O88700 A0A286ZZS2
Q9ERE9 A0A286ZPK2
P05214 F1SQR4
