Q6P9S1 F1S010
Q61510 K7GR70
P33896 A0A287AM94
Q9R1B9 F1SAH1
G3X959 A0A287BP73
Q9R1M5 F1SUK6
Q8CHP8 F1SIX8
Q9D2V5 A0A287AWK9
Q8BX70 A0A287AZG6
Q8C2K1 A0A286ZYD0
Q8C845 F1SUW3
Q6PD29 A0A287AZ31
P36898 Q95L23
Q8VHZ7 A0A287AYD9
D3Z3U5 A0A286ZLT0
Q8BK63 A0A286ZJG5
Q91W63 Q8SPR7
G3X924 A0A287AU22
F6VPT9 F1RFX4
Q61062 A0A287AAL7
Q8C1Q4 A0A286ZXQ9
Q60631 B6E241
Q64347 I3LF48
Q8K352 F1RTH8
Q9WV31 A0A287B294
Q9CPN8 A0A287AJQ1
Q921J4 A0A286ZYS4
D3Z4M6 A0A286ZKM4
Q9CYD3 A0A287AMJ5
Q3UPF5 F1S9R5
P35564 P28491
P16546 F1S0N2
Q9DCX8 I3LBA2
Q8CFC7 A0A287A2C8
Q3UL36 F2Z517
Q9QZ28 F1RY10
Q9CRA0 K7GM93
O70201 A0A287ACX2
Q5IRJ6 F1SIU0
F6V5B0 F1SAZ7
Q8CFT3 F1RHJ1
Q9CZB0 I3LLR6
Q3TQQ9 F1SJU3
P56942 F1SRJ6
P62340 I3LRL0
Q64343 F1SJR3
Q03173 F1SG38
Q80UN1 F1RJU1
Q810K9 A0A287AQ63
P10107 A0A287A608
Q9WVS8 I3LFS1
Q9D2V5 F1S484
Q8JZV4 A0A287A5S5
Q3V1L4 A0A286ZLT0
A0A1D5RME2 F1S3D0
E9Q774 F1S484
O88854 I3LTJ3
Q8JZZ7 A0A287BGY8
Q8K363 I3L7B7
J3KMG9 I3LVJ1
Q9JLI8 A0A287A1V5
Q60760 B5KFD7
Q9D2R6 F1S1F3
Q99LH1 F1RSV8
Q9QY39 K7GRK2
Q62203 F1SJV7
Q9D159 Q8HYN8
Q9EPS3 I3LR13
Q60665 I3LVJ1
Q9D281 F1S4J0
P0C7N9 A0A287B519
P14152 F1SE73
S4R1Y1 A0A287AWA8
Q8K298 F1SIM2
Q3B7Z2 F1RMJ9
A0A1B0GT63 I3LUG5
Q80ZW2 F1RPK6
Q8BGU2 A0A287BBJ3
Q9ERS5 A0A287A991
A2RTU1 F1RK76
