4332 P04637,P0DI82,P05067,P04629,P00533,P06733,P05412,Q15717 P04637,P0DI82,P05067,P04629,P00533,P06733,P05412,Q15717
4332 P54289,P04637,P05067,P04629,P00533,Q15717,Q14258,Q00839 P54289,P04637,P05067,P04629,P00533,Q15717,Q14258,Q00839
4332 P54289,P04637,P05067,P04629,P00533,Q15717,Q14258,Q00839 O14732,P04637,P05067,P04629,P00533,Q15717,Q14258,P40227
4332 P54289,P04637,P05067,P04629,P00533,Q15717,Q14258,Q00839 Q8IWU2,P04637,P05067,P04629,P00533,Q15717,Q14258,P62136
4332 P04637,Q9NX95,P04629,P05067,P00533,Q14258,Q15717,Q9UKB1 P04637,Q9NX95,P04629,P05067,P00533,Q14258,Q15717,Q9UKB1
4332 P04637,Q9NX95,P04629,P05067,P00533,Q14258,Q15717,Q9UKB1 P04637,Q9NX95,P04629,P05067,P00533,Q14258,Q15717,Q9UKB1
4332 P04637,Q9NX95,P04629,P05067,P00533,Q14258,Q15717,Q9UKB1 P04637,O75691,P04629,P05067,P00533,Q14258,Q15717,O75147
4332 P04637,Q9NX95,P04629,P05067,P00533,Q14258,Q15717,Q9UKB1 P04637,Q9NX95,P04629,P05067,P00533,Q14258,Q15717,Q9UKB1
4332 P04637,Q9NX95,P04629,P05067,P00533,Q14258,Q15717,Q9UKB1 P04637,Q9NX95,P04629,P05067,P00533,Q14258,Q15717,Q9UKB1
4332 P04637,Q9NX95,P04629,P05067,P00533,Q14258,Q15717,Q9UKB1 P04637,O75691,P04629,P05067,P00533,Q14258,Q15717,O75147
4332 O14732,P04637,P05067,P04629,P00533,Q15717,Q14258,P40227 P54289,P04637,P05067,P04629,P00533,Q15717,Q14258,Q00839
4332 O14732,P04637,P05067,P04629,P00533,Q15717,Q14258,P40227 O14732,P04637,P05067,P04629,P00533,Q15717,Q14258,P40227
4332 O14732,P04637,P05067,P04629,P00533,Q15717,Q14258,P40227 Q8IWU2,P04637,P05067,P04629,P00533,Q15717,Q14258,P62136
4332 O14732,P04637,P05067,P04629,P00533,Q15717,Q14258,P40227 Q8NBX0,P04637,P00533,Q14258,P05067,Q15717,P04629,Q13501
