10012 P00533,P24941,Q15717,P05412,P04637,O00425,P02751,P03372 P08592,A0A0G2JZG2,B5DF91,P35739,Q80U96,Q09167,A0A0G2JSP3,G3V6K6
9945 P05067,P03372,Q15717,P04629,O14980,P40763,P00533,Q92905 P08592,A0A0G2K0D4,B5DF91,P35739,Q80U96,F2Z3T9,G3V6K6,A0A0G2JSP3
9945 P05067,P03372,Q15717,P04629,O14980,P40763,P00533,Q92905 P08592,A0A0G2K0D4,B5DF91,P35739,Q80U96,Q6P7A7,G3V6K6,A0A0G2JSP3
11155 P19320,P05067,P04629,P00533,Q92905,Q15717,O14980,Q92499 P10361,P08592,P35739,G3V6K6,A0A0G2JSP3,B5DF91,Q80U96,Q498M4
11155 P19320,P05067,P04629,Q92905,P00533,O14980,Q15717,P31948 P10361,P08592,P35739,A0A0G2JSP3,G3V6K6,Q80U96,B5DF91,O35346
9935 P05067,P03372,Q15717,P04629,Q6PKG0,O14980,P00533,Q92905 P08592,A0A0G2K0D4,B5DF91,P35739,M0R9Q1,Q80U96,G3V6K6,A0A0G2JSP3
9935 P05067,P03372,Q15717,P04629,Q6PKG0,O14980,P00533,Q92905 P08592,A0A0G2K0D4,B5DF91,P35739,F1M062,Q80U96,G3V6K6,A0A0G2JSP3
9935 P05067,P03372,Q15717,P04629,P31483,O14980,P00533,Q92905 P08592,A0A0G2K0D4,B5DF91,P35739,A1A5R1,Q80U96,G3V6K6,A0A0G2JSP3
9935 P05067,P03372,Q15717,P04629,P31483,O14980,P00533,Q92905 P08592,A0A0G2K0D4,B5DF91,P35739,Q5PQR7,Q80U96,G3V6K6,A0A0G2JSP3
9935 P05067,P03372,Q15717,P04629,P31483,O14980,P00533,Q92905 P08592,A0A0G2K0D4,B5DF91,P35739,Q6AY21,Q80U96,G3V6K6,A0A0G2JSP3
9935 P05067,P03372,Q15717,P04629,P31483,O14980,P00533,Q92905 P08592,A0A0G2K0D4,B5DF91,P35739,D4A3E8,Q80U96,G3V6K6,A0A0G2JSP3
10175 Q15717,P05067,P24941,P03372,P32119,P04637,O75147,P05412 B5DF91,P08592,A0A0G2K0D4,G3V8S5,F1LQ81,P10361,B2RZ55,P62260
11547 P05067,Q15717,P08238,P04637,O14980,P00533,Q9NRC8,P05412 P08592,B5DF91,A0A0G2JZG2,P10361,Q80U96,G3V6K6,B2RZ55,P17325
11547 P05067,Q15717,P08238,P04637,O14980,P00533,Q9NRC8,P05412 P08592,B5DF91,A0A0G2K0D4,P10361,Q80U96,G3V6K6,B2RZ55,P17325
9629 P03372,Q15717,P05067,Q13144,P04629,P00533,O14980,Q92905 A0A0G2K0D4,B5DF91,P08592,Q5M9F8,P35739,G3V6K6,Q80U96,A0A0G2JSP3
9629 P03372,Q15717,P05067,Q13144,P04629,P00533,O14980,Q92905 A0A0G2K0D4,B5DF91,P08592,Q64350,P35739,G3V6K6,Q80U96,A0A0G2JSP3
9629 P03372,Q15717,P05067,Q13144,P04629,P00533,O14980,Q92905 A0A0G2K0D4,B5DF91,P08592,Q6MG13,P35739,G3V6K6,Q80U96,A0A0G2JSP3
10600 P05067,P03372,Q15717,P04629,O14980,Q14444,P00533,Q92905 P08592,A0A0G2K0D4,B5DF91,P35739,Q80U96,Q5M9G3,G3V6K6,A0A0G2JSP3
10121 P05067,P38398,Q15717,Q9NQC7,O14980,P04637,P62191,P05412 P08592,G3V8S5,B5DF91,A0A096P6L8,Q80U96,B5DF02,D3ZK34,D4A9N5
10121 P05067,P38398,Q15717,Q9NQC7,O14980,P04637,P62191,P05412 P08592,G3V8S5,B5DF91,A0A096P6L8,Q80U96,B5DF02,D3ZZ95,D4A9N5
10121 P05067,P38398,Q15717,Q9NQC7,O14980,P04637,Q13435,P05412 P08592,G3V8S5,B5DF91,A0A096P6L8,Q80U96,B5DF02,D3ZZ95,D4A9N5
5777 P05067,P19320,P04637,P04629,Q15717,O14980,P27695,P49736 P08592,A0A096P6L8,P10361,P35739,B5DF91,Q80U96,Q03114,G3V6K6
10136 P05067,P03372,Q15717,P04629,O14980,Q14157,P00533,Q92905 P08592,A0A0G2K0D4,B5DF91,P35739,Q80U96,E9PTR4,G3V6K6,A0A0G2JSP3
9135 P05067,Q15717,P03372,Q9UPN7,P04629,O14980,P00533,Q92905 P08592,B5DF91,A0A0G2K0D4,A0A0G2JTK4,P35739,Q80U96,G3V6K6,A0A0G2JSP3
9135 P05067,Q15717,P03372,Q9UPN7,P04629,O14980,P00533,Q92905 P08592,B5DF91,A0A0G2K0D4,A0A0G2JVC2,P35739,Q80U96,G3V6K6,A0A0G2JSP3
