P62993 D3ZP96
P05412 P35739
Q13573 G3V8S5
O00178 D2XV59
Q9Y2W2 G3V700
Q9HCE1 F1MA52
Q99816 G3V6T1
Q9Y3D9 B5DFM8
Q562R1 G3V9A8
P01106 G3V6K6
P04637 B5DF02
Q562R1 A0A0G2KB73
Q8TAD8 P62489
Q9Y2W2 D3ZQ59
P49736 P62994
P38398 A0A0G2JSP3
Q13049 G3V9A8
Q13049 A0A0G2KB73
Q92905 P10361
P02751 A0A0G2K0D4
Q9UBU9 A0A0G2K0D4
P03372 P35213
P0CG48 G3V8S5
Q13618 P17325
Q5VT06 D3ZD72
