3836 O15041,P22736,P05067,Q15717,P05412,Q14258,O14980,Q9Y4D7 D3Z8E2,P22829,P08592,B5DF91,P62260,D4A9N5,Q80U96,D4AA77
4117 Q7Z5P4,P04629,Q8IWL3,Q14258,P05067,Q15717,Q92905,O75521 Q5M875,P35739,D3ZME7,D4A9N5,P08592,B5DF91,F7EUU4,Q5XIC0
4177 Q8WXI4,P05067,P51116,Q15717,P04629,Q14258,P05412,Q9BV44 B0BNB3,P08592,B1H2A6,B5DF91,P35739,D4A9N5,P17325,D3ZSV7
4177 Q9NRN9,P05067,P51116,Q15717,P04629,Q14258,P05412,Q9BV44 B0BNB3,P08592,B1H2A6,B5DF91,P35739,D4A9N5,P17325,D3ZSV7
3530 Q9HC10,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8 Q5PQV1,D3ZME7,P35739,D4A9N5,B5DF91,D3ZP96,P08592,O88506
3530 Q9HC10,Q8IWL3,P04629,P05412,Q15717,P49736,P05067,Q9UEW8 Q5PQV1,D3ZME7,P35739,D4A9N5,B5DF91,D3ZP96,P08592,O88506
3530 Q13621,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8 Q9ERC5,D3ZME7,P35739,D4A9N5,B5DF91,D3ZP96,P08592,O88506
3530 Q13621,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8 Q5PQV1,D3ZME7,P35739,D4A9N5,B5DF91,D3ZP96,P08592,O88506
3530 Q13621,Q8IWL3,P04629,P05412,Q15717,P49736,P05067,Q9UEW8 Q5PQV1,D3ZME7,P35739,D4A9N5,B5DF91,D3ZP96,P08592,O88506
1277 P04629,Q96I23,P04637,P05067,Q14258,Q13077,P37287,Q15717 P35739,Q5U1Z8,P10361,P08592,D4A9N5,M0R5V5,D4AAY7,B5DF91
1277 P04629,Q99705,P04637,P05067,Q14258,P14373,Q96E35,Q15717 P35739,P97639,P10361,P08592,D4A9N5,B5DFI5,Q7TSV3,B5DF91
1277 P04629,P57054,P04637,P05067,Q14258,Q13077,P37287,Q15717 P35739,B2GUT8,P10361,P08592,D4A9N5,M0R5V5,D4AAY7,B5DF91
1277 P04629,P57054,P04637,P05067,Q14258,Q13077,P37287,Q15717 P35739,D4A0Z0,P10361,P08592,D4A9N5,M0R5V5,D4AAY7,B5DF91
