2827-6583;0:3,1:0,3:1,4:5,6:4,7:6;2:7 P02340,G3X9H5,Q3UFB7,P42866,P12023,Q61510,P70372,P62259,Q80V62,O35864 P10361,G3V9P7,P35739,P33535,P08592,D4A9N5,B5DF91,P62260,A0A0G2K5U0,F7EUU4
6583-6710;0:1,1:2,3:0,4:6,5:3,6:7;7:4 Q80V62,O35864,Q640L3,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,Q9DCD6 A0A0G2K5U0,F7EUU4,D4AE99,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,P60517
6710-7169;1:0,2:2,3:3,4:4,6:5,7:6;0:1 Q80V62,Q9DCD6,Q640L3,P12023,Q61510,P05627,P70372,P62259,Q3UFB7,O35864 A0A0G2K5U0,P60517,D4AE99,P08592,D4A9N5,P17325,B5DF91,P62260,P35739,F7EUU4
6156-6579;0:0,1:2,2:1,4:5,5:3,6:4;3:6 P05627,O88342,Q99P58,Q80V62,P12023,Q61510,Q3UFB7,P70372,P62259,P49817 P17325,Q5RKI0,Q99P74,A0A0G2K5U0,P08592,D4A9N5,P35739,B5DF91,P62260,Q2IBC6
6579-7157;0:0,1:2,2:1,4:5,5:4,6:6;3:7-7:3 Q80V62,Q9WUD1,Q8K1G2,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,P68510 A0A0G2K5U0,D4A4T0,D3ZWN3,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,P68511
6168-7157;0:0,2:2,3:4,4:3,5:1,6:5;1:6,7-7:6 Q3UFB7,Q9WUD1,Q8K1G2,P12023,P05627,Q61510,Q80V62,P70372,P62259,P68510 P35739,D4A4T0,D3ZWN3,P08592,P17325,D4A9N5,A0A0G2K5U0,B5DF91,P62260,P68511
2827-6559;0:2,1:0,3:1,4:5,6:4,7:6; P02340,Q62158,Q3UFB7,A0A0R4IZY5,P12023,Q61510,P70372,P62259,Q80V62,P11276 P10361,B5DFI5,P35739,F1M665,P08592,D4A9N5,B5DF91,P62260,A0A0G2K5U0,A0A096P6L8
6583-6708;0:1,1:2,2:0,4:6,5:3,6:7;7:4,5 Q80V62,P60710,P13412,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,Q923E4 A0A0G2K5U0,P60711,P27768,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,A0A182DWI7
6708-7145;1:0,2:2,3:3,4:4,6:5,7:6;0:1,7-5:7 Q80V62,Q923E4,P13412,P12023,Q61510,P05627,P70372,P62259,Q3UFB7,P60710 A0A0G2K5U0,A0A182DWI7,P27768,P08592,D4A9N5,P17325,B5DF91,P62260,P35739,P60711
6557-7155;0:0,1:2,2:1,4:5,5:4,6:6;3:7 Q80V62,Q8BMC4,Q8C9A2,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,P80314 A0A0G2K5U0,D3ZKI9,A0A0G2K5U3,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,Q5XIM9
6156-7155;0:0,2:2,3:3,4:4,5:1,6:5;1:6,7-7:6 Q3UFB7,Q8BMC4,Q8C9A2,P12023,Q61510,P05627,Q80V62,P70372,P62259,P80314 P35739,D3ZKI9,A0A0G2K5U3,P08592,D4A9N5,P17325,A0A0G2K5U0,B5DF91,P62260,Q5XIM9
6583-7157;0:0,1:2,3:1,4:5,5:3,6:6;2:7-7:4 Q80V62,O35864,Q9JMJ2,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,P68510 A0A0G2K5U0,F7EUU4,D4A2V7,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,P68511
7157-7169;0:0,2:2,3:3,4:4,5:5,6:6;1:1-7:1 Q80V62,P68510,Q9JMJ2,P12023,Q61510,P05627,P70372,P62259,Q3UFB7,O35864 A0A0G2K5U0,P68511,D4A2V7,P08592,D4A9N5,P17325,B5DF91,P62260,P35739,F7EUU4
6671-7155;0:2,1:0,2:1,3:5,6:3,7:6;5:4 Q921E6,Q6PR54,P12023,Q9JIP7,Q80V62,P70372,Q61510,P62259,P05627,P68368 B5DF02,A0A0G2KB73,P08592,F1LMZ1,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,Q5XIF6
