G3X9H5 F1S8N5
P61080 A0A287BBK4
Q5Y5T3 F1SCQ9
A2CGA3 O62640
P42230 A0A0A0MY60
Q9CQA5 A0A286ZZ81
Q91UZ5 I3LIH2
Q8CJG0 A0A287B5S7
Q8C863 F1SLA7
Q52KB6 A0A287AGK8
Q99MV1 I3LKM6
P97855 A0A286ZTN5
Q9D9W0 I3LH35
Q3B7Z2 F1RMJ9
Q8BJY1 I3L9N5
Q8C5Q4 F1RUP2
Q32NY6 I3LR13
O88888 A0A286ZJP2
Q62035 A0A287AYT3
Q8VHZ7 A7UNK0
D3YYU8 A0A287B8F0
Q78WZ7 F1RP24
Q9WUL6 A0A0A0MY60
A2A6M5 F1RWF7
P41233 A0A286ZJ13
Q3U2G2 F1SMW9
P47738 I3LDL8
O08586 K7GL45
Q78IK4 F1RTW1
Q99N15 K7GP28
Q9JJG0 A0A287B098
P61080 A7TX82
P84089 M3VH47
Q8JZL7 A0A287ANN0
Q8VIG1 F1RTW1
Q8BZH4 A0A287A2C8
F8VPK0 A0A287AXH6
Q6PDM2 Q3YLA6
Q8VCM3 F1RVR2
Q80W04 F1S4A6
Q78IK4 K7GNC6
P23738 A0A286ZUL4
Q921S7 F1RUP2
Q69ZS7 A0A287B559
Q6PDL0 A0A287AMU4
O88379 A0A287BPQ8
P70275 F1SBX2
P19785 Q29040
P50149 F1S603
Q3UJB0 F2Z5J1
Q9QZ82 F1ST91
Q99L45 F1RKW8
Q5SXC4 I3LIT1
P46467 A0A286ZI96
Q9Z0V8 A0A287BNY8
Q99LI9 F2Z566
Q8VHN8 A0A287AXQ4
Q04750 F1S9R5
Q3UES3 A0A287BK63
Q8VE92 K7GNR7
Q9CQJ4 A0A286ZX77
Q8K2F8 R4JU57
A2APF3 A5GFN3
P52795 K7GNC8
Q9CY50 A0A287BDL6
O35465 A0A287BLV8
P26361 A0A286ZZ96
Q99JZ4 Q52NJ3
Q9ES74 A0A287BE42
B2RRL2 A0A286ZUL4
Q07076 A7LKB1
Q8BPB0 A0A286ZKE4
Q9CYA6 A0A0R4J8D6
Q9D6K5 F1S360
Q61502 F1RXB8
Q0P678 A0PFK5
P19091 A0A287BJP3
P68368 A0A286ZNY1
Q80ZE4 Q865K8
Q9DB43 F1RQT4
A2APM2 I6L6T2
Q78IK4 A0A287APE0
Q6PAR0 A0A286ZWR0
Q6GQT1 F1SLX2
P58334 K7GT58
Q9D7X3 A0A287B854
Q9WUL8 I3LC62
P61021 A0A287BNU5
O35887 F1SMN1
O08912 F1SAI6
P58334 A0A287B098
Q8CEC0 F1RGS3
P49698 A0A287BEH6
Q6KAQ7 A0A287A377
Q61545 A0A287APW0
O35841 B5APV0
Q8BG32 F1RKW8
G3X972 F1SPR8
P32883 B7U6F4
Q9D6K5 F1S4A6
Q9DC51 Q06AS8
Q9R0N0 F1RVY7
O08788 A0A287BLE1
Q8VHZ7 I3LP32
Q9WVS6 F2Z5I5
Q8CE33 A0A287BJU1
P62492 B7U6F4
Q9EQU3 A0A287A8Q7
Q99JX3 F1S1U5
Q8BTZ4 F1RNP8
O88342 A0A287A5X3
O35375 I3LB28
P63087 Q2EHH7
P70340 Q29549
E9PWG6 A0A287BK49
Q8BQR7 F1SPW6
Q99JT2 B7U6F4
A0A286YD96 I3LR13
