4117 Q5M875,P35739,D3ZME7,D4A9N5,P08592,B5DF91,F7EUU4,Q5XIC0 Q7Z5P4,P04629,Q8IWL3,Q14258,P05067,Q15717,Q92905,O75521
3836 D3Z8E2,P22829,P08592,B5DF91,P62260,D4A9N5,Q80U96,D4AA77 O15041,P22736,P05067,Q15717,P05412,Q14258,O14980,Q9Y4D7
1277 P35739,B2GUT8,P10361,P08592,D4A9N5,M0R5V5,D4AAY7,B5DF91 P04629,P57054,P04637,P05067,Q14258,Q13077,P37287,Q15717
1277 P35739,D4A0Z0,P10361,P08592,D4A9N5,M0R5V5,D4AAY7,B5DF91 P04629,P57054,P04637,P05067,Q14258,Q13077,P37287,Q15717
1277 P35739,P97639,P10361,P08592,D4A9N5,B5DFI5,Q7TSV3,B5DF91 P04629,Q99705,P04637,P05067,Q14258,P14373,Q96E35,Q15717
1277 P35739,Q5U1Z8,P10361,P08592,D4A9N5,M0R5V5,D4AAY7,B5DF91 P04629,Q96I23,P04637,P05067,Q14258,Q13077,P37287,Q15717
3530 Q9ERC5,D3ZME7,P35739,D4A9N5,B5DF91,D3ZP96,P08592,O88506 Q13621,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8
3530 Q5PQV1,D3ZME7,P35739,D4A9N5,B5DF91,D3ZP96,P08592,O88506 Q9HC10,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8
3530 Q5PQV1,D3ZME7,P35739,D4A9N5,B5DF91,D3ZP96,P08592,O88506 Q9HC10,Q8IWL3,P04629,P05412,Q15717,P49736,P05067,Q9UEW8
3530 Q5PQV1,D3ZME7,P35739,D4A9N5,B5DF91,D3ZP96,P08592,O88506 Q13621,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8
3530 Q5PQV1,D3ZME7,P35739,D4A9N5,B5DF91,D3ZP96,P08592,O88506 Q13621,Q8IWL3,P04629,P05412,Q15717,P49736,P05067,Q9UEW8
4177 B0BNB3,P08592,B1H2A6,B5DF91,P35739,D4A9N5,P17325,D3ZSV7 Q8WXI4,P05067,P51116,Q15717,P04629,Q14258,P05412,Q9BV44
4177 B0BNB3,P08592,B1H2A6,B5DF91,P35739,D4A9N5,P17325,D3ZSV7 Q9NRN9,P05067,P51116,Q15717,P04629,Q14258,P05412,Q9BV44

10632 G3V6K6,B5DF91,F1LRL9,F1MA52,A0A0G2JSP3,Q80U96,P35739,A0A0G2K5U0 Q9HCE1,Q15717,O60716,Q9UBU9,O14980,P0CG48,P04629,Q13618
9019 D3ZIL9,P17325,A0A0G2JSP3,B5DF02,Q80U96,B5DF91,P35739,Q7TQN4 Q9BVG9,Q13618,O14980,P04637,P0CG48,Q15717,Q14258,Q12906
4833 A0A0G2K721,P17325,G3V6K6,B5DF02,A0A0G2K5U0,B5DF91,P08592,B5DFH7 P35612,Q13618,P00533,P04637,O14980,Q15717,P05067,P0DP25
4833 A0A0G2K721,P17325,G3V6K6,B5DF02,A0A0G2K5U0,B5DF91,P08592,B5DFH7 O43665,Q13618,P00533,P04637,O14980,Q15717,P05067,P0DP25
4361 G3V6K6,Q7TSB7,P10361,O70454,P17325,A0A0G2KA10,Q80U96,P08592 Q13618,Q15726,P04637,P41223,P05412,Q9Y5R2,P0CG48,P05067
4361 G3V6K6,Q7TSB7,P10361,O70454,P17325,A0A0G2KA10,Q80U96,P08592 P00533,Q15726,P04637,P41223,P05412,Q9Y5R2,P0CG48,P05067
4834 Q5FVN6,P17325,G3V6K6,B5DF02,A0A0G2K5U0,B5DF91,P08592,P60522 Q6P9H5,Q13618,P00533,P04637,O14980,Q15717,P05067,P60520
6759 P10361,B2GUZ7,A0A0G2K5U0,P35739,G3V6K6,P08592,B5DF91,Q63429 P38398,O60359,Q15717,P04629,Q13618,P05067,O14980,P53350
8573 B5DF02,G3V6K6,D3ZWG3,P17325,P08592,P47196,D4A9N5,Q80U96 Q13618,P00533,P78330,Q14258,O14980,P29353,Q15717,P0CG48
