10436 Q5VT06,P07900,Q9HCE1,P0CG48,Q92905,O14980,Q9UBU9,P38398 D3ZD72,P62994,D3ZUC2,G3V8S5,P10361,G3V6K6,A0A0G2K0D4,A0A0G2K5U0
8936 Q9HCE1,P01106,P62993,P08238,O14980,P07900,Q9Y2W2,P05412 D3ZUC2,G3V6K6,P09416,D3ZP96,P62994,P35213,D3ZQ59,P35739
8936 Q9HCE1,P01106,P62993,P08238,O14980,P07900,Q9Y2W2,P05412 D3ZUC2,G3V6K6,P09416,D3ZP96,P62994,P35213,G3V700,P35739
11426 Q9Y3D9,P62993,P38398,P49736,P03372,Q9HCE1,Q13618,P04637 B5DFM8,D3ZP96,A0A0G2JSP3,P62994,P35213,F1MA52,P17325,B5DF02
10414 P02751,Q14258,Q9HCE1,P04637,Q99816,P49736,P01106,P63104 A0A0G2K0D4,P35739,F1MA52,B5DF02,G3V6T1,P62994,D3ZP96,A0A0G2JSP3
4993 Q8TAD8,P49736,Q13618,P04637,Q9HCE1,P62993,Q13573,P01106 P62489,P62994,B5DF02,P17325,F1MA52,P35213,G3V8S5,A0A0G2K0D4
9691 Q562R1,Q9HCE1,P62993,P03372,P38398,P49736,Q13618,P04637 G3V9A8,F1MA52,D3ZP96,P35213,A0A0G2JSP3,P62994,P17325,B5DF02
9691 Q562R1,Q9HCE1,P62993,P03372,P38398,P49736,Q13618,P04637 A0A0G2KB73,F1MA52,D3ZP96,P35213,A0A0G2JSP3,P62994,P17325,B5DF02
9691 Q13049,Q9HCE1,P62993,P03372,P38398,P49736,Q13618,P04637 G3V9A8,F1MA52,D3ZP96,P35213,A0A0G2JSP3,P62994,P17325,B5DF02
9691 Q13049,Q9HCE1,P62993,P03372,P38398,P49736,Q13618,P04637 A0A0G2KB73,F1MA52,D3ZP96,P35213,A0A0G2JSP3,P62994,P17325,B5DF02
9462 Q9HCE1,P49736,O00178,Q9UBU9,O14980,Q92905,P38398,P04629 D3ZUC2,D3ZP96,D2XV59,F1MA52,Q80U96,A0A0G2JSP3,G3V8S5,P35739
