Q8BQM8 F1LSA8
Q810A1 Q642B9
Q8JZS7 D4A5C3
O55144 G3V6M6
Q7TSN6 Q62805
A7L9Z8 M0RAF9
Q8CJ70 D4A2T8
P01101 P12841
Q8VIG1 D4A7T2
Q61080 M0R8R8
P17553 D3ZCR1
P70343 E9PSM0
O35343 Q56R17
Q69ZZ6 D3ZH14
Q5M9N4 B2GUT8
Q3TQQ9 Q5XI94
Q9WUD1 D4A4T0
P97766 F1LV65
Q3TML0 A0A0G2JSZ5
Q8R1H8 D3ZT85
Q99MV1 D4A3N0
Q60722 A0A0G2JWU7
P49769 P97887
Q3TD49 Q5PQL3
Q8VHQ3 D4AA72
Q8BIJ7 F1LR42
Q9R0N0 Q5RKH2
A2ATK9 D4A7Y4
Q9D554 P81155
Q52KF3 D3ZEX7
P58465 M0R4W4
Q9R229 A0A0H2UHH4
P86045 M0R975
P32443 G3V6T9
O55226 A0A0H2UHB8
P59267 Q9JKR5
Q9CQ26 Q62755
Q9CPV2 D3ZDN9
G3UVW3 F1LRY2
P70168 F2Z3Q8
Q62120 D3ZHJ4
P39429 B5DFH7
Q9D6N5 A0JPP1
Q8VDQ8 Q5RJQ4
P52955 Q1XID0
Q8BQR7 G3V932
G5E8C4 F1MAS4
A2ARI4 Q9Z2H4
Q9R1W5 Q63118
Q3TQ39 F1LS98
E9Q6P5 A0A0G2JXJ6
P11680 B0BNN4
D3YXF5 A0A0G2K7X7
A2TJV2 D4A1J3
Q9CRA0 F1MA10
P05627 P17325
Q61321 D3ZAJ7
Q8R5A3 D3ZDZ1
Q8R007 D3ZET1
Q8BP92 Q62703
A0A1L1SSF2 G3V784
Q3UA06 Q5XHZ9
A2AQ52 Q5PQV1
Q06890 G3V836
Q9R0K7 P11506
A2RRY8 A0A0G2K8X4
Q9R0S2 A0A0G2KA10
Q63844 P21708
P97428 Q4L0E9
E9PUA2 D3ZKR9
Q8K1A0 B0BNB3
Q3UHG7 Q0PGW2
Q9D1C3 Q5U1Z8
Q9ERL7 F1M8F4
Q8C708 Q5BK39
Q64385 Q99MF4
D3Z230 D3ZBL5
Q8K352 B5DFK2
Q9ESF1 Q9ERC5
Q8BHA9 Q66H78
O35226 O88321
G3UYL9 G3V7D9
Q6W5C0 Q10746
Q9CYX7 Q5M947
P63087 P63088
O88855 Q9R0Q2
Q8R1G1 Q0VGK5
Q562D6 Q4V7E0
P09065 A0A0G2JT82
Q9WV55 Q9Z270
P50228 Q10746
Q0VFX2 Q4V7B0
O35284 D4A7E1
P70372 B5DF91
Q9ERD7 Q4QRB4
Q8VEJ3 D4ADQ6
Q811Q9 A0A096MK76
Q6PAJ1 F1LXF1
A0A0R4J187 Q6AZ64
Q8BMU0 F1LNL6
Q3U487 F1LVZ9
Q7TPG5 B1H244
Q811Q9 G3V7M5
Q9ERL0 M0R462
P97929 Q66MH4
P19091 A0A0G2JSI8
Q9R078 P80386
P35235 P41499
Q5RJI4 F1LMM4
Q640R3 D3ZEI4
P41593 P25961
A0A0R4J0M9 Q8CF97
Q8BSM7 F7FL53
Q8C708 Q6IRH4
Q8R1C3 B5DEK8
Q04886 D3ZR96
Q7TMD7 Q6W3B0
A2RTU1 D3Z9R9
Q9WUR2 Q5XIC0
P70160 P01257
Q9JI48 B5DF36
Q3V2J9 D3ZBW4
Q2TV84 F1M9X0
Q6NSU3 Q6AYF6
P47873 G3V890
Q9WTM5 G3V8T5
O35593 Q4V8E2
Q8VHP6 Q91XU7
O89013 Q9JLS8
E9Q4F7 D3ZSU6
Q5SUQ9 D4A261
P51908 P38483
Q9DD03 P35286
O09051 P70668
Q3TTL0 Q66H33
Q9CQ25 D4AA02
Q9QZW9 M0R6D8
F7BWJ7 A0A0G2JXZ4
Q9R059 D3ZPF0
Q99LC8 Q64270
O35427 F8WFG9
Q3UHI4 M0RAT6
Q9EQT3 A0A0G2JW83
Q8CB76 M0R5T3
Q9WTV7 B2RZD1
Q8R0L1 M0R887
O35160 P81062
Q3UJV1 D4AE81
P07724 A0A0G2JSH5
Q91Z22 A0A0G2K349
E9QKG3 A0A0G2JWR1
Q8CJ70 D3ZFI7
P02340 P10361
Q8VI59 D3ZSQ1
Q1RNF8 D3ZMX5
Q9D3R3 D3ZVQ1
Q8CHK4 A0A0G2KA75
S4R1V8 A0A0G2JSI4
Q8K4F6 G3V660
Q921D9 A0A0G2JTY1
Q8VCH6 Q5BQE6
E9QK16 M0R740
Q0VBL1 F1LVC4
D3Z5T8 F1LZD2
P98200 D4A3X6
Q8BWS5 D3ZF21
Q0VDY1 D3ZSJ1
Q91UZ1 F1LNK2
Q9CYY7 M0RBS0
Q8R1N0 Q3MHS2
Q8BWG9 F1LNX2
Q6P8G8 A0A0H2UHQ7
A2ABU4 D4A228
D3YX87 D3ZMW3
P53566 A0A0H2UI22
Q68FL6 D3Z941
P26450 F1LNG5
Q3U595 M0RBE6
Q5SVQ0 A0A0G2K9F0
Q8BJD1 M0RAR2
E9QKM8 O70509
Q61878 G3V729
Q3UHQ6 A0A0G2JXD9
P97792 Q9R066
P54751 E9PSJ1
P0C192 D3ZSC1
E9Q156 D4A0Q3
Q60631 P62994
Q62053 Q62928
P62259 P62260
Q9Z315 Q5XIW8
P13634 B0BNN3
P25118 A0A0G2JSU9
Q9CR23 B5DFJ7
A2A259 D3ZDT6
Q91Y86 F1LP66
Q8K4K4 G3V6J8
Q3UR42 D4A9D6
P62715 P62716
P46938 Q2EJA0
Q60754 M0R9F7
Q61526 G3V6N1
P49182 Q64268
Q8BUE4 D4AA14
Q8C253 P08699
O35903 Q32PX4
Q3TRM8 A0A0G2JST6
Q91WI7 A0A0G2JZW3
A2A5R2 Q7TSU1
Q6DID7 Q6P689
E9Q5D9 F1M9B2
Q8CHY3 D3ZP27
D6RJM5 B2RYC7
Q9CQJ4 Q4KLY4
Q6ZQ88 F1MA31
O35607 F1LQC5
Q3UTJ7 Q6AZ60
Q9CVI2 Q505I5
Q3U741 A0A096MIX2
D3YYZ1 D4A460
Q8BJA2 D3ZM22
P68369 P68370
P59108 F1M1L9
Q9WUV0 A0A0G2K6D6
M0QW46 D3ZS54
Q3U309 A0A0G2JXZ4
Q8BUN5 P84025
Q9JHQ5 Q562C6
Q68FH0 F1M2K6
P12850 G3V6C6
Q8CFE2 D3ZMN2
Q505D1 F1M400
A2ANY6 A0A0G2K9L9
F8VPK8 F1LS01
P35821 P20417
Q80W22 Q5M7T9
Q7TSN6 Q7TSN5
Q78YZ6 Q5RJZ6
A2AEG2 D3ZUD5
F6UC55 F1M6X3
Q9WUT7 Q8CH33
A0A0R4J1E4 Q6IE50
Q3UV71 D4A2M3
Q4VBE8 F1LR39
Q9EQH4 D3ZY89
Q8BH70 B1WBR8
A2AT37 D3ZT03
Q8R2G4 Q6AYJ9
Q99LL5 D4A1H8
Q80WJ6 F1M7G9
P61290 Q5FVM2
P39688 Q62844
Q3UFY8 Q5U2R4
A2AQJ8 D4A7G5
P70196 B5DF45
Q6K1E7 Q5J2D6
Q61062 D4ADV8
P43407 Q6IRK3
Q03717 A0A0H2UI34
Q8BWG8 P29066
Q9EQ14 Q91Z84
E9QK16 F1LMF4
