Q13618 F6YYG4
P24385 F7C5G3
Q99999 F7CPB4
P63279 F6ZS96
P0CG48 F6S8L9
P27824 F7AJM6
O14654 F6PV98
Q8NBB4 F7CYH5
Q99459 F7BCF7
Q12906 F7B9X5
P31946 F6ZGT4
P05067 F6XL78
P40763 F6R449
P42858 F7BQH8
P24557 F6YEM4
Q9BVG9 F6U4I9
Q9HAP2 F7CRN8
Q9NWQ9 F6ZYE9
P40763 F6U210
Q96M61 F7CA12
P63244 F7AJM6
Q05639 F7AM44
P04629 F6Z1I4
Q15717 F7A2J7
P41597 F7C0Z0
P78362 F7BD82
Q14258 F6Z1I4
P00533 F7AK40
Q7L0Q8 F7BU65
Q9HCE1 F6S7D4
Q6UY11 F7D5T3
P62993 F6XEB4
P04637 F6XR42
Q14644 F7CPB4
Q6N089 F6Z191
Q96T92 F6X8R1
P31947 F6XX61
