Q96I23 Q5U1Z8
P04629 P35739
Q13077 M0R5V5
P37287 D4AAY7
P05412 P17325
O75521 Q5XIC0
P04637 P10361
P57054 B2GUT8
Q8IWL3 D3ZME7
Q9NRN9 B0BNB3
Q9UEW8 O88506
O14980 Q80U96
O15041 D3Z8E2
P51116 B1H2A6
P22736 P22829
Q96E35 Q7TSV3
P14373 B5DFI5
Q92905 F7EUU4
Q9HC10 Q5PQV1
Q8WXI4 B0BNB3
Q14258 D4A9N5
Q9Y4D7 D4AA77
Q7Z5P4 Q5M875
P05067 P08592
P57054 D4A0Z0
P49736 D3ZP96
Q99705 P97639
Q9BV44 D3ZSV7
Q13621 Q5PQV1
Q15717 B5DF91
