A0A286YCV9	Q70AM4
Q80V62	A0A0G2K5U0
Q8BMI0	D3ZIK8
Q61081	A0A140TAG9
O35544	F1LR26
Q9WV55	Q9Z270
P12850	G3V6C6
Q9DC53	B5DEX3
Q64478	M0R4L7
Q8K1E3	D3ZUK3
O88855	Q9R0Q2
Q9CQ29	D3ZJQ8
Q3U821	A0A0G2K9A7
Q7TT50	Q7TT49
Q9WUR2	Q5XIC0
Q8BX22	M0RDM1
G3UW74	D3ZHA9
Q3UJV1	A0JPP8
Q60722	A0A0G2JWU7
P49182	Q64268
P43241	Q9ESV7
O55144	G3V6M6
Q9D0J4	G3V8V0
P35456	M0R3P2
O70310	Q8K1Q0
Q8K0S5	Q80WD0
A2AQ14	A0A0G2K615
Q62420	O35179
A2ANY6	A0A0G2K9L9
Q9CR89	Q5XIS4
P70390	G3V7M9
E9Q8M1	D3ZRG3
P56942	G3V6L0
Q8CDJ3	D4A4K3
P62259	P62260
Q8BQM9	D4ABQ3
B2RRL2	M0R5M5
Q91WA9	D3ZCM3
F7C846	A0A0G2JU49
O08705	P26435
Q6P1G0	A1EC95
Q3ULF4	Q7TT47
Q08423	Q63467
Q69ZL1	A0A0G2K7L6
P60824	P60825
Q9R0S2	A0A0G2KA10
Q9Z2G0	P0C6P7
Q3U487	F1LVZ9
Q810S1	F1LUQ0
G3UWB6	P35345
O35459	Q62651
A0A0G2JGN5	F1M3S0
P30416	Q9QVC8
Q8R1C3	B5DEK8
B2RWS6	A0A0G2QC09
Q6P8K8	D3ZHS5
Q99JH8	Q569A6
Q9Z1R2	Q6MG49
Q8BL06	Q6IE24
P11499	P34058
Q8C033	M0R3X3
Q9Z2E9	A0A0G2JVP0
Q9CWK3	B4F786
Q3U2I3	Q66H54
Q8VCA6	F7EZW5
Q6PAJ3	M0RB26
Q8K4K4	G3V6J8
Q03173	Q5XHX3
Q9WVB0	F1M9Y9
Q3TBT3	F1M391
P35639	Q496Y7
O70435	P18422
Q91UZ5	Q8CIN7
Q9CR60	B0BNB0
Q5SSE9	D4A885
Q07832	A0A140TAD2
Q9QZW9	M0R6D8
Q99MD8	A0A0G2KAA6
Q3UXZ9	A0A0G2JTU9
A0A1Y7VMP7	D4ADG4
Q3UIL6	A0A0G2K6Z8
A2AWT3	D4A5H7
Q9WUQ7	D3ZNX3
Q6VNB8	A0A0G2K9M4
P59481	F7F3Z1
Q62348	Q71SY3
Q8CI75	D3ZIL9
Q9WUC3	F1LNW6
O08674	D4AEG0
Q6PGH4	D3ZY38
O88875	D3ZBA3
Q9CQI3	M0RDJ4
P04351	P17108
P54843	F1LSV1
Q99LW0	F1LPK2
P25801	A0A0G2QC60
O35182	D3ZAQ2
P35375	P70597
A2RRY8	A0A0G2K8X4
Q8BWG9	F1LNX2
Q9CQW5	Q9Z144
Q9CQQ0	G3V8Z7
Q8C761	A0A0G2K1X3
Q9DC29	O70595
P43136	F1LP04
P61226	P61227
Q8BPB0	D4A1V7
Q8JZU0	M0R515
E9Q289	Q6DGF9
P20152	G3V8C3
Q6PIP5	F7F163
Q8R3P2	G3V658
Q8BGF9	D3ZSN7
Q7TMD7	Q6W3B0
Q5SUE8	B2RYI5
G3X9F1	E9PTA5
Q6P1H4	Q9JMA8
Q80TQ2	F1LPJ6
Q6P8I4	A0A0H2UHW4
Q499D0	A0A0G2JYT8
A2A5Z6	F1M3F2
Q9CRA9	Q6TA25
Q80Z96	D3ZKC8
Q9QWK4	Q4KM75
Q61602	F1M9H1
Q811W2	G3V7X8
Q791T5	B0BN30
E9Q3C1	Q6P691
Q04744	D3ZCK7
Q09200	Q10468
P35550	P22509
Q8BIJ7	F1LR42
Q3UNH6	A0A0G2K331
Q9DAX2	Q8K593
O08788	D4A8U7
Q68FH0	F1M2K6
Q3UMG5	D4A456
Q8BIV3	D4A634
Q9D9V3	Q6AYG5
Q03265	A0A0G2K099
Q78Y63	F1M610
O70374	F1M659
P69566	F1LVV3
Q6VVW5	P16067
Q68FL6	D3Z941
G3X8X0	Q6MG13
Q91ZD1	Q6AY34
Q9ES52	F1M981
P97348	D4ADM8
P63168	P63170
Q9D0L7	B1WBW4
Q922P8	G3V963
C8YR32	D4A3A1
Q8CCK0	B1WC28
Q4FZF2	D3ZEQ6
G3UWG2	D3ZWV8
O88829	Q68G12
Q9QYK5	D4A6E6
Q80WQ4	D3ZQW3
P48755	P10158
Q6ZQM0	Q8CIN9
O88554	G3V749
E9PX57	E9PSL8
Q7TT36	A0A0G2JSU2
Q8BRG6	F1LNL5
Q5NBX1	D3ZUI5
P43135	O09018
Q3UV71	D4A2M3
Q00547	A0A0G2JXY1
Q3TW96	B5DEH4
Q9DBP0	A0A0H2UHZ0
Q922Y2	B5DF13
O35457	D3ZVM9
B2RXC1	A0A0G2K1K5
P01592	G3V6G1
P41593	P25961
Q6P7F1	F1MA44
D3Z4T1	D4A8V0
P12968	P12969
Q8R307	B5DFJ4
Q05186	D3ZUB0
Q9WTT4	Q8R2H0
P60670	F1LQX9
Q9CY62	Q6AXU4
Q91WI7	A0A0G2JZW3
Q60838	D3ZB71
Q9JLI8	D3ZAS8
P42227	P52631
Q8CIM1	B1WBY9
P19426	Q6MG75
Q61845	D4A0V5
Q99KR8	Q6AYS4
Q9CXL1	B1WBU7
Q8K3Y3	D3ZZA6
Q9ES74	D3ZBE5
O35239	Q641Z2
Q8BW56	Q53E76
P62137	P62138
Q8VDZ4	Q2THW7
Q3TEW6	Q6AYT8
Q9CWE0	Q5XII9
Q8K2Y3	B2RZB3
O55040	A0A1P0PI13
Q8CB14	Q66H35
Q9D309	A0A096MJ41
A2ALW2	Q99PJ8
Q9D3B1	D3ZHG0
Q9JL10	Q6P771
Q8VH31	D4ABM4
Q5F289	D3ZZ79
O54864	G3V6S6
Q9QUM5	D3ZNI5
Q60925	P16443
Q9CZC8	Q6AY84
Q9QZL9	D4A444
Q9D8T0	B5DFJ2
Q3UKC1	Q66HA4
P58544	Q5RKI2
Q3UYH7	A0A0G2K9S3
Q64343	G3V642
B9EJ80	D3ZXY2
Q9CXV9	Q5PPL2
Q9DA48	D3Z9F9
