F1MA52 I3LNX4
Q5BJS0 F1S0W9
F1M0R1 A0A287B425
Q5PQL2 A0A287A9Y2
P04961 I3LK68
A0A0G2K7Q0 F1S047
A0A0H2UHA6 A0A287AWN6
G3V7R8 K7GQZ2
Q6P9V6 I3LG73
G3V8N3 I3LBN0
Q63364 I3L7L2
P19969 F1SR89
Q68FR9 A0A023PN04
F1LYX9 F1SAQ6
F1LNL6 F1STU2
A0A0G2K8Q8 A0A287ACM5
D4ABC4 I3LCP8
P25235 E7EI20
G3V9S4 F1S041
D4A8U7 F1SNT8
D4AA11 F1SG80
F1M0R1 F1SCJ1
Q6PCT9 F1RJL2
Q6AYS4 F1S484
Q66HA1 I3LN88
D3Z9E9 F1SRU8
Q68FT9 A0A286ZX89
D3ZUY8 F8T0U2
A0A1W2Q693 F1SAI5
Q6AXY8 F1SA57
B0BN81 A0A287A6N8
A1A5S1 A0A287BFY7
A0A0G2K2M1 A0A286ZKM7
Q5QJV7 I3LCU3
D3ZCS4 F2Z5N6
D3ZIK1 F1RYQ5
Q6AYS4 A0A287AKX1
B2RZ55 A0A287AZS2
Q3B8Q2 A0A287A5X3
P63219 F1SJV7
Q5FVL4 A0A287B9L2
Q5PPL1 A0A287B0M4
Q63540 I3LTZ8
M0R7E6 I3LI05
Q6MGB4 M9MMN1
D4A0E8 A0A287AJQ1
D3ZDG0 I3LVL0
Q66HM2 F1RJ01
D3ZDG4 F1RF89
P35565 A0A287AXF5
D3ZER6 A0A287B6A9
D3ZZK8 F1RXU4
D3ZKU8 I3LT46
B0BN81 A0A287AW46
Q6IFW6 I3LDS3
A1A5S1 I3LIB1
D3ZUD8 A0A286ZZW4
Q5XFX8 K7GRP4
D3ZLS5 F1SHF6
D4ADD3 E3US74
Q641Y8 F1SML4
Q63406 A0A287A041
D3ZS99 F1RQL3
D3ZXX8 A0A287AZ31
D3ZC02 A0A286ZI78
Q99MF4 K7GP23
A0A0G2K8Q8 F1SNY1
P70597 F1RFX5
Q5U313 F2Z5N6
A0A0G2JXI1 F1RPW2
F1LS72 F1SNF6
F1M9X5 Q95250
D2XV59 I3LPU3
Q9ESV6 F1RQ12
A0A0G2JXQ5 I3L9K6
D3ZUY8 F1SIA4
F1M5J1 A0A286ZRG1
D3ZVT2 A0A287B3H4
D4A8B1 A0A287AWK9
D4A321 A0A286ZI01
P39950 A0A287BT99
Q9QY10 A0A287AF08
Q5FVJ5 A0A287ALF8
D3ZPY2 A0A286ZXF3
M0R7B3 F1RNQ2
P22909 I3LDJ2
Q496Z3 Q1G1K7
B2RYK0 F1SF72
Q6AY02 K7GNS9
Q3B7L1 F1S5D3
Q8VHX0 A0A287AXU2
A0A0H2UHA6 A0A287BFY7
Q6AYJ9 F1RYU5
P51638 F1S668
F1LWM1 K9IVK6
D3ZFY0 I3L7L2
Q3B7L1 F1SAM0
P27704 K7GT60
P04961 A0A286ZIJ9
A0A0G2KA75 A0A287BIK4
Q5M808 A0A287B443
D4ADC7 F1RX85
F1LRV1 I3LUH8
P16599 K7GR08
D3ZUJ5 F1RY55
Q5BK39 D7R811
F1LMV3 F1SLF9
F1LPP8 F1SRK8
P05982 A0A287APS7
G3V7Z4 Q8WNW8
E9PU35 F1SE75
Q99P75 F1SRI1
A0A0H2UHA6 F1SNX8
P85108 A0A287AFZ3
D4AA19 I3LST1
G3V8X6 F1SUE2
D3ZRN2 A0A286ZMP7
P35563 I3LTU2
Q5XI94 A0A287AH98
D3ZE75 I3LSD5
D3ZMY7 A0A286ZLT0
Q5RK09 F1S3I3
Q5U1W4 F1SV60
D3Z9E1 F1SDQ5
Q1XID0 F1SIK8
D3ZKI8 F1SE75
Q5BK64 I3LU80
D3ZBU8 A0A286ZHZ1
Q5XIV0 F1S1S3
Q66H56 A0A287AHQ8
Q9WTT7 A0A287B642
D3ZE01 I3LCP8
D3ZCS4 R4JU57
A0A0G2JUA5 A0A287A608
G3V8A5 I3LBB2
F1M953 I3LPP4
A0A0G2JSI8 A0A287BJP3
D3ZPK4 A0A287A7M2
Q63014 F1SA04
D3ZLQ6 A0A287ACM5
D3ZCC7 A0A287BRV4
B1H282 A0A287AXP9
F1M4M5 A0A287B540
D4AEB3 I3LGD6
Q2PQA9 A0A287BPQ1
P49950 K7GMR6
Q5XIC0 A0A287BPF3
A0A0G2JWA2 Q8HZV3
A0JPJ7 F1S0S8
F1LMV6 F1CK19
D3ZE01 F1SAM0
D3ZTG2 A0A287BMZ8
Q7TT49 A0A287B4X2
F1LRJ6 I3LPV8
P60711 Q6QAQ1
F1LTU4 A0A286ZLH7
D3Z822 F1SKG2
F1LS62 I3LBN0
M0R740 A0A287AV79
B2GV58 A0A287BJH4
Q66H56 I3LRN2
Q6AXY9 F1RF23
D4A6C5 F1SIA4
A0A096MKC0 A0A286ZJG5
A0A0G2JTR4 Q52QT8
D3Z9S9 F1SFC1
Q4QQV0 A0A287A6E8
Q6P7B0 F1SHV8
Q924V4 A0A287BC80
F1LRJ6 F1SRK8
Q6P734 F1SNR9
F1M8E5 K7GNS9
P61212 A0A287BHY5
G3V815 E7CXS0
A0A0G2KAW5 I3LP11
Q9Z1J8 A0A286ZI78
D3ZF50 F1S5B5
F1LRV5 I3LMS3
A0A0G2JSJ5 A0A287A688
P63219 A0A287AQ50
F1MAM1 A0A287B4V5
F1LMG2 E7D6R3
D4A9E7 F1SFC1
F1M9Q8 F1S5D3
E9PT65 A0A287A4F2
D3ZKF6 A0A286ZZ53
A0A096MIV5 F1S4Y9
Q5U313 A0A287AJJ6
D3ZWI4 A0A287B5N1
D3ZXL5 A0A286ZWR0
F1M3J4 I3LRC6
M0R8Z5 A0A287BH46
M0RB75 I3LCU3
Q99JC6 F1S141
A0A0G2JXQ5 I3LFH6
Q5PQX1 A0A287AFM0
F1LNW6 A0A287BFQ5
Q5XIM4 A0A287AF08
Q5FVI6 A0A287AF83
F1LPB0 I3L5T1
D3ZMN5 A0A286ZZ95
D4ADC2 F1RMM8
D3ZDG0 F1RGS3
Q6AXZ5 A0A286ZPM2
O88764 F1SLF9
F1LXU0 F1RL90
Q63413 F1SLR5
Q4G063 F1RXR2
D3Z9Z9 F1RWW3
Q5PQL3 A0A287BCL8
F1LXF5 I3LIB1
D3ZQB7 F1S488
D3ZUJ5 A0A287AF83
P61983 A0A287BKI1
B2RZD6 A0A287AR18
Q07936 F1RLJ4
B2RYC7 A0ZVR0
Q64350 F1SG88
F1LYX1 F1RFX6
Q9WTT7 A0A287AJJ6
F1LWM1 A0A287A688
F1LR42 A0A287BJR3
Q5D006 A0A287AJL4
F1M944 F1RPW2
Q4KM95 F1RGS3
F1M9X0 F1RY10
A0A0G2K4P5 B5KFA0
M0R6Q6 F1SGV8
A0A0H2UHU2 A0A286ZPM2
Q68FW9 F1SB16
P97536 F1S8K5
P12841 D5KJI2
O88989 A0A286ZLT0
A0A0G2K1V9 Q28987
A0A0G2K2R5 F1SIT2
D3ZML4 A0A287B8F9
M0R740 A0A287ADJ0
F1M9Q8 F1SAM0
Q5XII6 A0A287A570
Q5U214 F1CK19
Q496Z3 A0A287AA01
P49950 I3LEL6
D3ZTT7 I3LIB1
F1MA79 F1SI67
D3Z8D3 F1S662
P16599 K7GNX2
F1M8V2 F1RJ01
P17955 I3LUD5
Q5EGY4 Q29081
F1M7T0 A0A287BGY8
Q9R019 F1SMT1
Q4QQS7 F1SQ55
M0RAA8 A0A287A8Q7
A0A0G2K4P5 F1SBH1
F1LM47 A0A287BBJ7
A0A0G2K331 A0A287ACM5
G3V8N9 A0A287AE72
Q499N6 F1RL85
Q66X93 F1S0N2
G3V6D8 F1SQG2
D3Z9S9 I3L9K6
Q91XU7 F1SEP9
A0A0G2KA90 I3LCP8
G3V8N3 F1RQP2
D3ZWI4 F1SKI6
D3ZTT7 A0A287BFY7
G3V705 F2Z4Y3
