G1TGR9 B8K1X9
G1TVH9 E9PTS4
G1SDT0 D3ZRN3
G1SWH0 Q63434
G1T091 Q9ESV6
G1SYZ2 A0A0G2JVW0
G1T8X8 Q2PWT8
G1SRZ8 B1H227
G1T2M5 D4A5U5
G1TSJ2 D4A7E9
G1TBK7 A0A0A0MY35
G1SYN3 Q562C6
G1TED9 F1LN63
G1TAS3 P0C6P7
G1SMB6 P47824
G1TT75 P14659
G1TQ35 Q6P7R8
G1TQE6 B0BN89
G1T0W1 Q68FQ7
G1SMJ8 E9PTN4
G1SHY0 Q6AYD4
G1TCP9 B1WC05
G1U427 A0A0G2K226
G1T8P5 E9PT13
G1T0T6 D3ZPF0
G1SZ72 B1H2A6
G1TJT3 A0A0H2UI34
G1SQM7 Q63396
G1T494 Q6P6R0
G1TBM2 D3ZB71
P13943 D3ZW33
G1T964 P10037
G1TFX1 G3V7Q8
G1SRV2 B2RYG6
G1SF52 D4ADQ6
G1U3B2 Q68FQ7
U3KM17 D3ZMJ4
G1TN01 F1LR39
G1SMV4 P11506
G1SQC1 Q91XU7
G1SIX4 B1H222
G1SPQ3 D3ZE01
G1SQ43 Q5BJP1
G1STX3 D3ZNU1
G1SUW3 F1M8F4
U3KPC9 D3ZZR4
G1U3D6 Q66H33
G1T2P2 P30835
G1T8R2 D4A3N0
G1T494 G3V8G3
G1SRW4 D3Z9E1
G1SUD3 Q5PQL4
G1T8R2 O70595
G1T646 G3V6Q2
G1SJV4 A0A0G2K4Y6
G1SIA4 Q3KR73
G1TCH3 Q7TP28
G1SCQ4 P00173
G1TUQ4 P35563
G1SLK4 A0A0G2JST3
G1TIZ5 Q7TP77
G1SIX4 E2CWF0
G1SZ36 B5DFI5
G1SE18 D3ZFS1
G1T9V3 Q99JC6
G1SQP0 P35286
G1U7U9 G3V6J8
G1T221 Q63610
G1SSB5 G3V678
G1T9N8 Q6IRH4
G1TES6 F1LQ81
G1SP35 A0A0G2JTP3
G1TCB4 D3ZDN9
U3KN58 A0A0G2K6L6
G1TRN0 Q5XHY0
G1SF63 F1LR31
G1T0G3 D3Z9J4
G1T8R5 Q6AYU0
G1STX3 F1LR10
G1SHA2 Q498M4
G1TF07 Q4KM37
G1T7X7 D4ACL8
G1T9N8 D3ZCC7
G1SHE1 D3ZET1
G1SWE9 G3V8H8
G1TVJ1 F1LQR5
G1SYV9 G3V852
G1SFZ8 A0A140TAI1
G1TPD9 A0A0G2K772
U3KMC5 Q6MGC7
G1TD30 Q63511
G1T4M6 F1LRB9
G1TVM9 Q66H33
G1T3R9 A0A0G2JYV3
G1T481 Q9WTT7
G1U020 D3ZCK7
G1STR3 Q7TNY1
U3KLT4 F1M276
G1TIP3 F1MAL5
U3KPN6 B3DM92
G1SJ89 D3ZMN5
G1TDP9 D4AEG2
G1T734 D4A2T8
G1T7M3 F1LN88
G1SYW3 F1LPS6
G1U1T5 Q1XID0
G1TZM6 D3ZLB7
G1TUR4 Q3KR73
G1SS04 Q8K1G0
G1T5S2 Q5BJT0
G1T5G7 P10980
