9689 Q9TUB2,A0A287AKH6,A0A287B4M4,A0A286ZQA1,A0A286ZV23,F2Z558,D3K5N7,A0A286ZS33 G1TVU3,G1SL48,G1TIX5,G1SIC9,G1SZE4,G1SDY5,G1TAE2,G1SKM1
10528 A0A287A2J9,K7GR70,F1S6G9,Q9TUB2,A0A286ZS33,A0A287B4M4,F2Z558,D3K5N7 G1SZR6,G1SIC9,G1U6D8,G1TVU3,G1SKM1,G1TIX5,G1SDY5,G1TAE2
10528 A0A287A2J9,K7GR70,F1SS94,Q9TUB2,A0A286ZS33,A0A287B4M4,F2Z558,D3K5N7 G1SZR6,G1SIC9,G1T5P5,G1TVU3,G1SKM1,G1TIX5,G1SDY5,G1TAE2
10528 A0A287A2J9,K7GR70,F1SS94,Q9TUB2,A0A286ZS33,A0A287B4M4,F2Z558,D3K5N7 G1SZR6,G1SIC9,G1TBF8,G1TVU3,G1SKM1,G1TIX5,G1SDY5,G1TAE2
10528 A0A287A2J9,K7GR70,A0A287AH71,Q9TUB2,A0A286ZS33,A0A287B4M4,F2Z558,D3K5N7 G1SZR6,G1SIC9,G1U6D8,G1TVU3,G1SKM1,G1TIX5,G1SDY5,G1TAE2
10528 A0A287A2J9,K7GR70,F1S359,Q9TUB2,A0A286ZS33,A0A287B4M4,F2Z558,D3K5N7 G1SZR6,G1SIC9,G1U6D8,G1TVU3,G1SKM1,G1TIX5,G1SDY5,G1TAE2
10528 A0A287A2J9,K7GR70,I3LNY9,Q9TUB2,A0A286ZS33,A0A287B4M4,F2Z558,D3K5N7 G1SZR6,G1SIC9,G1U6D8,G1TVU3,G1SKM1,G1TIX5,G1SDY5,G1TAE2
10578 A0A286ZS33,A0A286ZV23,A0A287A2J9,D3K5N7,F1RHK6,A0A287AKH6,A0A287BHC9,F2Z558 G1SKM1,G1SZE4,G1SZR6,G1TAE2,G1SZT9,G1SL48,G1SIC9,G1SDY5
10578 A0A286ZS33,A0A286ZV23,A0A287A2J9,D3K5N7,F1RHK6,A0A287A1S6,A0A287BHC9,F2Z558 G1SKM1,G1SZE4,G1SZR6,G1TAE2,G1SZT9,B7NZG8,G1SIC9,G1SDY5
10623 A0A287A2J9,K7GR70,A0A286ZQA1,A0A286ZV23,A0A287BHC9,F1RGG1,D3K5N7,F2Z558 G1SZR6,G1T143,G1SIC9,G1SZE4,G1SMY6,G1TN62,G1TAE2,G1SDY5
10623 A0A287A2J9,Q9TUB2,A0A286ZQA1,A0A286ZV23,A0A287BHC9,F1RGG1,D3K5N7,F2Z558 G1SZR6,G1T143,G1SIC9,G1SZE4,G1SMY6,G1TN62,G1TAE2,G1SDY5
