9229 G3V6K6,B5DF02,D3ZWG3,P17325,B5DF91,P47196,A0A0G2K5U0,Q80U96 G1TVU3,G1TIX5,G1U300,G1SZT9,G1SIC9,G1T1B1,G1SKM1,G1SMY6
3237 Q5I0J5,P10361,B5DF02,G3V6K6,P35739,B5DF91,A0A0G2K5U0,G3V817 G1SL26,G1TVU3,G1TIX5,G1SZE4,G1SZT9,G1TAE2,G1SIC9,G1SRE8
8698 P10361,G3V6K6,A0A0G2JSP3,B5DF02,A0A0G2K5U0,P35739,B5DF91,F1M8V2 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SZT9,G1TAE2,G1T617
9261 P08592,G3V8S5,P35739,B5DF91,B5DF02,G3V6K6,D4A9N5,A0A140TAD2 G1SZM2,G1SKM1,G1SZT9,G1TAE2,G1TIX5,G1SZE4,G1T143,G1SDY5
9261 P08592,G3V8S5,P35739,B5DF91,B5DF02,G3V6K6,D4A9N5,P11980 G1SZM2,G1SKM1,G1SZT9,G1TAE2,G1TIX5,G1SZE4,G1T143,G1SDY5
9261 P08592,G3V8S5,P35739,B5DF91,B5DF02,G3V6K6,D4A9N5,P06761 G1SZM2,G1SKM1,G1SZT9,G1TAE2,G1TIX5,G1SZE4,G1T143,G1SDY5
9261 P08592,G3V8S5,P35739,B5DF91,B5DF02,G3V6K6,D4A9N5,Q6AYN8 G1SZM2,G1SKM1,G1SZT9,G1TAE2,G1TIX5,G1SZE4,G1T143,G1SDY5
9261 P08592,G3V8S5,P35739,B5DF91,B5DF02,G3V6K6,D4A9N5,F1M3U4 G1SZM2,G1SKM1,G1SZT9,G1TAE2,G1TIX5,G1SZE4,G1T143,G1SDY5
8677 Q3T1H6,A0A0G2K5U0,P17325,P08592,G3V6K6,Q80U96,D4A9N5,Q5XIF6 G1TSQ5,G1SZE4,G1TVU3,G1TAE2,G1SIC9,G1SDY5,G1T143,G1TR82
8697 P10361,G3V6K6,A0A0G2JSP3,B5DF02,A0A0G2K5U0,P35739,B5DF91,A0A140TAD2 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SZT9,G1TAE2,G1TP30
8697 P10361,G3V6K6,A0A0G2JSP3,B5DF02,A0A0G2K5U0,P35739,B5DF91,A0A140TAD2 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SZT9,G1TAE2,G1SN16
8697 P10361,G3V6K6,A0A0G2JSP3,B5DF02,A0A0G2K5U0,P35739,B5DF91,A0A140TAD2 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SZT9,G1TAE2,G1SS22
8697 P10361,G3V6K6,A0A0G2JSP3,B5DF02,A0A0G2K5U0,P35739,B5DF91,A0A140TAD2 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SZT9,G1TAE2,G1T2F2
8697 P10361,G3V6K6,A0A0G2JSP3,B5DF02,A0A0G2K5U0,P35739,B5DF91,A0A140TAD2 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SZT9,G1TAE2,U3KLT5
8697 P10361,G3V6K6,A0A0G2JSP3,B5DF02,A0A0G2K5U0,P35739,B5DF91,A0A140TAD2 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SZT9,G1TAE2,G1U8F0
8697 P10361,G3V6K6,A0A0G2JSP3,B5DF02,A0A0G2K5U0,P35739,B5DF91,A0A140TAD2 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SZT9,G1TAE2,G1SF00
8697 P10361,G3V6K6,A0A0G2JSP3,B5DF02,A0A0G2K5U0,P35739,B5DF91,A0A140TAD2 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SZT9,G1TAE2,G1SV90
