12260 Q13618,P63279,P04637,P05412,Q15717,P0CG48,Q9UBU9,P62993 F7AK40,F6ZS96,F6S8L9,F6YYG4,F6S7D4,F6XEB4,F6XL78,F6XR42
9759 Q14258,Q9UBU9,P04637,Q9HCE1,Q13618,P24385,P05412,P0CG48 F6Z1I4,F6XL78,F6XR42,F6S7D4,F6YYG4,F7C5G3,F7AK40,F6XEB4
9252 P04637,P00533,Q9UBU9,Q13618,P04629,P05412,O14654,P0CG48 F6TL72,F6XR42,F6XL78,F7DFR6,F7A2J7,F6YYG4,F6PV98,F6XEB4
7265 P05067,Q9HAP2,P0CG48,P04637,Q15717,O14980,P62993,P31946 F6XL78,F7CRN8,F6S7D4,F6XR42,F6S8L9,F6VTW3,F6XEB4,F6ZGT4
4379 P04637,P24557,P00533,Q13618,P04629,Q05639,O14980,P0CG48 F6YYG4,F6YEM4,F7AK40,F7DFR6,F6Z1I4,F7AM44,F6VTW3,F6XEB4
2364 Q96T92,P05067,Q99459,P04637,P0CG48,Q15717,Q13618,Q8NBB4 F6X8R1,F6XL78,F7BCF7,F6XR42,F6S8L9,F7A2J7,F7DFR6,F7CYH5
6690 P00533,P04637,Q9UBU9,P78362,Q13618,Q9HCE1,P05067,P0CG48 F7DFR6,F6XR42,F6TL72,F7BD82,F6YYG4,F6S7D4,F6XL78,F6S8L9
9437 P04637,Q6N089,Q13618,P04629,P00533,Q15717,P0CG48,P31947 F6YYG4,F6Z191,F7A2J7,F6Z1I4,F7AK40,F6S8L9,F6XEB4,F6XX61
9437 P04637,Q6N089,Q13618,P04629,P00533,Q15717,P62993,P31947 F6YYG4,F6Z191,F7A2J7,F6Z1I4,F7AK40,F6S8L9,F6XEB4,F6XX61
4704 P00533,Q13618,Q96M61,P05412,P04637,Q15717,P42858,P0CG48 F7DFR6,F6XR42,F7CA12,F6YYG4,F6TL72,F6VTW3,F7BQH8,F6S8L9
6758 Q13618,Q7L0Q8,P05412,Q14258,O14980,Q9NWQ9,P0CG48,P62993 F6XL78,F7BU65,F6XR42,F6VTW3,F6S8L9,F6ZYE9,F7AK40,F7BQS3
10063 Q99999,P00533,P04637,Q15717,P0CG48,P62993,P05067,P27824 F7CPB4,F6YYG4,F6XR42,F7A2J7,F6S8L9,F6XEB4,F6XL78,F7AJM6
10063 P41597,P00533,P04637,Q15717,P0CG48,P62993,P05067,P40763 F7C0Z0,F7AK40,F6S8L9,F7A2J7,F6XR42,F6XEB4,F6XL78,F6U210
10063 Q6UY11,P00533,P04637,Q15717,P0CG48,P62993,P05067,P40763 F7D5T3,F6YYG4,F6XR42,F7A2J7,F6S8L9,F6XEB4,F6XL78,F6R449
10063 Q14644,P00533,P04637,Q15717,P0CG48,P62993,P05067,P63244 F7CPB4,F6YYG4,F6XR42,F7A2J7,F6S8L9,F6XEB4,F6XL78,F7AJM6
9019 Q9BVG9,Q13618,O14980,P04637,P0CG48,Q15717,Q14258,Q12906 F6U4I9,F6YYG4,F7AK40,F6XR42,F6S8L9,F6VTW3,F6Z1I4,F7B9X5
9019 Q9BVG9,Q13618,O14980,P04637,P62993,Q15717,Q14258,Q12906 F6U4I9,F6YYG4,F7AK40,F6XR42,F6S8L9,F6VTW3,F6Z1I4,F7B9X5
