P00533 B5DF02
Q92905 A0A0G2K0D4
Q15717 B5DF91
Q9BQ67 A0A0G2JSW0
Q5T1M5 M0R5H1
Q13616 D3ZP96
Q04695 G3V829
P24941 Q6P751
O75147 D3ZZ80
P01106 P09416
Q13185 Q5RJK5
Q9NRC8 B2RZ55
O14980 Q80U96
Q13616 Q4KLY4
P0CG48 P62994
P05455 A0A0G2JXT8
P02533 A0A0G2K509
P05412 P17325
P02533 Q9Z2S9
P02533 G3V829
P49736 P10361
Q9NQC7 A0A096P6L8
P0CG48 D3ZP96
Q9H0R8 B2RZ55
Q99496 P29534
P13797 F7FJR8
P03372 G3V8S5
